"Physical Fitness Tests: Students Reaching Health Standard, 2013-14"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2013-14"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","All Tests - District",29.5
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",66.3
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",62.1
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",56.8
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",78.9
"Amistad Academy District","=""2790013""","All Grades","All Tests - District",18.5
"Amistad Academy District","=""2790013""","All Grades","Curl Up",45.7
"Amistad Academy District","=""2790013""","All Grades","Mile Run",59.3
"Amistad Academy District","=""2790013""","All Grades","Push Up",50.6
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",61.1
"Andover School District","=""0010011""","All Grades","All Tests - District",51.6
"Andover School District","=""0010011""","All Grades","Curl Up",71.6
"Andover School District","=""0010011""","All Grades","Mile Run",91.6
"Andover School District","=""0010011""","All Grades","Push Up",81.1
"Andover School District","=""0010011""","All Grades","Sit and Reach",93.7
"Ansonia School District","=""0020011""","All Grades","All Tests - District",35.0
"Ansonia School District","=""0020011""","All Grades","Curl Up",79.3
"Ansonia School District","=""0020011""","All Grades","Mile Run",63.9
"Ansonia School District","=""0020011""","All Grades","Push Up",59.2
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",83.5
"Area Cooperative Educational Services","=""2440014""","All Grades","All Tests - District",36.3
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",81.8
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",59.0
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",56.0
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",79.7
"Ashford School District","=""0030011""","All Grades","All Tests - District",45.6
"Ashford School District","=""0030011""","All Grades","Curl Up",68.4
"Ashford School District","=""0030011""","All Grades","Mile Run",68.4
"Ashford School District","=""0030011""","All Grades","Push Up",74.6
"Ashford School District","=""0030011""","All Grades","Sit and Reach",87.7
"Avon School District","=""0040011""","All Grades","All Tests - District",56.9
"Avon School District","=""0040011""","All Grades","Curl Up",87.0
"Avon School District","=""0040011""","All Grades","Mile Run",86.9
"Avon School District","=""0040011""","All Grades","Push Up",81.0
"Avon School District","=""0040011""","All Grades","Sit and Reach",77.8
"Barkhamsted School District","=""0050011""","All Grades","All Tests - District",44.3
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",89.9
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",67.1
"Barkhamsted School District","=""0050011""","All Grades","Push Up",59.5
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",74.7
"Berlin School District","=""0070011""","All Grades","All Tests - District",60.5
"Berlin School District","=""0070011""","All Grades","Curl Up",93.5
"Berlin School District","=""0070011""","All Grades","Mile Run",80.2
"Berlin School District","=""0070011""","All Grades","Push Up",79.0
"Berlin School District","=""0070011""","All Grades","Sit and Reach",85.1
"Bethany School District","=""0080011""","All Grades","All Tests - District",20.0
"Bethany School District","=""0080011""","All Grades","Curl Up",40.7
"Bethany School District","=""0080011""","All Grades","Mile Run",66.4
"Bethany School District","=""0080011""","All Grades","Push Up",60.0
"Bethany School District","=""0080011""","All Grades","Sit and Reach",62.1
"Bethel School District","=""0090011""","All Grades","All Tests - District",45.5
"Bethel School District","=""0090011""","All Grades","Curl Up",80.1
"Bethel School District","=""0090011""","All Grades","Mile Run",70.6
"Bethel School District","=""0090011""","All Grades","Push Up",61.0
"Bethel School District","=""0090011""","All Grades","Sit and Reach",86.4
"Bloomfield School District","=""0110011""","All Grades","All Tests - District",40.5
"Bloomfield School District","=""0110011""","All Grades","Curl Up",80.9
"Bloomfield School District","=""0110011""","All Grades","Mile Run",55.3
"Bloomfield School District","=""0110011""","All Grades","Push Up",60.7
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",75.9
"Bolton School District","=""0120011""","All Grades","All Tests - District",58.9
"Bolton School District","=""0120011""","All Grades","Curl Up",91.5
"Bolton School District","=""0120011""","All Grades","Mile Run",83.9
"Bolton School District","=""0120011""","All Grades","Push Up",68.5
"Bolton School District","=""0120011""","All Grades","Sit and Reach",85.1
"Bozrah School District","=""0130011""","All Grades","All Tests - District",62.7
"Bozrah School District","=""0130011""","All Grades","Curl Up",90.4
"Bozrah School District","=""0130011""","All Grades","Mile Run",74.7
