"Physical Fitness Tests: Students Reaching Health Standard, 2013-14"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2013-14"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",78.9
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",61.1
"Andover School District","=""0010011""","All Grades","Sit and Reach",93.7
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",83.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",79.7
"Ashford School District","=""0030011""","All Grades","Sit and Reach",87.7
"Avon School District","=""0040011""","All Grades","Sit and Reach",77.8
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",74.7
"Berlin School District","=""0070011""","All Grades","Sit and Reach",85.1
"Bethany School District","=""0080011""","All Grades","Sit and Reach",62.1
"Bethel School District","=""0090011""","All Grades","Sit and Reach",86.4
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",75.9
"Bolton School District","=""0120011""","All Grades","Sit and Reach",85.1
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",91.6
"Branford School District","=""0140011""","All Grades","Sit and Reach",78.9
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",53.8
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",78.6
"Bristol School District","=""0170011""","All Grades","Sit and Reach",90.7
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",82.4
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",75.3
"Canaan School District","=""0210011""","All Grades","Sit and Reach",67.9
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",92.3
"Canton School District","=""0230011""","All Grades","Sit and Reach",88.2
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",75.6
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",97.7
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",76.3
"Chester School District","=""0260011""","All Grades","Sit and Reach",83.3
"Clinton School District","=""0270011""","All Grades","Sit and Reach",81.1
"Colchester School District","=""0280011""","All Grades","Sit and Reach",80.3
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",88.0
"Columbia School District","=""0300011""","All Grades","Sit and Reach",97.5
"Common Ground High School District","=""2680013""","All Grades","Sit and Reach",50.0
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",81.3
"Cooperative Educational Services","=""2430014""","All Grades","Sit and Reach",70.1
"Cornwall School District","=""0310011""","All Grades","Sit and Reach",91.7
"Coventry School District","=""0320011""","All Grades","Sit and Reach",78.4
"Cromwell School District","=""0330011""","All Grades","Sit and Reach",80.9
"Danbury School District","=""0340011""","All Grades","Sit and Reach",70.0
"Darien School District","=""0350011""","All Grades","Sit and Reach",88.8
"Deep River School District","=""0360011""","All Grades","Sit and Reach",83.7
"Derby School District","=""0370011""","All Grades","Sit and Reach",78.2
"East Granby School District","=""0400011""","All Grades","Sit and Reach",72.7
"East Haddam School District","=""0410011""","All Grades","Sit and Reach",79.2
"East Hampton School District","=""0420011""","All Grades","Sit and Reach",79.1
"East Hartford School District","=""0430011""","All Grades","Sit and Reach",73.9
"East Haven School District","=""0440011""","All Grades","Sit and Reach",86.8
"East Lyme School District","=""0450011""","All Grades","Sit and Reach",88.8
"East Windsor School District","=""0470011""","All Grades","Sit and Reach",80.8
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Sit and Reach",77.0
"Eastford School District","=""0390011""","All Grades","Sit and Reach",87.5
"Easton School District","=""0460011""","All Grades","Sit and Reach",73.2
"Ellington School District","=""0480011""","All Grades","Sit and Reach",88.4
"Elm City College Preparatory School District","=""2890013""","All Grades","Sit and Reach",55.4
"Enfield School District","=""0490011""","All Grades","Sit and Reach",87.2
"Essex School District","=""0500011""","All Grades","Sit and Reach",82.1
"Explorations District","=""2720013""","All Grades","Sit and Reach","*"
"Fairfield School District","=""0510011""","All Grades","Sit and Reach",84.8
"Farmington School District","=""0520011""","All Grades","Sit and Reach",84.9
"Franklin School District","=""0530011""","All Grades","Sit and Reach",60.7
"Glastonbury School District","=""0540011""","All Grades","Sit and Reach",80.7
"Granby School District","=""0560011""","All Grades","Sit and Reach",87.8
"Greenwich School District","=""0570011""","All Grades","Sit and Reach",81.5
"Griswold School District","=""0580011""","All Grades","Sit and Reach",77.9
"Groton School District","=""0590011""","All Grades","Sit and Reach",80.9
"Guilford School District","=""0600011""","All Grades","Sit and Reach",84.0
"Hamden School District","=""0620011""","All Grades","Sit and Reach",81.3
"Hampton School District","=""0630011""","All Grades","Sit and Reach",100.0
"Hartford School District","=""0640011""","All Grades","Sit and Reach",78.1
"Hartland School District","=""0650011""","All Grades","Sit and Reach",95.6
"Hebron School District","=""0670011""","All Grades","Sit and Reach",92.6
"Highville Charter School District","=""2860013""","All Grades","Sit and Reach",70.9
"Integrated Day Charter School District","=""2640013""","All Grades","Sit and Reach",96.0
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Sit and Reach",65.1
"Jumoke Academy District","=""2610013""","All Grades","Sit and Reach",34.2
"Kent School District","=""0680011""","All Grades","Sit and Reach",71.6
"Killingly School District","=""0690011""","All Grades","Sit and Reach",81.0
"Learn","=""2450014""","All Grades","Sit and Reach",84.1
"Lebanon School District","=""0710011""","All Grades","Sit and Reach",86.7
"Ledyard School District","=""0720011""","All Grades","Sit and Reach",89.9
"Lisbon School District","=""0730011""","All Grades","Sit and Reach",80.2
"Litchfield School District","=""0740011""","All Grades","Sit and Reach",91.3
"Madison School District","=""0760011""","All Grades","Sit and Reach",87.8
"Manchester School District","=""0770011""","All Grades","Sit and Reach",85.7
"Mansfield School District","=""0780011""","All Grades","Sit and Reach",83.4
"Marlborough School District","=""0790011""","All Grades","Sit and Reach",84.3
"Meriden School District","=""0800011""","All Grades","Sit and Reach",78.1
"Middletown School District","=""0830011""","All Grades","Sit and Reach",82.3
"Milford School District","=""0840011""","All Grades","Sit and Reach",74.4
"Monroe School District","=""0850011""","All Grades","Sit and Reach",86.5
"Montville School District","=""0860011""","All Grades","Sit and Reach",80.0
"Naugatuck School District","=""0880011""","All Grades","Sit and Reach",83.5
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Sit and Reach",73.3
"New Britain School District","=""0890011""","All Grades","Sit and Reach",76.4
"New Canaan School District","=""0900011""","All Grades","Sit and Reach",92.0
"New Fairfield School District","=""0910011""","All Grades","Sit and Reach",83.0
"New Hartford School District","=""0920011""","All Grades","Sit and Reach",78.8
"New Haven School District","=""0930011""","All Grades","Sit and Reach",74.4
"New London School District","=""0950011""","All Grades","Sit and Reach",67.6
"New Milford School District","=""0960011""","All Grades","Sit and Reach",76.1
"Newington School District","=""0940011""","All Grades","Sit and Reach",82.5
"Newtown School District","=""0970011""","All Grades","Sit and Reach",89.4
"Norfolk School District","=""0980011""","All Grades","Sit and Reach",82.4
"North Branford School District","=""0990011""","All Grades","Sit and Reach",87.7
"North Canaan School District","=""1000011""","All Grades","Sit and Reach",80.7
"North Haven School District","=""1010011""","All Grades","Sit and Reach",91.6
"North Stonington School District","=""1020011""","All Grades","Sit and Reach",81.5
"Norwalk School District","=""1030011""","All Grades","Sit and Reach",80.5
"Norwich Free Academy District","=""9010022""","All Grades","Sit and Reach",88.3
"Norwich School District","=""1040011""","All Grades","Sit and Reach",78.6
"Odyssey Community School District","=""2630013""","All Grades","Sit and Reach",90.5
"Old Saybrook School District","=""1060011""","All Grades","Sit and Reach",86.0
"Orange School District","=""1070011""","All Grades","Sit and Reach",89.0
"Oxford School District","=""1080011""","All Grades","Sit and Reach",78.5
"Park City Prep Charter School District","=""2830013""","All Grades","Sit and Reach",80.9
"Plainfield School District","=""1090011""","All Grades","Sit and Reach",82.5
"Plainville School District","=""1100011""","All Grades","Sit and Reach",81.5
"Plymouth School District","=""1110011""","All Grades","Sit and Reach",81.9
"Pomfret School District","=""1120011""","All Grades","Sit and Reach",67.7
"Portland School District","=""1130011""","All Grades","Sit and Reach",69.0
"Preston School District","=""1140011""","All Grades","Sit and Reach",66.1
"Putnam School District","=""1160011""","All Grades","Sit and Reach",83.9
"Redding School District","=""1170011""","All Grades","Sit and Reach",92.8
"Regional School District 01","=""2010012""","All Grades","Sit and Reach",92.0
"Regional School District 04","=""2040012""","All Grades","Sit and Reach",77.3
"Regional School District 05","=""2050012""","All Grades","Sit and Reach",89.7
"Regional School District 06","=""2060012""","All Grades","Sit and Reach",67.9
"Regional School District 07","=""2070012""","All Grades","Sit and Reach",71.8
"Regional School District 08","=""2080012""","All Grades","Sit and Reach",84.0
"Regional School District 10","=""2100012""","All Grades","Sit and Reach",81.3
"Regional School District 11","=""2110012""","All Grades","Sit and Reach",92.1
"Regional School District 12","=""2120012""","All Grades","Sit and Reach",83.3
"Regional School District 13","=""2130012""","All Grades","Sit and Reach",81.6
"Regional School District 14","=""2140012""","All Grades","Sit and Reach",78.2
"Regional School District 15","=""2150012""","All Grades","Sit and Reach",85.0
"Regional School District 16","=""2160012""","All Grades","Sit and Reach",86.7
"Regional School District 17","=""2170012""","All Grades","Sit and Reach",83.1
"Regional School District 18","=""2180012""","All Grades","Sit and Reach",81.0
"Regional School District 19","=""2190012""","All Grades","Sit and Reach",88.4
"Ridgefield School District","=""1180011""","All Grades","Sit and Reach",82.9
"Rocky Hill School District","=""1190011""","All Grades","Sit and Reach",93.7
"Salem School District","=""1210011""","All Grades","Sit and Reach",85.9
"Salisbury School District","=""1220011""","All Grades","Sit and Reach",87.7
"Scotland School District","=""1230011""","All Grades","Sit and Reach",86.2
"Seymour School District","=""1240011""","All Grades","Sit and Reach",74.9
"Sharon School District","=""1250011""","All Grades","Sit and Reach",92.2
"Shelton School District","=""1260011""","All Grades","Sit and Reach",86.3
"Sherman School District","=""1270011""","All Grades","Sit and Reach",90.7
"Side By Side Charter School District","=""2700013""","All Grades","Sit and Reach",92.4
"Simsbury School District","=""1280011""","All Grades","Sit and Reach",85.2
"Somers School District","=""1290011""","All Grades","Sit and Reach",81.6
"South Windsor School District","=""1320011""","All Grades","Sit and Reach",78.8
"Southington School District","=""1310011""","All Grades","Sit and Reach",83.1
"Sprague School District","=""1330011""","All Grades","Sit and Reach",82.2
"Stafford School District","=""1340011""","All Grades","Sit and Reach",81.8
"Stamford Academy District","=""2820013""","All Grades","Sit and Reach",86.7
"Stamford School District","=""1350011""","All Grades","Sit and Reach",83.1
"Sterling School District","=""1360011""","All Grades","Sit and Reach",100.0
"Stonington School District","=""1370011""","All Grades","Sit and Reach",91.9
"Stratford School District","=""1380011""","All Grades","Sit and Reach",86.8
"Suffield School District","=""1390011""","All Grades","Sit and Reach",80.3
"The Bridge Academy District","=""2690013""","All Grades","Sit and Reach",77.3
"The Gilbert School District","=""9020022""","All Grades","Sit and Reach",66.1
"Thomaston School District","=""1400011""","All Grades","Sit and Reach",88.2
"Thompson School District","=""1410011""","All Grades","Sit and Reach",84.0
"Tolland School District","=""1420011""","All Grades","Sit and Reach",85.6
"Torrington School District","=""1430011""","All Grades","Sit and Reach",84.5
"Trailblazers Academy District","=""2780013""","All Grades","Sit and Reach",98.0
"Trumbull School District","=""1440011""","All Grades","Sit and Reach",88.2
"Union School District","=""1450011""","All Grades","Sit and Reach",95.7
"Vernon School District","=""1460011""","All Grades","Sit and Reach",89.4
"Voluntown School District","=""1470011""","All Grades","Sit and Reach",95.1
"Wallingford School District","=""1480011""","All Grades","Sit and Reach",79.8
"Waterbury School District","=""1510011""","All Grades","Sit and Reach",81.1
"Waterford School District","=""1520011""","All Grades","Sit and Reach",73.2
"Watertown School District","=""1530011""","All Grades","Sit and Reach",92.3
"West Hartford School District","=""1550011""","All Grades","Sit and Reach",84.1
"West Haven School District","=""1560011""","All Grades","Sit and Reach",72.0
"Westbrook School District","=""1540011""","All Grades","Sit and Reach",78.2
"Weston School District","=""1570011""","All Grades","Sit and Reach",73.1
"Westport School District","=""1580011""","All Grades","Sit and Reach",86.2
"Wethersfield School District","=""1590011""","All Grades","Sit and Reach",80.4
"Willington School District","=""1600011""","All Grades","Sit and Reach",94.2
"Wilton School District","=""1610011""","All Grades","Sit and Reach",81.9
"Winchester School District","=""1620011""","All Grades","Sit and Reach",89.7
"Windham School District","=""1630011""","All Grades","Sit and Reach",83.1
"Windsor Locks School District","=""1650011""","All Grades","Sit and Reach",77.2
"Windsor School District","=""1640011""","All Grades","Sit and Reach",76.0
"Wolcott School District","=""1660011""","All Grades","Sit and Reach",88.4
"Woodbridge School District","=""1670011""","All Grades","Sit and Reach",80.7
"Woodstock Academy District","=""9030022""","All Grades","Sit and Reach",99.4
"Woodstock School District","=""1690011""","All Grades","Sit and Reach",84.5

