"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",51.2,66.2,56.8,61.2,54.8
"Amistad Academy District","=""2790013""","All Grades","Push Up",60.3,56.5,50.6,58.2,54.0
"Andover School District","=""0010011""","All Grades","Push Up",76.4,85.9,81.1,81.7,91.9
"Ansonia School District","=""0020011""","All Grades","Push Up",66.6,68.1,59.2,61.8,69.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",58.6,65.5,56.0,59.5,49.5
"Ashford School District","=""0030011""","All Grades","Push Up",84.2,81.5,74.6,63.6,29.4
"Avon School District","=""0040011""","All Grades","Push Up",73.0,81.5,81.0,85.2,75.2
"Barkhamsted School District","=""0050011""","All Grades","Push Up",70.6,79.8,59.5,69.4,65.3
"Berlin School District","=""0070011""","All Grades","Push Up",81.1,78.4,79.0,82.6,76.0
"Bethany School District","=""0080011""","All Grades","Push Up",56.6,39.1,60.0,60.2,76.1
"Bethel School District","=""0090011""","All Grades","Push Up",72.6,61.0,61.0,57.9,62.9
"Bloomfield School District","=""0110011""","All Grades","Push Up",78.2,67.2,60.7,66.0,66.6
"Bolton School District","=""0120011""","All Grades","Push Up",73.9,80.3,68.5,76.2,69.1
"Bozrah School District","=""0130011""","All Grades","Push Up",82.1,79.1,79.5,85.1,88.5
"Branford School District","=""0140011""","All Grades","Push Up",69.1,72.8,70.2,70.0,76.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",61.4,36.3,58.2,65.3,62.4
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.1,67.4,66.6,59.9,57.1
"Bristol School District","=""0170011""","All Grades","Push Up",77.1,76.7,73.5,72.4,72.0
"Brookfield School District","=""0180011""","All Grades","Push Up",79.8,77.2,74.0,76.8,69.7
"Brooklyn School District","=""0190011""","All Grades","Push Up",48.5,48.8,46.3,53.5,48.5
"Canaan School District","=""0210011""","All Grades","Push Up",80.0,65.2,46.4,74.1,65.4
"Canterbury School District","=""0220011""","All Grades","Push Up",73.6,69.7,71.3,78.7,77.6
"Canton School District","=""0230011""","All Grades","Push Up",92.2,88.8,89.7,82.0,87.4
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",68.5,71.7,69.8,67.2,66.5
"Chaplin School District","=""0240011""","All Grades","Push Up",71.7,68.4,72.1,70.7,67.6
"Cheshire School District","=""0250011""","All Grades","Push Up",82.7,84.2,82.4,80.6,79.8
"Chester School District","=""0260011""","All Grades","Push Up",76.4,75.9,66.7,71.2,71.8
"Clinton School District","=""0270011""","All Grades","Push Up",72.0,70.0,70.7,69.7,71.9
"Colchester School District","=""0280011""","All Grades","Push Up",67.0,71.7,68.4,71.2,81.6
"Colebrook School District","=""0290011""","All Grades","Push Up",73.1,52.8,80.0,70.4,84.0
"Columbia School District","=""0300011""","All Grades","Push Up",92.1,95.2,94.9,90.5,96.2
"Common Ground High School District","=""2680013""","All Grades","Push Up",63.3,47.6,47.2,62.7,38.8
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",69.4,68.6,68.4,67.4,68.7
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",88.6,85.5,78.5,78.4,55.4
"Cornwall School District","=""0310011""","All Grades","Push Up",78.6,71.4,80.6,94.4,85.2
"Coventry School District","=""0320011""","All Grades","Push Up",71.8,75.1,71.9,74.4,77.4
"Cromwell School District","=""0330011""","All Grades","Push Up",86.7,80.9,88.4,82.2,81.5
"Danbury School District","=""0340011""","All Grades","Push Up",62.8,63.4,60.0,62.5,60.9
"Darien School District","=""0350011""","All Grades","Push Up",88.4,85.5,90.4,90.3,91.8
"Deep River School District","=""0360011""","All Grades","Push Up",90.9,81.9,80.8,87.2,86.8
"Derby School District","=""0370011""","All Grades","Push Up",64.6,53.3,73.2,70.5,69.8
"East Granby School District","=""0400011""","All Grades","Push Up",78.5,69.1,70.7,72.9,79.2
"East Haddam School District","=""0410011""","All Grades","Push Up",49.0,51.7,57.7,67.5,63.5
"East Hampton School District","=""0420011""","All Grades","Push Up",76.6,71.1,72.6,69.4,73.9
"East Hartford School District","=""0430011""","All Grades","Push Up",72.3,74.5,65.8,66.3,68.1
"East Haven School District","=""0440011""","All Grades","Push Up",64.6,71.1,66.5,71.8,72.5
"East Lyme School District","=""0450011""","All Grades","Push Up",87.2,85.8,83.9,83.8,87.8
"East Windsor School District","=""0470011""","All Grades","Push Up",56.4,53.3,61.4,58.2,61.1
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Push Up",57.5,77.3,68.9,71.4,67.2
"Eastford School District","=""0390011""","All Grades","Push Up",83.7,86.5,75.0,75.6,84.2
"Easton School District","=""0460011""","All Grades","Push Up",73.1,82.7,60.2,77.3,70.9
"Ellington School District","=""0480011""","All Grades","Push Up",66.3,69.2,69.1,70.5,68.1
"Elm City College Preparatory School District","=""2890013""","All Grades","Push Up",57.7,39.7,54.2,65.2,59.3
"Enfield School District","=""0490011""","All Grades","Push Up",80.1,81.6,80.8,80.7,84.9
"Essex School District","=""0500011""","All Grades","Push Up",62.7,72.1,76.3,81.9,74.6
"Explorations District","=""2720013""","All Grades","Push Up",73.9,"*","*",30.0,"*"
"Fairfield School District","=""0510011""","All Grades","Push Up",77.8,79.9,84.2,81.1,82.3
"Farmington School District","=""0520011""","All Grades","Push Up",74.8,75.9,80.1,76.9,79.7
"Franklin School District","=""0530011""","All Grades","Push Up",82.8,80.0,75.0,88.0,84.3
"Glastonbury School District","=""0540011""","All Grades","Push Up",74.9,76.0,80.4,74.2,76.3
"Granby School District","=""0560011""","All Grades","Push Up",78.4,75.7,76.9,75.0,75.7
"Great Oaks Charter School District","=""2940013""","All Grades","Push Up","N/A","N/A","N/A",29.7,60.2
"Greenwich School District","=""0570011""","All Grades","Push Up",81.8,85.8,81.0,82.5,81.0
"Griswold School District","=""0580011""","All Grades","Push Up",76.5,75.3,72.9,72.0,70.3
"Groton School District","=""0590011""","All Grades","Push Up",70.6,74.4,72.4,77.7,68.8
"Guilford School District","=""0600011""","All Grades","Push Up",79.9,87.7,87.2,89.0,88.9
"Hamden School District","=""0620011""","All Grades","Push Up",79.4,78.6,75.4,78.4,69.7
"Hampton School District","=""0630011""","All Grades","Push Up",84.6,80.0,72.4,100.0,87.0
"Hartford School District","=""0640011""","All Grades","Push Up",61.7,60.2,62.1,65.0,61.6
"Hartland School District","=""0650011""","All Grades","Push Up",82.8,85.9,83.8,92.0,87.7
"Hebron School District","=""0670011""","All Grades","Push Up",89.8,91.2,90.7,83.2,68.5
"Highville Charter School District","=""2860013""","All Grades","Push Up",51.7,49.4,58.3,81.7,93.4
"Integrated Day Charter School District","=""2640013""","All Grades","Push Up",83.8,85.3,86.1,61.2,59.2
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Push Up",82.3,61.6,36.5,55.5,79.3
"Jumoke Academy District","=""2610013""","All Grades","Push Up",52.0,52.3,39.5,47.9,52.0
"Kent School District","=""0680011""","All Grades","Push Up",75.0,84.3,69.3,82.4,70.0
"Killingly School District","=""0690011""","All Grades","Push Up",67.6,75.1,75.3,77.2,63.2
"Learn","=""2450014""","All Grades","Push Up",66.3,76.8,78.2,70.9,75.8
"Lebanon School District","=""0710011""","All Grades","Push Up",81.0,86.9,87.0,82.4,76.9
"Ledyard School District","=""0720011""","All Grades","Push Up",78.6,81.8,77.2,74.2,67.5
"Lisbon School District","=""0730011""","All Grades","Push Up",52.3,51.8,58.7,51.4,76.5
"Litchfield School District","=""0740011""","All Grades","Push Up",84.0,82.9,82.3,84.1,81.1
"Madison School District","=""0760011""","All Grades","Push Up",85.2,82.3,84.2,82.1,76.0
"Manchester School District","=""0770011""","All Grades","Push Up",73.8,74.7,71.7,71.3,65.0
"Mansfield School District","=""0780011""","All Grades","Push Up",78.6,78.1,74.0,74.7,73.4
"Marlborough School District","=""0790011""","All Grades","Push Up",73.2,70.2,89.9,83.3,95.3
"Meriden School District","=""0800011""","All Grades","Push Up",59.5,58.4,53.8,61.4,61.1
"Middletown School District","=""0830011""","All Grades","Push Up",60.5,60.7,64.6,63.5,58.1
"Milford School District","=""0840011""","All Grades","Push Up",82.7,78.5,76.8,82.1,82.8
"Monroe School District","=""0850011""","All Grades","Push Up",79.9,82.7,81.6,79.8,78.9
"Montville School District","=""0860011""","All Grades","Push Up",58.0,57.6,65.3,60.7,68.1
"Naugatuck School District","=""0880011""","All Grades","Push Up",67.6,65.5,66.9,70.7,71.7
"New Beginnings Inc Family Academy District","=""2800013""","All Grades","Push Up","N/A","N/A","N/A",71.3,45.3
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Push Up",35.1,64.1,62.1,"N/A","N/A"
"New Britain School District","=""0890011""","All Grades","Push Up",54.2,57.0,60.0,62.5,65.3
"New Canaan School District","=""0900011""","All Grades","Push Up",91.8,91.8,93.0,91.6,91.1
"New Fairfield School District","=""0910011""","All Grades","Push Up",89.4,88.9,85.1,71.5,78.6
