"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","All Tests - District",20.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Curl Up",53.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Mile Run",53.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Push Up",46.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Sit and Reach",53.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","All Tests - District",22.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Curl Up",55.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Mile Run",38.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Push Up",47.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Sit and Reach",67.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","All Tests - District",14.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Curl Up",68.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Mile Run",43.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Push Up",63.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Sit and Reach",71.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Sit and Reach","N/A"
"Amistad Academy District","=""2790013""","Grade 4","All Tests - District",18.8
"Amistad Academy District","=""2790013""","Grade 4","Curl Up",82.6
"Amistad Academy District","=""2790013""","Grade 4","Mile Run",68.1
"Amistad Academy District","=""2790013""","Grade 4","Push Up",85.5
"Amistad Academy District","=""2790013""","Grade 4","Sit and Reach",73.9
"Amistad Academy District","=""2790013""","Grade 6","All Tests - District",10.0
"Amistad Academy District","=""2790013""","Grade 6","Curl Up",43.3
"Amistad Academy District","=""2790013""","Grade 6","Mile Run",68.3
"Amistad Academy District","=""2790013""","Grade 6","Push Up",43.3
"Amistad Academy District","=""2790013""","Grade 6","Sit and Reach",35.0
"Amistad Academy District","=""2790013""","Grade 8","All Tests - District",12.5
"Amistad Academy District","=""2790013""","Grade 8","Curl Up",37.5
"Amistad Academy District","=""2790013""","Grade 8","Mile Run",52.1
"Amistad Academy District","=""2790013""","Grade 8","Push Up",43.8
"Amistad Academy District","=""2790013""","Grade 8","Sit and Reach",47.9
"Amistad Academy District","=""2790013""","Grade 10","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 10","Curl Up",51.9
"Amistad Academy District","=""2790013""","Grade 10","Mile Run",70.4
"Amistad Academy District","=""2790013""","Grade 10","Push Up",63.0
"Amistad Academy District","=""2790013""","Grade 10","Sit and Reach",48.1
"Andover School District","=""0010011""","Grade 4","All Tests - District",58.0
"Andover School District","=""0010011""","Grade 4","Curl Up",66.0
"Andover School District","=""0010011""","Grade 4","Mile Run",84.0
"Andover School District","=""0010011""","Grade 4","Push Up",82.0
"Andover School District","=""0010011""","Grade 4","Sit and Reach",92.0
"Andover School District","=""0010011""","Grade 6","All Tests - District",46.2
"Andover School District","=""0010011""","Grade 6","Curl Up",66.7
"Andover School District","=""0010011""","Grade 6","Mile Run",87.2
"Andover School District","=""0010011""","Grade 6","Push Up",69.2
"Andover School District","=""0010011""","Grade 6","Sit and Reach",79.5
"Andover School District","=""0010011""","Grade 8","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Grade 8","Sit and Reach","N/A"
"Andover School District","=""0010011""","Grade 10","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 10","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 10","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 10","Push Up","N/A"
"Andover School District","=""0010011""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Grade 4","All Tests - District",30.4
"Ansonia School District","=""0020011""","Grade 4","Curl Up",79.5
"Ansonia School District","=""0020011""","Grade 4","Mile Run",61.4
"Ansonia School District","=""0020011""","Grade 4","Push Up",59.1
"Ansonia School District","=""0020011""","Grade 4","Sit and Reach",86.5
"Ansonia School District","=""0020011""","Grade 6","All Tests - District",26.6
"Ansonia School District","=""0020011""","Grade 6","Curl Up",72.8
"Ansonia School District","=""0020011""","Grade 6","Mile Run",63.9
"Ansonia School District","=""0020011""","Grade 6","Push Up",50.3
"Ansonia School District","=""0020011""","Grade 6","Sit and Reach",75.1
"Ansonia School District","=""0020011""","Grade 8","All Tests - District",35.5
"Ansonia School District","=""0020011""","Grade 8","Curl Up",64.5
"Ansonia School District","=""0020011""","Grade 8","Mile Run",95.2
"Ansonia School District","=""0020011""","Grade 8","Push Up",82.3
"Ansonia School District","=""0020011""","Grade 8","Sit and Reach",91.9
"Ansonia School District","=""0020011""","Grade 10","All Tests - District",63.6
"Ansonia School District","=""0020011""","Grade 10","Curl Up",86.4
"Ansonia School District","=""0020011""","Grade 10","Mile Run",66.4
"Ansonia School District","=""0020011""","Grade 10","Push Up",81.4
"Ansonia School District","=""0020011""","Grade 10","Sit and Reach",86.4
"Area Cooperative Educational Services","=""2440014""","Grade 4","All Tests - District",34.2
"Area Cooperative Educational Services","=""2440014""","Grade 4","Curl Up",72.6
"Area Cooperative Educational Services","=""2440014""","Grade 4","Mile Run",61.6
"Area Cooperative Educational Services","=""2440014""","Grade 4","Push Up",58.9
"Area Cooperative Educational Services","=""2440014""","Grade 4","Sit and Reach",76.7
"Area Cooperative Educational Services","=""2440014""","Grade 6","All Tests - District",43.8
"Area Cooperative Educational Services","=""2440014""","Grade 6","Curl Up",86.0
"Area Cooperative Educational Services","=""2440014""","Grade 6","Mile Run",60.6
"Area Cooperative Educational Services","=""2440014""","Grade 6","Push Up",61.8
"Area Cooperative Educational Services","=""2440014""","Grade 6","Sit and Reach",79.5
"Area Cooperative Educational Services","=""2440014""","Grade 8","All Tests - District",41.3
"Area Cooperative Educational Services","=""2440014""","Grade 8","Curl Up",83.0
"Area Cooperative Educational Services","=""2440014""","Grade 8","Mile Run",63.3
"Area Cooperative Educational Services","=""2440014""","Grade 8","Push Up",54.8
"Area Cooperative Educational Services","=""2440014""","Grade 8","Sit and Reach",83.0
"Area Cooperative Educational Services","=""2440014""","Grade 10","All Tests - District","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Curl Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Mile Run","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Push Up","N/A"
"Area Cooperative Educational Services","=""2440014""","Grade 10","Sit and Reach","N/A"
"Ashford School District","=""0030011""","Grade 4","All Tests - District",55.9
"Ashford School District","=""0030011""","Grade 4","Curl Up",91.2
"Ashford School District","=""0030011""","Grade 4","Mile Run",76.5
"Ashford School District","=""0030011""","Grade 4","Push Up",67.6
"Ashford School District","=""0030011""","Grade 4","Sit and Reach",97.1
"Ashford School District","=""0030011""","Grade 6","All Tests - District",38.0
"Ashford School District","=""0030011""","Grade 6","Curl Up",64.0
"Ashford School District","=""0030011""","Grade 6","Mile Run",64.0
"Ashford School District","=""0030011""","Grade 6","Push Up",96.0
"Ashford School District","=""0030011""","Grade 6","Sit and Reach",58.0
"Ashford School District","=""0030011""","Grade 8","All Tests - District",51.0
"Ashford School District","=""0030011""","Grade 8","Curl Up",91.8
"Ashford School District","=""0030011""","Grade 8","Mile Run",57.1
"Ashford School District","=""0030011""","Grade 8","Push Up",83.7
"Ashford School District","=""0030011""","Grade 8","Sit and Reach",98.0
"Ashford School District","=""0030011""","Grade 10","All Tests - District","N/A"
"Ashford School District","=""0030011""","Grade 10","Curl Up","N/A"
"Ashford School District","=""0030011""","Grade 10","Mile Run","N/A"
"Ashford School District","=""0030011""","Grade 10","Push Up","N/A"
"Ashford School District","=""0030011""","Grade 10","Sit and Reach","N/A"
"Avon School District","=""0040011""","Grade 4","All Tests - District",59.0
"Avon School District","=""0040011""","Grade 4","Curl Up",86.6
"Avon School District","=""0040011""","Grade 4","Mile Run",82.0
"Avon School District","=""0040011""","Grade 4","Push Up",74.6
"Avon School District","=""0040011""","Grade 4","Sit and Reach",80.2
"Avon School District","=""0040011""","Grade 6","All Tests - District",64.7
"Avon School District","=""0040011""","Grade 6","Curl Up",91.8
"Avon School District","=""0040011""","Grade 6","Mile Run",92.2
"Avon School District","=""0040011""","Grade 6","Push Up",72.5
"Avon School District","=""0040011""","Grade 6","Sit and Reach",83.1
"Avon School District","=""0040011""","Grade 8","All Tests - District",38.0
"Avon School District","=""0040011""","Grade 8","Curl Up",90.1
"Avon School District","=""0040011""","Grade 8","Mile Run",91.6
"Avon School District","=""0040011""","Grade 8","Push Up",65.4
"Avon School District","=""0040011""","Grade 8","Sit and Reach",61.6
"Avon School District","=""0040011""","Grade 10","All Tests - District",49.6
"Avon School District","=""0040011""","Grade 10","Curl Up",85.7
"Avon School District","=""0040011""","Grade 10","Mile Run",77.6
"Avon School District","=""0040011""","Grade 10","Push Up",79.0
"Avon School District","=""0040011""","Grade 10","Sit and Reach",71.3
"Barkhamsted School District","=""0050011""","Grade 4","All Tests - District",60.0
"Barkhamsted School District","=""0050011""","Grade 4","Curl Up",91.4
"Barkhamsted School District","=""0050011""","Grade 4","Mile Run",65.7
"Barkhamsted School District","=""0050011""","Grade 4","Push Up",71.4
"Barkhamsted School District","=""0050011""","Grade 4","Sit and Reach",94.3
"Barkhamsted School District","=""0050011""","Grade 6","All Tests - District",44.0
"Barkhamsted School District","=""0050011""","Grade 6","Curl Up",90.0
"Barkhamsted School District","=""0050011""","Grade 6","Mile Run",64.0
"Barkhamsted School District","=""0050011""","Grade 6","Push Up",70.0
"Barkhamsted School District","=""0050011""","Grade 6","Sit and Reach",74.0
"Barkhamsted School District","=""0050011""","Grade 8","All Tests - District","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Curl Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Mile Run","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Push Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 8","Sit and Reach","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","All Tests - District","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Curl Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Mile Run","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Push Up","N/A"
"Barkhamsted School District","=""0050011""","Grade 10","Sit and Reach","N/A"
"Berlin School District","=""0070011""","Grade 4","All Tests - District",69.6
"Berlin School District","=""0070011""","Grade 4","Curl Up",90.7
"Berlin School District","=""0070011""","Grade 4","Mile Run",83.8
"Berlin School District","=""0070011""","Grade 4","Push Up",78.4
"Berlin School District","=""0070011""","Grade 4","Sit and Reach",96.6
"Berlin School District","=""0070011""","Grade 6","All Tests - District",55.9
"Berlin School District","=""0070011""","Grade 6","Curl Up",87.8
"Berlin School District","=""0070011""","Grade 6","Mile Run",84.3
"Berlin School District","=""0070011""","Grade 6","Push Up",75.5
"Berlin School District","=""0070011""","Grade 6","Sit and Reach",81.7
"Berlin School District","=""0070011""","Grade 8","All Tests - District",63.2
"Berlin School District","=""0070011""","Grade 8","Curl Up",93.4
"Berlin School District","=""0070011""","Grade 8","Mile Run",83.9
"Berlin School District","=""0070011""","Grade 8","Push Up",81.8
"Berlin School District","=""0070011""","Grade 8","Sit and Reach",83.5
"Berlin School District","=""0070011""","Grade 10","All Tests - District",46.6
"Berlin School District","=""0070011""","Grade 10","Curl Up",94.8
"Berlin School District","=""0070011""","Grade 10","Mile Run",53.4
"Berlin School District","=""0070011""","Grade 10","Push Up",89.6
"Berlin School District","=""0070011""","Grade 10","Sit and Reach",89.6
"Bethany School District","=""0080011""","Grade 4","All Tests - District",37.2
"Bethany School District","=""0080011""","Grade 4","Curl Up",88.5
"Bethany School District","=""0080011""","Grade 4","Mile Run",84.6
"Bethany School District","=""0080011""","Grade 4","Push Up",57.7
"Bethany School District","=""0080011""","Grade 4","Sit and Reach",52.6
"Bethany School District","=""0080011""","Grade 6","All Tests - District",26.2
"Bethany School District","=""0080011""","Grade 6","Curl Up",75.4
"Bethany School District","=""0080011""","Grade 6","Mile Run",93.8
"Bethany School District","=""0080011""","Grade 6","Push Up",55.4
"Bethany School District","=""0080011""","Grade 6","Sit and Reach",55.4
"Bethany School District","=""0080011""","Grade 8","All Tests - District","N/A"
"Bethany School District","=""0080011""","Grade 8","Curl Up","N/A"
"Bethany School District","=""0080011""","Grade 8","Mile Run","N/A"
"Bethany School District","=""0080011""","Grade 8","Push Up","N/A"
"Bethany School District","=""0080011""","Grade 8","Sit and Reach","N/A"
"Bethany School District","=""0080011""","Grade 10","All Tests - District","N/A"
"Bethany School District","=""0080011""","Grade 10","Curl Up","N/A"
"Bethany School District","=""0080011""","Grade 10","Mile Run","N/A"
"Bethany School District","=""0080011""","Grade 10","Push Up","N/A"
"Bethany School District","=""0080011""","Grade 10","Sit and Reach","N/A"
