"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, Curl Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",58.5
"Amistad Academy District","=""2790013""","All Grades","Curl Up",56.4
"Andover School District","=""0010011""","All Grades","Curl Up",66.3
"Ansonia School District","=""0020011""","All Grades","Curl Up",76.2
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",83.3
"Ashford School District","=""0030011""","All Grades","Curl Up",81.2
"Avon School District","=""0040011""","All Grades","Curl Up",88.4
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",90.6
"Berlin School District","=""0070011""","All Grades","Curl Up",91.6
"Bethany School District","=""0080011""","All Grades","Curl Up",82.5
"Bethel School District","=""0090011""","All Grades","Curl Up",88.0
"Bloomfield School District","=""0110011""","All Grades","Curl Up",87.2
"Bolton School District","=""0120011""","All Grades","Curl Up",90.1
"Bozrah School District","=""0130011""","All Grades","Curl Up",97.0
"Branford School District","=""0140011""","All Grades","Curl Up",79.5
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",75.7
"Bridgeport School District","=""0150011""","All Grades","Curl Up",81.9
"Bristol School District","=""0170011""","All Grades","Curl Up",86.7
"Brookfield School District","=""0180011""","All Grades","Curl Up",85.2
"Brooklyn School District","=""0190011""","All Grades","Curl Up",67.9
"Canaan School District","=""0210011""","All Grades","Curl Up",83.3
"Canterbury School District","=""0220011""","All Grades","Curl Up",75.5
"Canton School District","=""0230011""","All Grades","Curl Up",86.5
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",77.0
"Chaplin School District","=""0240011""","All Grades","Curl Up",63.0
"Cheshire School District","=""0250011""","All Grades","Curl Up",92.7
"Chester School District","=""0260011""","All Grades","Curl Up",87.5
