"Physical Fitness Tests: Students Reaching Health Standard, 2012-13"
"All Districts, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2012-13"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",66.2
"Amistad Academy District","=""2790013""","All Grades","Push Up",56.5
"Andover School District","=""0010011""","All Grades","Push Up",85.9
"Ansonia School District","=""0020011""","All Grades","Push Up",68.1
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",65.5
"Ashford School District","=""0030011""","All Grades","Push Up",81.5
"Avon School District","=""0040011""","All Grades","Push Up",81.5
"Barkhamsted School District","=""0050011""","All Grades","Push Up",79.8
"Berlin School District","=""0070011""","All Grades","Push Up",78.4
"Bethany School District","=""0080011""","All Grades","Push Up",39.1
"Bethel School District","=""0090011""","All Grades","Push Up",61.0
"Bloomfield School District","=""0110011""","All Grades","Push Up",67.2
"Bolton School District","=""0120011""","All Grades","Push Up",80.3
"Bozrah School District","=""0130011""","All Grades","Push Up",79.1
"Branford School District","=""0140011""","All Grades","Push Up",72.8
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",36.3
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.4
"Bristol School District","=""0170011""","All Grades","Push Up",76.7
"Brookfield School District","=""0180011""","All Grades","Push Up",77.2
"Brooklyn School District","=""0190011""","All Grades","Push Up",48.8
"Canaan School District","=""0210011""","All Grades","Push Up",65.2
"Canterbury School District","=""0220011""","All Grades","Push Up",69.7
"Canton School District","=""0230011""","All Grades","Push Up",88.8
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",71.7
"Chaplin School District","=""0240011""","All Grades","Push Up",68.4
"Cheshire School District","=""0250011""","All Grades","Push Up",84.2
"Chester School District","=""0260011""","All Grades","Push Up",75.9
"Clinton School District","=""0270011""","All Grades","Push Up",70.0
"Colchester School District","=""0280011""","All Grades","Push Up",71.7
"Colebrook School District","=""0290011""","All Grades","Push Up",52.8
"Columbia School District","=""0300011""","All Grades","Push Up",95.2
"Common Ground High School District","=""2680013""","All Grades","Push Up",47.6
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",68.6
"Cooperative Educational Services","=""2430014""","All Grades","Push Up",85.5
"Cornwall School District","=""0310011""","All Grades","Push Up",71.4
"Coventry School District","=""0320011""","All Grades","Push Up",75.1
"Cromwell School District","=""0330011""","All Grades","Push Up",80.9
"Danbury School District","=""0340011""","All Grades","Push Up",63.4
"Darien School District","=""0350011""","All Grades","Push Up",85.5
"Deep River School District","=""0360011""","All Grades","Push Up",81.9
"Derby School District","=""0370011""","All Grades","Push Up",53.3
"East Granby School District","=""0400011""","All Grades","Push Up",69.1
"East Haddam School District","=""0410011""","All Grades","Push Up",51.7
"East Hampton School District","=""0420011""","All Grades","Push Up",71.1
"East Hartford School District","=""0430011""","All Grades","Push Up",74.5
"East Haven School District","=""0440011""","All Grades","Push Up",71.1
"East Lyme School District","=""0450011""","All Grades","Push Up",85.8
"East Windsor School District","=""0470011""","All Grades","Push Up",53.3
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Push Up",77.3
"Eastford School District","=""0390011""","All Grades","Push Up",86.5
"Easton School District","=""0460011""","All Grades","Push Up",82.7
"Ellington School District","=""0480011""","All Grades","Push Up",69.2
"Elm City College Preparatory School District","=""2890013""","All Grades","Push Up",39.7
"Enfield School District","=""0490011""","All Grades","Push Up",81.6
"Essex School District","=""0500011""","All Grades","Push Up",72.1
"Explorations District","=""2720013""","All Grades","Push Up","*"
"Fairfield School District","=""0510011""","All Grades","Push Up",79.9
"Farmington School District","=""0520011""","All Grades","Push Up",75.9
"Franklin School District","=""0530011""","All Grades","Push Up",80.0
"Glastonbury School District","=""0540011""","All Grades","Push Up",76.0
"Granby School District","=""0560011""","All Grades","Push Up",75.7
"Greenwich School District","=""0570011""","All Grades","Push Up",85.8
"Griswold School District","=""0580011""","All Grades","Push Up",75.3
"Groton School District","=""0590011""","All Grades","Push Up",74.4
"Guilford School District","=""0600011""","All Grades","Push Up",87.7
"Hamden School District","=""0620011""","All Grades","Push Up",78.6
"Hampton School District","=""0630011""","All Grades","Push Up",80.0
"Hartford School District","=""0640011""","All Grades","Push Up",60.2
"Hartland School District","=""0650011""","All Grades","Push Up",85.9
"Hebron School District","=""0670011""","All Grades","Push Up",91.2
"Highville Charter School District","=""2860013""","All Grades","Push Up",49.4
"Integrated Day Charter School District","=""2640013""","All Grades","Push Up",85.3
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Push Up",61.6
"Jumoke Academy District","=""2610013""","All Grades","Push Up",52.3
"Kent School District","=""0680011""","All Grades","Push Up",84.3
"Killingly School District","=""0690011""","All Grades","Push Up",75.1
"Learn","=""2450014""","All Grades","Push Up",76.8
"Lebanon School District","=""0710011""","All Grades","Push Up",86.9
"Ledyard School District","=""0720011""","All Grades","Push Up",81.8
"Lisbon School District","=""0730011""","All Grades","Push Up",51.8
"Litchfield School District","=""0740011""","All Grades","Push Up",82.9
"Madison School District","=""0760011""","All Grades","Push Up",82.3
"Manchester School District","=""0770011""","All Grades","Push Up",74.7
"Mansfield School District","=""0780011""","All Grades","Push Up",78.1
"Marlborough School District","=""0790011""","All Grades","Push Up",70.2
"Meriden School District","=""0800011""","All Grades","Push Up",58.4
"Middletown School District","=""0830011""","All Grades","Push Up",60.7
"Milford School District","=""0840011""","All Grades","Push Up",78.5
"Monroe School District","=""0850011""","All Grades","Push Up",82.7
"Montville School District","=""0860011""","All Grades","Push Up",57.6
"Naugatuck School District","=""0880011""","All Grades","Push Up",65.5
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Push Up",64.1
"New Britain School District","=""0890011""","All Grades","Push Up",57.0
"New Canaan School District","=""0900011""","All Grades","Push Up",91.8
"New Fairfield School District","=""0910011""","All Grades","Push Up",88.9
"New Hartford School District","=""0920011""","All Grades","Push Up",81.5
"New Haven School District","=""0930011""","All Grades","Push Up",64.7
"New London School District","=""0950011""","All Grades","Push Up",56.4
"New Milford School District","=""0960011""","All Grades","Push Up",56.3
"Newington School District","=""0940011""","All Grades","Push Up",68.1
"Newtown School District","=""0970011""","All Grades","Push Up",86.6
"Norfolk School District","=""0980011""","All Grades","Push Up",81.6
"North Branford School District","=""0990011""","All Grades","Push Up",88.2
"North Canaan School District","=""1000011""","All Grades","Push Up",50.5
"North Haven School District","=""1010011""","All Grades","Push Up",75.2
"North Stonington School District","=""1020011""","All Grades","Push Up",76.4
"Norwalk School District","=""1030011""","All Grades","Push Up",73.1
"Norwich Free Academy District","=""9010022""","All Grades","Push Up",70.1
"Norwich School District","=""1040011""","All Grades","Push Up",62.0
"Odyssey Community School District","=""2630013""","All Grades","Push Up",68.4
"Old Saybrook School District","=""1060011""","All Grades","Push Up",75.1
"Orange School District","=""1070011""","All Grades","Push Up",70.9
"Oxford School District","=""1080011""","All Grades","Push Up",77.8
"Park City Prep Charter School District","=""2830013""","All Grades","Push Up",54.3
"Plainfield School District","=""1090011""","All Grades","Push Up",72.4
"Plainville School District","=""1100011""","All Grades","Push Up",77.4
"Plymouth School District","=""1110011""","All Grades","Push Up",72.5
"Pomfret School District","=""1120011""","All Grades","Push Up",65.9
"Portland School District","=""1130011""","All Grades","Push Up",68.6
"Preston School District","=""1140011""","All Grades","Push Up",71.0
"Putnam School District","=""1160011""","All Grades","Push Up",66.1
"Redding School District","=""1170011""","All Grades","Push Up",88.0
"Regional School District 01","=""2010012""","All Grades","Push Up",64.1
"Regional School District 04","=""2040012""","All Grades","Push Up",72.3
"Regional School District 05","=""2050012""","All Grades","Push Up",92.8
"Regional School District 06","=""2060012""","All Grades","Push Up",80.6
"Regional School District 07","=""2070012""","All Grades","Push Up",60.0
"Regional School District 08","=""2080012""","All Grades","Push Up",81.9
"Regional School District 10","=""2100012""","All Grades","Push Up",83.8
"Regional School District 11","=""2110012""","All Grades","Push Up",73.6
"Regional School District 12","=""2120012""","All Grades","Push Up",85.3
"Regional School District 13","=""2130012""","All Grades","Push Up",82.0
"Regional School District 14","=""2140012""","All Grades","Push Up",76.1
"Regional School District 15","=""2150012""","All Grades","Push Up",79.5
"Regional School District 16","=""2160012""","All Grades","Push Up",76.2
"Regional School District 17","=""2170012""","All Grades","Push Up",80.3
"Regional School District 18","=""2180012""","All Grades","Push Up",75.6
"Regional School District 19","=""2190012""","All Grades","Push Up",73.8
"Ridgefield School District","=""1180011""","All Grades","Push Up",83.0
"Rocky Hill School District","=""1190011""","All Grades","Push Up",81.1
"Salem School District","=""1210011""","All Grades","Push Up",65.2
"Salisbury School District","=""1220011""","All Grades","Push Up",80.6
"Scotland School District","=""1230011""","All Grades","Push Up",57.9
"Seymour School District","=""1240011""","All Grades","Push Up",64.6
"Sharon School District","=""1250011""","All Grades","Push Up",71.8
"Shelton School District","=""1260011""","All Grades","Push Up",79.3
"Sherman School District","=""1270011""","All Grades","Push Up",79.1
"Side By Side Charter School District","=""2700013""","All Grades","Push Up",91.9
"Simsbury School District","=""1280011""","All Grades","Push Up",82.8
"Somers School District","=""1290011""","All Grades","Push Up",78.3
"South Windsor School District","=""1320011""","All Grades","Push Up",82.4
"Southington School District","=""1310011""","All Grades","Push Up",79.3
"Sprague School District","=""1330011""","All Grades","Push Up",65.8
"Stafford School District","=""1340011""","All Grades","Push Up",58.4
"Stamford Academy District","=""2820013""","All Grades","Push Up",50.0
"Stamford School District","=""1350011""","All Grades","Push Up",74.9
"Sterling School District","=""1360011""","All Grades","Push Up",79.9
"Stonington School District","=""1370011""","All Grades","Push Up",78.7
"Stratford School District","=""1380011""","All Grades","Push Up",81.7
"Suffield School District","=""1390011""","All Grades","Push Up",68.5
"The Bridge Academy District","=""2690013""","All Grades","Push Up",63.8
"The Gilbert School District","=""9020022""","All Grades","Push Up",58.8
"Thomaston School District","=""1400011""","All Grades","Push Up",65.2
"Thompson School District","=""1410011""","All Grades","Push Up",56.4
"Tolland School District","=""1420011""","All Grades","Push Up",80.0
"Torrington School District","=""1430011""","All Grades","Push Up",62.6
"Trailblazers Academy District","=""2780013""","All Grades","Push Up",73.7
"Trumbull School District","=""1440011""","All Grades","Push Up",85.0
"Union School District","=""1450011""","All Grades","Push Up",100.0
"Vernon School District","=""1460011""","All Grades","Push Up",80.7
"Voluntown School District","=""1470011""","All Grades","Push Up",78.8
"Wallingford School District","=""1480011""","All Grades","Push Up",70.1
"Waterbury School District","=""1510011""","All Grades","Push Up",67.5
"Waterford School District","=""1520011""","All Grades","Push Up",73.2
"Watertown School District","=""1530011""","All Grades","Push Up",72.1
"West Hartford School District","=""1550011""","All Grades","Push Up",79.8
"West Haven School District","=""1560011""","All Grades","Push Up",53.5
"Westbrook School District","=""1540011""","All Grades","Push Up",77.2
"Weston School District","=""1570011""","All Grades","Push Up",81.9
"Westport School District","=""1580011""","All Grades","Push Up",82.3
"Wethersfield School District","=""1590011""","All Grades","Push Up",67.0
"Willington School District","=""1600011""","All Grades","Push Up",76.0
"Wilton School District","=""1610011""","All Grades","Push Up",91.4
"Winchester School District","=""1620011""","All Grades","Push Up",67.3
"Windham School District","=""1630011""","All Grades","Push Up",73.9
"Windsor Locks School District","=""1650011""","All Grades","Push Up",60.6
"Windsor School District","=""1640011""","All Grades","Push Up",60.6
"Wolcott School District","=""1660011""","All Grades","Push Up",83.4
"Woodbridge School District","=""1670011""","All Grades","Push Up",72.3
"Woodstock Academy District","=""9030022""","All Grades","Push Up",87.0
"Woodstock School District","=""1690011""","All Grades","Push Up",68.8

