"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","All Tests - District",19.8,32.3,29.5,39.6,36.9
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",58.5,70.3,66.3,70.0,56.4
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",44.9,70.3,62.1,71.4,57.0
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",51.2,66.2,56.8,61.2,54.8
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",64.3,76.9,78.9,80.6,70.1
"Amistad Academy District","=""2790013""","All Grades","All Tests - District",13.7,16.5,18.5,11.3,23.0
"Amistad Academy District","=""2790013""","All Grades","Curl Up",56.4,57.4,45.7,53.2,44.9
"Amistad Academy District","=""2790013""","All Grades","Mile Run",64.7,64.8,59.3,33.3,74.3
"Amistad Academy District","=""2790013""","All Grades","Push Up",60.3,56.5,50.6,58.2,54.0
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",52.9,53.0,61.1,80.9,65.8
"Andover School District","=""0010011""","All Grades","All Tests - District",52.8,69.2,51.6,67.1,76.7
"Andover School District","=""0010011""","All Grades","Curl Up",66.3,80.8,71.6,81.7,84.9
"Andover School District","=""0010011""","All Grades","Mile Run",85.4,94.9,91.6,84.1,97.7
"Andover School District","=""0010011""","All Grades","Push Up",76.4,85.9,81.1,81.7,91.9
"Andover School District","=""0010011""","All Grades","Sit and Reach",86.5,91.0,93.7,93.9,96.5
"Ansonia School District","=""0020011""","All Grades","All Tests - District",38.1,36.7,35.0,38.0,43.5
"Ansonia School District","=""0020011""","All Grades","Curl Up",76.2,81.4,79.3,74.4,82.1
"Ansonia School District","=""0020011""","All Grades","Mile Run",70.2,59.7,63.9,66.9,66.6
"Ansonia School District","=""0020011""","All Grades","Push Up",66.6,68.1,59.2,61.8,69.5
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",84.4,83.9,83.5,77.6,85.7
"Area Cooperative Educational Services","=""2440014""","All Grades","All Tests - District",41.7,38.0,36.3,33.4,35.2
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",83.3,75.5,81.8,71.6,73.3
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",61.8,60.5,59.0,58.7,70.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",58.6,65.5,56.0,59.5,49.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",80.7,77.5,79.7,77.0,73.7
"Ashford School District","=""0030011""","All Grades","All Tests - District",47.4,51.7,45.6,47.9,11.0
"Ashford School District","=""0030011""","All Grades","Curl Up",81.2,83.4,68.4,84.3,81.7
"Ashford School District","=""0030011""","All Grades","Mile Run",64.7,73.5,68.4,69.3,70.6
"Ashford School District","=""0030011""","All Grades","Push Up",84.2,81.5,74.6,63.6,29.4
"Ashford School District","=""0030011""","All Grades","Sit and Reach",82.7,81.5,87.7,95.0,45.0
"Avon School District","=""0040011""","All Grades","All Tests - District",52.8,58.0,56.9,59.3,59.2
"Avon School District","=""0040011""","All Grades","Curl Up",88.4,86.2,87.0,89.8,85.4
"Avon School District","=""0040011""","All Grades","Mile Run",85.6,83.1,86.9,86.0,78.0
"Avon School District","=""0040011""","All Grades","Push Up",73.0,81.5,81.0,85.2,75.2
"Avon School District","=""0040011""","All Grades","Sit and Reach",74.1,75.5,77.8,74.6,72.3
"Barkhamsted School District","=""0050011""","All Grades","All Tests - District",50.6,50.4,44.3,45.4,49.5
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",90.6,100.0,89.9,80.6,88.4
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",64.7,63.9,67.1,67.6,71.6
"Barkhamsted School District","=""0050011""","All Grades","Push Up",70.6,79.8,59.5,69.4,65.3
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",82.4,93.3,74.7,75.9,85.3
"Berlin School District","=""0070011""","All Grades","All Tests - District",59.1,62.6,60.5,64.7,56.6
"Berlin School District","=""0070011""","All Grades","Curl Up",91.6,90.1,93.5,92.4,88.5
"Berlin School District","=""0070011""","All Grades","Mile Run",77.2,81.3,80.2,84.5,78.8
"Berlin School District","=""0070011""","All Grades","Push Up",81.1,78.4,79.0,82.6,76.0
"Berlin School District","=""0070011""","All Grades","Sit and Reach",87.4,88.0,85.1,87.6,86.5
"Bethany School District","=""0080011""","All Grades","All Tests - District",32.2,26.9,20.0,33.3,48.7
"Bethany School District","=""0080011""","All Grades","Curl Up",82.5,67.9,40.7,64.2,92.0
"Bethany School District","=""0080011""","All Grades","Mile Run",88.8,87.8,66.4,58.5,76.1
"Bethany School District","=""0080011""","All Grades","Push Up",56.6,39.1,60.0,60.2,76.1
"Bethany School District","=""0080011""","All Grades","Sit and Reach",53.8,71.8,62.1,77.2,66.4
"Bethel School District","=""0090011""","All Grades","All Tests - District",54.5,46.6,45.5,39.3,46.3
"Bethel School District","=""0090011""","All Grades","Curl Up",88.0,85.7,80.1,74.6,83.6
"Bethel School District","=""0090011""","All Grades","Mile Run",76.4,73.6,70.6,70.6,73.3
"Bethel School District","=""0090011""","All Grades","Push Up",72.6,61.0,61.0,57.9,62.9
"Bethel School District","=""0090011""","All Grades","Sit and Reach",88.1,88.1,86.4,82.5,84.0
"Bloomfield School District","=""0110011""","All Grades","All Tests - District",47.1,44.8,40.5,44.8,52.4
"Bloomfield School District","=""0110011""","All Grades","Curl Up",87.2,83.1,80.9,80.5,75.9
"Bloomfield School District","=""0110011""","All Grades","Mile Run",74.3,53.5,55.3,66.2,70.5
"Bloomfield School District","=""0110011""","All Grades","Push Up",78.2,67.2,60.7,66.0,66.6
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",68.1,77.6,75.9,75.0,80.4
"Bolton School District","=""0120011""","All Grades","All Tests - District",67.8,63.2,58.9,61.5,54.1
"Bolton School District","=""0120011""","All Grades","Curl Up",90.1,90.0,91.5,90.8,91.0
"Bolton School District","=""0120011""","All Grades","Mile Run",89.4,87.4,83.9,87.9,87.1
"Bolton School District","=""0120011""","All Grades","Push Up",73.9,80.3,68.5,76.2,69.1
"Bolton School District","=""0120011""","All Grades","Sit and Reach",88.7,83.7,85.1,83.7,79.8
"Bozrah School District","=""0130011""","All Grades","All Tests - District",70.1,68.7,62.7,77.6,72.1
"Bozrah School District","=""0130011""","All Grades","Curl Up",97.0,97.0,90.4,100.0,88.5
"Bozrah School District","=""0130011""","All Grades","Mile Run",82.1,76.1,74.7,83.6,88.5
"Bozrah School District","=""0130011""","All Grades","Push Up",82.1,79.1,79.5,85.1,88.5
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",86.6,89.6,91.6,91.0,86.9
"Branford School District","=""0140011""","All Grades","All Tests - District",44.4,53.9,52.7,47.5,48.5
"Branford School District","=""0140011""","All Grades","Curl Up",79.5,84.7,80.5,83.8,88.7
"Branford School District","=""0140011""","All Grades","Mile Run",63.3,70.3,70.4,62.4,66.9
"Branford School District","=""0140011""","All Grades","Push Up",69.1,72.8,70.2,70.0,76.7
"Branford School District","=""0140011""","All Grades","Sit and Reach",71.5,78.9,78.9,82.6,81.5
"Bridgeport Achievement First District","=""2850013""","All Grades","All Tests - District",19.3,13.0,15.9,32.9,43.3
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",75.7,30.1,62.1,76.2,66.6
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",42.9,42.5,51.1,54.9,69.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",61.4,36.3,58.2,65.3,62.4
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",63.6,39.0,53.8,54.5,60.8
"Bridgeport School District","=""0150011""","All Grades","All Tests - District",46.2,40.8,43.4,34.9,38.4
"Bridgeport School District","=""0150011""","All Grades","Curl Up",81.9,80.4,82.6,75.8,77.4
"Bridgeport School District","=""0150011""","All Grades","Mile Run",68.8,65.4,65.0,58.4,61.8
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.1,67.4,66.6,59.9,57.1
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",80.1,79.8,78.6,74.2,71.9
"Bristol School District","=""0170011""","All Grades","All Tests - District",59.9,65.3,62.1,61.9,60.9
"Bristol School District","=""0170011""","All Grades","Curl Up",86.7,88.6,86.9,90.8,90.1
"Bristol School District","=""0170011""","All Grades","Mile Run",79.1,85.4,83.8,84.1,83.0
"Bristol School District","=""0170011""","All Grades","Push Up",77.1,76.7,73.5,72.4,72.0
"Bristol School District","=""0170011""","All Grades","Sit and Reach",88.0,90.8,90.7,89.1,86.5
"Brookfield School District","=""0180011""","All Grades","All Tests - District",58.3,56.2,52.7,56.3,49.3
"Brookfield School District","=""0180011""","All Grades","Curl Up",85.2,84.4,79.4,84.1,85.9
"Brookfield School District","=""0180011""","All Grades","Mile Run",85.2,86.8,80.1,78.8,81.3
"Brookfield School District","=""0180011""","All Grades","Push Up",79.8,77.2,74.0,76.8,69.7
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",85.2,84.8,82.4,82.4,74.6
"Brooklyn School District","=""0190011""","All Grades","All Tests - District",36.5,30.7,36.7,36.4,29.7
"Brooklyn School District","=""0190011""","All Grades","Curl Up",67.9,60.6,68.3,66.9,71.5
"Brooklyn School District","=""0190011""","All Grades","Mile Run",60.6,61.7,55.6,59.1,59.0
"Brooklyn School District","=""0190011""","All Grades","Push Up",48.5,48.8,46.3,53.5,48.5
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",73.4,74.9,75.3,73.6,61.5
"Canaan School District","=""0210011""","All Grades","All Tests - District","*",52.2,25.0,59.3,46.2
"Canaan School District","=""0210011""","All Grades","Curl Up",83.3,91.3,60.7,85.2,80.8
"Canaan School District","=""0210011""","All Grades","Mile Run",40.0,73.9,64.3,70.4,61.5
"Canaan School District","=""0210011""","All Grades","Push Up",80.0,65.2,46.4,74.1,65.4
"Canaan School District","=""0210011""","All Grades","Sit and Reach",90.0,69.6,67.9,92.6,88.5
"Canterbury School District","=""0220011""","All Grades","All Tests - District",55.2,52.6,55.2,55.7,67.9
"Canterbury School District","=""0220011""","All Grades","Curl Up",75.5,69.1,74.8,76.4,80.6
"Canterbury School District","=""0220011""","All Grades","Mile Run",77.9,78.9,78.3,68.4,70.9
"Canterbury School District","=""0220011""","All Grades","Push Up",73.6,69.7,71.3,78.7,77.6
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",86.5,88.0,92.3,93.7,96.3
"Canton School District","=""0230011""","All Grades","All Tests - District",65.4,71.4,70.5,67.1,73.7
"Canton School District","=""0230011""","All Grades","Curl Up",86.5,94.0,93.7,89.9,94.9
"Canton School District","=""0230011""","All Grades","Mile Run",76.7,80.8,80.8,73.5,83.3
"Canton School District","=""0230011""","All Grades","Push Up",92.2,88.8,89.7,82.0,87.4
"Canton School District","=""0230011""","All Grades","Sit and Reach",93.0,90.2,88.2,84.2,86.8
