"Physical Fitness Tests: Students Reaching Health Standard, 2008-09"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2008-09"
"Amistad Academy District","=""2790013""","All Grades","Mile Run",10.1
"Andover School District","=""0010011""","All Grades","Mile Run",50.0
"Ansonia School District","=""0020011""","All Grades","Mile Run",30.2
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",33.1
"Ashford School District","=""0030011""","All Grades","Mile Run",52.1
"Avon School District","=""0040011""","All Grades","Mile Run",65.8
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",50.6
"Berlin School District","=""0070011""","All Grades","Mile Run",63.4
"Bethany School District","=""0080011""","All Grades","Mile Run",68.7
"Bethel School District","=""0090011""","All Grades","Mile Run",56.2
"Bloomfield School District","=""0110011""","All Grades","Mile Run",39.9
"Bolton School District","=""0120011""","All Grades","Mile Run",45.6
"Bozrah School District","=""0130011""","All Grades","Mile Run",54.8
"Branford School District","=""0140011""","All Grades","Mile Run",52.8
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",0.0
"Bridgeport School District","=""0150011""","All Grades","Mile Run",45.0
"Bristol School District","=""0170011""","All Grades","Mile Run",56.3
"Brookfield School District","=""0180011""","All Grades","Mile Run",56.9
"Brooklyn School District","=""0190011""","All Grades","Mile Run",47.8
"Canaan School District","=""0210011""","All Grades","Mile Run",45.0
"Canterbury School District","=""0220011""","All Grades","Mile Run",60.8
"Canton School District","=""0230011""","All Grades","Mile Run",55.9
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",34.7
"Chaplin School District","=""0240011""","All Grades","Mile Run",47.5
"Cheshire School District","=""0250011""","All Grades","Mile Run",59.7
"Chester School District","=""0260011""","All Grades","Mile Run",46.5
"Clinton School District","=""0270011""","All Grades","Mile Run",43.5
"Colchester School District","=""0280011""","All Grades","Mile Run",55.7
"Colebrook School District","=""0290011""","All Grades","Mile Run",38.9
"Columbia School District","=""0300011""","All Grades","Mile Run",60.9
"Common Ground High School District","=""2680013""","All Grades","Mile Run",19.4
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",39.6
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",28.8
"Cornwall School District","=""0310011""","All Grades","Mile Run",57.1
"Coventry School District","=""0320011""","All Grades","Mile Run",40.8
"Cromwell School District","=""0330011""","All Grades","Mile Run",40.7
"Danbury School District","=""0340011""","All Grades","Mile Run",28.2
"Darien School District","=""0350011""","All Grades","Mile Run",75.4
"Deep River School District","=""0360011""","All Grades","Mile Run",63.8
"Derby School District","=""0370011""","All Grades","Mile Run",42.8
"East Granby School District","=""0400011""","All Grades","Mile Run",44.9
"East Haddam School District","=""0410011""","All Grades","Mile Run",43.3
