"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","All Tests - District",19.8
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",58.5
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",44.9
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",51.2
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",64.3
"Amistad Academy District","=""2790013""","All Grades","All Tests - District",13.7
"Amistad Academy District","=""2790013""","All Grades","Curl Up",56.4
"Amistad Academy District","=""2790013""","All Grades","Mile Run",64.7
"Amistad Academy District","=""2790013""","All Grades","Push Up",60.3
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",52.9
"Andover School District","=""0010011""","All Grades","All Tests - District",52.8
"Andover School District","=""0010011""","All Grades","Curl Up",66.3
"Andover School District","=""0010011""","All Grades","Mile Run",85.4
"Andover School District","=""0010011""","All Grades","Push Up",76.4
"Andover School District","=""0010011""","All Grades","Sit and Reach",86.5
"Ansonia School District","=""0020011""","All Grades","All Tests - District",38.1
"Ansonia School District","=""0020011""","All Grades","Curl Up",76.2
"Ansonia School District","=""0020011""","All Grades","Mile Run",70.2
"Ansonia School District","=""0020011""","All Grades","Push Up",66.6
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",84.4
"Area Cooperative Educational Services","=""2440014""","All Grades","All Tests - District",41.7
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",83.3
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",61.8
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",58.6
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",80.7
"Ashford School District","=""0030011""","All Grades","All Tests - District",47.4
"Ashford School District","=""0030011""","All Grades","Curl Up",81.2
"Ashford School District","=""0030011""","All Grades","Mile Run",64.7
"Ashford School District","=""0030011""","All Grades","Push Up",84.2
"Ashford School District","=""0030011""","All Grades","Sit and Reach",82.7
"Avon School District","=""0040011""","All Grades","All Tests - District",52.8
"Avon School District","=""0040011""","All Grades","Curl Up",88.4
"Avon School District","=""0040011""","All Grades","Mile Run",85.6
"Avon School District","=""0040011""","All Grades","Push Up",73.0
"Avon School District","=""0040011""","All Grades","Sit and Reach",74.1
"Barkhamsted School District","=""0050011""","All Grades","All Tests - District",50.6
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",90.6
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",64.7
"Barkhamsted School District","=""0050011""","All Grades","Push Up",70.6
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",82.4
"Berlin School District","=""0070011""","All Grades","All Tests - District",59.1
"Berlin School District","=""0070011""","All Grades","Curl Up",91.6
"Berlin School District","=""0070011""","All Grades","Mile Run",77.2
"Berlin School District","=""0070011""","All Grades","Push Up",81.1
"Berlin School District","=""0070011""","All Grades","Sit and Reach",87.4
"Bethany School District","=""0080011""","All Grades","All Tests - District",32.2
"Bethany School District","=""0080011""","All Grades","Curl Up",82.5
"Bethany School District","=""0080011""","All Grades","Mile Run",88.8
"Bethany School District","=""0080011""","All Grades","Push Up",56.6
"Bethany School District","=""0080011""","All Grades","Sit and Reach",53.8
"Bethel School District","=""0090011""","All Grades","All Tests - District",54.5
"Bethel School District","=""0090011""","All Grades","Curl Up",88.0
"Bethel School District","=""0090011""","All Grades","Mile Run",76.4
"Bethel School District","=""0090011""","All Grades","Push Up",72.6
"Bethel School District","=""0090011""","All Grades","Sit and Reach",88.1
"Bloomfield School District","=""0110011""","All Grades","All Tests - District",47.1
"Bloomfield School District","=""0110011""","All Grades","Curl Up",87.2
"Bloomfield School District","=""0110011""","All Grades","Mile Run",74.3
"Bloomfield School District","=""0110011""","All Grades","Push Up",78.2
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",68.1
"Bolton School District","=""0120011""","All Grades","All Tests - District",67.8
"Bolton School District","=""0120011""","All Grades","Curl Up",90.1
"Bolton School District","=""0120011""","All Grades","Mile Run",89.4
"Bolton School District","=""0120011""","All Grades","Push Up",73.9
"Bolton School District","=""0120011""","All Grades","Sit and Reach",88.7
"Bozrah School District","=""0130011""","All Grades","All Tests - District",70.1
"Bozrah School District","=""0130011""","All Grades","Curl Up",97.0
"Bozrah School District","=""0130011""","All Grades","Mile Run",82.1
"Bozrah School District","=""0130011""","All Grades","Push Up",82.1
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",86.6
"Branford School District","=""0140011""","All Grades","All Tests - District",44.4
"Branford School District","=""0140011""","All Grades","Curl Up",79.5
"Branford School District","=""0140011""","All Grades","Mile Run",63.3
"Branford School District","=""0140011""","All Grades","Push Up",69.1
"Branford School District","=""0140011""","All Grades","Sit and Reach",71.5
"Bridgeport Achievement First District","=""2850013""","All Grades","All Tests - District",19.3
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",75.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",42.9
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",61.4
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",63.6
"Bridgeport School District","=""0150011""","All Grades","All Tests - District",46.2
"Bridgeport School District","=""0150011""","All Grades","Curl Up",81.9
"Bridgeport School District","=""0150011""","All Grades","Mile Run",68.8
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.1
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",80.1
"Bristol School District","=""0170011""","All Grades","All Tests - District",59.9
"Bristol School District","=""0170011""","All Grades","Curl Up",86.7
"Bristol School District","=""0170011""","All Grades","Mile Run",79.1
"Bristol School District","=""0170011""","All Grades","Push Up",77.1
"Bristol School District","=""0170011""","All Grades","Sit and Reach",88.0
"Brookfield School District","=""0180011""","All Grades","All Tests - District",58.3
"Brookfield School District","=""0180011""","All Grades","Curl Up",85.2
"Brookfield School District","=""0180011""","All Grades","Mile Run",85.2
"Brookfield School District","=""0180011""","All Grades","Push Up",79.8
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",85.2
"Brooklyn School District","=""0190011""","All Grades","All Tests - District",36.5
"Brooklyn School District","=""0190011""","All Grades","Curl Up",67.9
"Brooklyn School District","=""0190011""","All Grades","Mile Run",60.6
"Brooklyn School District","=""0190011""","All Grades","Push Up",48.5
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",73.4
"Canaan School District","=""0210011""","All Grades","All Tests - District","*"
"Canaan School District","=""0210011""","All Grades","Curl Up",83.3
"Canaan School District","=""0210011""","All Grades","Mile Run",40.0
"Canaan School District","=""0210011""","All Grades","Push Up",80.0
"Canaan School District","=""0210011""","All Grades","Sit and Reach",90.0
"Canterbury School District","=""0220011""","All Grades","All Tests - District",55.2
"Canterbury School District","=""0220011""","All Grades","Curl Up",75.5
"Canterbury School District","=""0220011""","All Grades","Mile Run",77.9
"Canterbury School District","=""0220011""","All Grades","Push Up",73.6
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",86.5
"Canton School District","=""0230011""","All Grades","All Tests - District",65.4
"Canton School District","=""0230011""","All Grades","Curl Up",86.5
"Canton School District","=""0230011""","All Grades","Mile Run",76.7
"Canton School District","=""0230011""","All Grades","Push Up",92.2
"Canton School District","=""0230011""","All Grades","Sit and Reach",93.0
"Capitol Region Education Council","=""2410014""","All Grades","All Tests - District",34.2
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",77.0
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",52.5
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",68.5
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",72.5
"Chaplin School District","=""0240011""","All Grades","All Tests - District",56.5
"Chaplin School District","=""0240011""","All Grades","Curl Up",63.0
"Chaplin School District","=""0240011""","All Grades","Mile Run",100.0
"Chaplin School District","=""0240011""","All Grades","Push Up",71.7
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",95.7
"Cheshire School District","=""0250011""","All Grades","All Tests - District",58.2
"Cheshire School District","=""0250011""","All Grades","Curl Up",92.7
"Cheshire School District","=""0250011""","All Grades","Mile Run",78.7
"Cheshire School District","=""0250011""","All Grades","Push Up",82.7
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",76.8
"Chester School District","=""0260011""","All Grades","All Tests - District",43.1
"Chester School District","=""0260011""","All Grades","Curl Up",87.5
"Chester School District","=""0260011""","All Grades","Mile Run",70.8
"Chester School District","=""0260011""","All Grades","Push Up",76.4
"Chester School District","=""0260011""","All Grades","Sit and Reach",77.8
"Clinton School District","=""0270011""","All Grades","All Tests - District",50.2
"Clinton School District","=""0270011""","All Grades","Curl Up",95.9
"Clinton School District","=""0270011""","All Grades","Mile Run",73.9
"Clinton School District","=""0270011""","All Grades","Push Up",72.0
"Clinton School District","=""0270011""","All Grades","Sit and Reach",83.9
"Colchester School District","=""0280011""","All Grades","All Tests - District",51.6
"Colchester School District","=""0280011""","All Grades","Curl Up",83.6
"Colchester School District","=""0280011""","All Grades","Mile Run",76.3
"Colchester School District","=""0280011""","All Grades","Push Up",67.0
"Colchester School District","=""0280011""","All Grades","Sit and Reach",82.3
"Colebrook School District","=""0290011""","All Grades","All Tests - District",65.4
"Colebrook School District","=""0290011""","All Grades","Curl Up",100.0
"Colebrook School District","=""0290011""","All Grades","Mile Run",92.3
"Colebrook School District","=""0290011""","All Grades","Push Up",73.1
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",76.9
"Columbia School District","=""0300011""","All Grades","All Tests - District",75.1
"Columbia School District","=""0300011""","All Grades","Curl Up",92.1
"Columbia School District","=""0300011""","All Grades","Mile Run",81.9
"Columbia School District","=""0300011""","All Grades","Push Up",92.1
