"Physical Fitness Tests: Students Reaching Health Standard, 2010-11"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2010-11"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",45.7
"Amistad Academy District","=""2790013""","All Grades","Mile Run",35.7
"Andover School District","=""0010011""","All Grades","Mile Run",88.8
"Ansonia School District","=""0020011""","All Grades","Mile Run",61.7
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",70.9
"Ashford School District","=""0030011""","All Grades","Mile Run",76.1
"Avon School District","=""0040011""","All Grades","Mile Run",85.3
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",45.3
"Berlin School District","=""0070011""","All Grades","Mile Run",84.6
"Bethany School District","=""0080011""","All Grades","Mile Run",79.9
"Bethel School District","=""0090011""","All Grades","Mile Run",79.2
"Bloomfield School District","=""0110011""","All Grades","Mile Run",50.0
"Bolton School District","=""0120011""","All Grades","Mile Run",79.2
"Bozrah School District","=""0130011""","All Grades","Mile Run",85.7
"Branford School District","=""0140011""","All Grades","Mile Run",69.7
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",39.2
"Bridgeport School District","=""0150011""","All Grades","Mile Run",60.5
"Bristol School District","=""0170011""","All Grades","Mile Run",71.2
"Brookfield School District","=""0180011""","All Grades","Mile Run",81.6
"Brooklyn School District","=""0190011""","All Grades","Mile Run",56.6
"Canaan School District","=""0210011""","All Grades","Mile Run",60.0
"Canterbury School District","=""0220011""","All Grades","Mile Run",77.6
"Canton School District","=""0230011""","All Grades","Mile Run",86.6
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",48.4
"Chaplin School District","=""0240011""","All Grades","Mile Run",90.2
"Cheshire School District","=""0250011""","All Grades","Mile Run",82.8
"Chester School District","=""0260011""","All Grades","Mile Run",69.0
"Clinton School District","=""0270011""","All Grades","Mile Run",76.4
"Colchester School District","=""0280011""","All Grades","Mile Run",73.6
"Colebrook School District","=""0290011""","All Grades","Mile Run",87.2
"Columbia School District","=""0300011""","All Grades","Mile Run",77.8
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",47.6
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",50.0
"Cornwall School District","=""0310011""","All Grades","Mile Run",87.8
"Coventry School District","=""0320011""","All Grades","Mile Run",75.4
"Cromwell School District","=""0330011""","All Grades","Mile Run",68.8
"Danbury School District","=""0340011""","All Grades","Mile Run",54.0
"Darien School District","=""0350011""","All Grades","Mile Run",90.8
"Deep River School District","=""0360011""","All Grades","Mile Run",94.9
"Derby School District","=""0370011""","All Grades","Mile Run",56.9
"East Granby School District","=""0400011""","All Grades","Mile Run",58.1
"East Haddam School District","=""0410011""","All Grades","Mile Run",73.7
"East Hampton School District","=""0420011""","All Grades","Mile Run",79.0
"East Hartford School District","=""0430011""","All Grades","Mile Run",69.5
"East Haven School District","=""0440011""","All Grades","Mile Run",58.5
"East Lyme School District","=""0450011""","All Grades","Mile Run",76.2
"East Windsor School District","=""0470011""","All Grades","Mile Run",68.5
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Mile Run",19.0
"Eastford School District","=""0390011""","All Grades","Mile Run",87.3
"Easton School District","=""0460011""","All Grades","Mile Run",85.0
"Ellington School District","=""0480011""","All Grades","Mile Run",80.6
"Elm City College Preparatory School District","=""2890013""","All Grades","Mile Run",63.8
"Enfield School District","=""0490011""","All Grades","Mile Run",76.3
"Essex School District","=""0500011""","All Grades","Mile Run",77.9
"Explorations District","=""2720013""","All Grades","Mile Run","*"
"Fairfield School District","=""0510011""","All Grades","Mile Run",86.4
"Farmington School District","=""0520011""","All Grades","Mile Run",81.0
"Franklin School District","=""0530011""","All Grades","Mile Run",77.4
"Glastonbury School District","=""0540011""","All Grades","Mile Run",82.3
"Granby School District","=""0560011""","All Grades","Mile Run",88.0
"Greenwich School District","=""0570011""","All Grades","Mile Run",88.9
"Griswold School District","=""0580011""","All Grades","Mile Run",58.9
"Groton School District","=""0590011""","All Grades","Mile Run",64.4
"Guilford School District","=""0600011""","All Grades","Mile Run",87.9
"Hamden School District","=""0620011""","All Grades","Mile Run",66.9
"Hampton School District","=""0630011""","All Grades","Mile Run",92.6
"Hartford School District","=""0640011""","All Grades","Mile Run",59.5
"Hartland School District","=""0650011""","All Grades","Mile Run",87.5
"Hebron School District","=""0670011""","All Grades","Mile Run",92.4
"Highville Charter School District","=""2860013""","All Grades","Mile Run",85.5
"Integrated Day Charter School District","=""2640013""","All Grades","Mile Run",87.2
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Mile Run",41.6
"Jumoke Academy District","=""2610013""","All Grades","Mile Run",47.9
"Kent School District","=""0680011""","All Grades","Mile Run",81.8
"Killingly School District","=""0690011""","All Grades","Mile Run",56.4
"Learn","=""2450014""","All Grades","Mile Run",78.5
"Lebanon School District","=""0710011""","All Grades","Mile Run",75.1
"Ledyard School District","=""0720011""","All Grades","Mile Run",70.5
"Lisbon School District","=""0730011""","All Grades","Mile Run",77.2
"Litchfield School District","=""0740011""","All Grades","Mile Run",75.6
"Madison School District","=""0760011""","All Grades","Mile Run",85.2
"Manchester School District","=""0770011""","All Grades","Mile Run",77.1
"Mansfield School District","=""0780011""","All Grades","Mile Run",81.6
"Marlborough School District","=""0790011""","All Grades","Mile Run",84.9
"Meriden School District","=""0800011""","All Grades","Mile Run",55.0
"Middletown School District","=""0830011""","All Grades","Mile Run",66.4
"Milford School District","=""0840011""","All Grades","Mile Run",68.8
"Monroe School District","=""0850011""","All Grades","Mile Run",71.1
"Montville School District","=""0860011""","All Grades","Mile Run",62.2
"Naugatuck School District","=""0880011""","All Grades","Mile Run",59.8
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Mile Run",44.4
"New Britain School District","=""0890011""","All Grades","Mile Run",61.2
"New Canaan School District","=""0900011""","All Grades","Mile Run",87.7
"New Fairfield School District","=""0910011""","All Grades","Mile Run",77.7
"New Hartford School District","=""0920011""","All Grades","Mile Run",96.1
"New Haven School District","=""0930011""","All Grades","Mile Run",65.3
"New London School District","=""0950011""","All Grades","Mile Run",60.7
"New Milford School District","=""0960011""","All Grades","Mile Run",64.8
"Newington School District","=""0940011""","All Grades","Mile Run",78.6
"Newtown School District","=""0970011""","All Grades","Mile Run",84.0
"Norfolk School District","=""0980011""","All Grades","Mile Run",31.9
"North Branford School District","=""0990011""","All Grades","Mile Run",69.1
"North Canaan School District","=""1000011""","All Grades","Mile Run",50.5
"North Haven School District","=""1010011""","All Grades","Mile Run",74.0
"North Stonington School District","=""1020011""","All Grades","Mile Run",59.3
"Norwalk School District","=""1030011""","All Grades","Mile Run",65.7
"Norwich Free Academy District","=""9010022""","All Grades","Mile Run",55.3
"Norwich School District","=""1040011""","All Grades","Mile Run",56.5
"Odyssey Community School District","=""2630013""","All Grades","Mile Run",31.4
"Old Saybrook School District","=""1060011""","All Grades","Mile Run",80.9
"Orange School District","=""1070011""","All Grades","Mile Run",79.4
"Oxford School District","=""1080011""","All Grades","Mile Run",81.9
"Park City Prep Charter School District","=""2830013""","All Grades","Mile Run",11.5
"Plainfield School District","=""1090011""","All Grades","Mile Run",63.1
"Plainville School District","=""1100011""","All Grades","Mile Run",75.5
"Plymouth School District","=""1110011""","All Grades","Mile Run",80.0
"Pomfret School District","=""1120011""","All Grades","Mile Run",78.2
"Portland School District","=""1130011""","All Grades","Mile Run",70.9
"Preston School District","=""1140011""","All Grades","Mile Run",66.9
"Putnam School District","=""1160011""","All Grades","Mile Run",63.2
"Redding School District","=""1170011""","All Grades","Mile Run",85.8
"Regional School District 01","=""2010012""","All Grades","Mile Run",84.2
"Regional School District 04","=""2040012""","All Grades","Mile Run",89.2
"Regional School District 05","=""2050012""","All Grades","Mile Run",90.9
"Regional School District 06","=""2060012""","All Grades","Mile Run",79.3
"Regional School District 07","=""2070012""","All Grades","Mile Run",70.7
"Regional School District 08","=""2080012""","All Grades","Mile Run",86.9
"Regional School District 10","=""2100012""","All Grades","Mile Run",78.8
"Regional School District 11","=""2110012""","All Grades","Mile Run",73.6
"Regional School District 12","=""2120012""","All Grades","Mile Run",83.1
"Regional School District 13","=""2130012""","All Grades","Mile Run",85.8
"Regional School District 14","=""2140012""","All Grades","Mile Run",81.6
"Regional School District 15","=""2150012""","All Grades","Mile Run",74.4
"Regional School District 16","=""2160012""","All Grades","Mile Run",76.5
"Regional School District 17","=""2170012""","All Grades","Mile Run",81.4
"Regional School District 18","=""2180012""","All Grades","Mile Run",85.0
"Regional School District 19","=""2190012""","All Grades","Mile Run",68.7
"Ridgefield School District","=""1180011""","All Grades","Mile Run",78.9
"Rocky Hill School District","=""1190011""","All Grades","Mile Run",83.9
"Salem School District","=""1210011""","All Grades","Mile Run",62.9
"Salisbury School District","=""1220011""","All Grades","Mile Run",91.9
"Scotland School District","=""1230011""","All Grades","Mile Run",97.2
"Seymour School District","=""1240011""","All Grades","Mile Run",61.6
"Sharon School District","=""1250011""","All Grades","Mile Run",66.7
"Shelton School District","=""1260011""","All Grades","Mile Run",78.2
"Sherman School District","=""1270011""","All Grades","Mile Run",91.6
"Side By Side Charter School District","=""2700013""","All Grades","Mile Run",85.5
"Simsbury School District","=""1280011""","All Grades","Mile Run",82.9
"Somers School District","=""1290011""","All Grades","Mile Run",80.9
"South Windsor School District","=""1320011""","All Grades","Mile Run",77.1
"Southington School District","=""1310011""","All Grades","Mile Run",73.9
"Sprague School District","=""1330011""","All Grades","Mile Run",73.5
"Stafford School District","=""1340011""","All Grades","Mile Run",71.3
"Stamford School District","=""1350011""","All Grades","Mile Run",63.1
"Sterling School District","=""1360011""","All Grades","Mile Run",80.6
"Stonington School District","=""1370011""","All Grades","Mile Run",87.0
"Stratford School District","=""1380011""","All Grades","Mile Run",65.4
"Suffield School District","=""1390011""","All Grades","Mile Run",81.0
"The Bridge Academy District","=""2690013""","All Grades","Mile Run",43.3
"The Gilbert School District","=""9020022""","All Grades","Mile Run",53.6
"Thomaston School District","=""1400011""","All Grades","Mile Run",74.8
"Thompson School District","=""1410011""","All Grades","Mile Run",55.9
"Tolland School District","=""1420011""","All Grades","Mile Run",75.1
"Torrington School District","=""1430011""","All Grades","Mile Run",49.7
"Trailblazers Academy District","=""2780013""","All Grades","Mile Run",74.5
"Trumbull School District","=""1440011""","All Grades","Mile Run",81.7
"Union School District","=""1450011""","All Grades","Mile Run",91.7
"Vernon School District","=""1460011""","All Grades","Mile Run",74.1
"Voluntown School District","=""1470011""","All Grades","Mile Run",76.5
"Wallingford School District","=""1480011""","All Grades","Mile Run",61.8
"Waterbury School District","=""1510011""","All Grades","Mile Run",64.7
"Waterford School District","=""1520011""","All Grades","Mile Run",75.0
"Watertown School District","=""1530011""","All Grades","Mile Run",68.6
"West Hartford School District","=""1550011""","All Grades","Mile Run",81.6
"West Haven School District","=""1560011""","All Grades","Mile Run",50.9
"Westbrook School District","=""1540011""","All Grades","Mile Run",91.3
"Weston School District","=""1570011""","All Grades","Mile Run",84.6
"Westport School District","=""1580011""","All Grades","Mile Run",82.9
"Wethersfield School District","=""1590011""","All Grades","Mile Run",74.8
"Willington School District","=""1600011""","All Grades","Mile Run",78.3
"Wilton School District","=""1610011""","All Grades","Mile Run",87.7
"Winchester School District","=""1620011""","All Grades","Mile Run",45.5
"Windham School District","=""1630011""","All Grades","Mile Run",57.1
"Windsor Locks School District","=""1650011""","All Grades","Mile Run",51.4
"Windsor School District","=""1640011""","All Grades","Mile Run",55.8
"Wolcott School District","=""1660011""","All Grades","Mile Run",87.1
"Woodbridge School District","=""1670011""","All Grades","Mile Run",82.6
"Woodstock Academy District","=""9030022""","All Grades","Mile Run",79.8
"Woodstock School District","=""1690011""","All Grades","Mile Run",77.0

