"Physical Fitness Tests: Students Reaching Health Standard, 2012-13"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2012-13"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",76.9
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",53.0
"Andover School District","=""0010011""","All Grades","Sit and Reach",91.0
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",83.9
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",77.5
"Ashford School District","=""0030011""","All Grades","Sit and Reach",81.5
"Avon School District","=""0040011""","All Grades","Sit and Reach",75.5
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",93.3
"Berlin School District","=""0070011""","All Grades","Sit and Reach",88.0
"Bethany School District","=""0080011""","All Grades","Sit and Reach",71.8
"Bethel School District","=""0090011""","All Grades","Sit and Reach",88.1
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",77.6
"Bolton School District","=""0120011""","All Grades","Sit and Reach",83.7
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",89.6
"Branford School District","=""0140011""","All Grades","Sit and Reach",78.9
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",39.0
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",79.8
"Bristol School District","=""0170011""","All Grades","Sit and Reach",90.8
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",84.8
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",74.9
"Canaan School District","=""0210011""","All Grades","Sit and Reach",69.6
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",88.0
"Canton School District","=""0230011""","All Grades","Sit and Reach",90.2
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",79.2
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",100.0
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",78.4
"Chester School District","=""0260011""","All Grades","Sit and Reach",73.4
"Clinton School District","=""0270011""","All Grades","Sit and Reach",86.0
"Colchester School District","=""0280011""","All Grades","Sit and Reach",80.4
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",63.9
"Columbia School District","=""0300011""","All Grades","Sit and Reach",97.0
"Common Ground High School District","=""2680013""","All Grades","Sit and Reach",61.9
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",83.4
"Cooperative Educational Services","=""2430014""","All Grades","Sit and Reach",80.3
"Cornwall School District","=""0310011""","All Grades","Sit and Reach",91.4
"Coventry School District","=""0320011""","All Grades","Sit and Reach",76.1
"Cromwell School District","=""0330011""","All Grades","Sit and Reach",87.4
"Danbury School District","=""0340011""","All Grades","Sit and Reach",72.5
"Darien School District","=""0350011""","All Grades","Sit and Reach",84.3
"Deep River School District","=""0360011""","All Grades","Sit and Reach",84.0
"Derby School District","=""0370011""","All Grades","Sit and Reach",66.9
"East Granby School District","=""0400011""","All Grades","Sit and Reach",76.6
"East Haddam School District","=""0410011""","All Grades","Sit and Reach",72.3
"East Hampton School District","=""0420011""","All Grades","Sit and Reach",87.8
"East Hartford School District","=""0430011""","All Grades","Sit and Reach",82.8
"East Haven School District","=""0440011""","All Grades","Sit and Reach",87.8
"East Lyme School District","=""0450011""","All Grades","Sit and Reach",86.4
"East Windsor School District","=""0470011""","All Grades","Sit and Reach",82.0
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Sit and Reach",70.5
"Eastford School District","=""0390011""","All Grades","Sit and Reach",98.1
"Easton School District","=""0460011""","All Grades","Sit and Reach",81.8
"Ellington School District","=""0480011""","All Grades","Sit and Reach",86.7
"Elm City College Preparatory School District","=""2890013""","All Grades","Sit and Reach",42.4
"Enfield School District","=""0490011""","All Grades","Sit and Reach",84.6
"Essex School District","=""0500011""","All Grades","Sit and Reach",78.6
"Explorations District","=""2720013""","All Grades","Sit and Reach","*"
"Fairfield School District","=""0510011""","All Grades","Sit and Reach",83.0
"Farmington School District","=""0520011""","All Grades","Sit and Reach",84.6
"Franklin School District","=""0530011""","All Grades","Sit and Reach",86.7
"Glastonbury School District","=""0540011""","All Grades","Sit and Reach",80.1
"Granby School District","=""0560011""","All Grades","Sit and Reach",89.0
"Greenwich School District","=""0570011""","All Grades","Sit and Reach",82.2
"Griswold School District","=""0580011""","All Grades","Sit and Reach",82.3
"Groton School District","=""0590011""","All Grades","Sit and Reach",84.4
"Guilford School District","=""0600011""","All Grades","Sit and Reach",94.1
"Hamden School District","=""0620011""","All Grades","Sit and Reach",84.1
"Hampton School District","=""0630011""","All Grades","Sit and Reach",92.0
"Hartford School District","=""0640011""","All Grades","Sit and Reach",76.5
"Hartland School District","=""0650011""","All Grades","Sit and Reach",93.0
"Hebron School District","=""0670011""","All Grades","Sit and Reach",100.0
"Highville Charter School District","=""2860013""","All Grades","Sit and Reach",72.9
"Integrated Day Charter School District","=""2640013""","All Grades","Sit and Reach",86.3
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Sit and Reach",49.6
"Jumoke Academy District","=""2610013""","All Grades","Sit and Reach",50.0
"Kent School District","=""0680011""","All Grades","Sit and Reach",68.5
"Killingly School District","=""0690011""","All Grades","Sit and Reach",79.1
"Learn","=""2450014""","All Grades","Sit and Reach",77.3
"Lebanon School District","=""0710011""","All Grades","Sit and Reach",84.5
"Ledyard School District","=""0720011""","All Grades","Sit and Reach",88.7
"Lisbon School District","=""0730011""","All Grades","Sit and Reach",87.3
"Litchfield School District","=""0740011""","All Grades","Sit and Reach",90.6
"Madison School District","=""0760011""","All Grades","Sit and Reach",85.9
"Manchester School District","=""0770011""","All Grades","Sit and Reach",84.5
"Mansfield School District","=""0780011""","All Grades","Sit and Reach",87.7
