"Physical Fitness Tests: Students Reaching Health Standard, 2010-11"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2010-11"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Sit and Reach","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","All Tests - District",27.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Curl Up",65.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Mile Run",45.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Push Up",55.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Sit and Reach",80.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Sit and Reach","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","All Tests - District","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Sit and Reach","N/A"
"Amistad Academy District","=""2790013""","Grade 4","All Tests - District",19.7
"Amistad Academy District","=""2790013""","Grade 4","Curl Up",83.1
"Amistad Academy District","=""2790013""","Grade 4","Mile Run",39.4
"Amistad Academy District","=""2790013""","Grade 4","Push Up",76.1
"Amistad Academy District","=""2790013""","Grade 4","Sit and Reach",63.4
"Amistad Academy District","=""2790013""","Grade 6","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 6","Curl Up",51.1
"Amistad Academy District","=""2790013""","Grade 6","Mile Run",48.9
"Amistad Academy District","=""2790013""","Grade 6","Push Up",35.6
"Amistad Academy District","=""2790013""","Grade 6","Sit and Reach",73.3
"Amistad Academy District","=""2790013""","Grade 8","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 8","Curl Up",46.2
"Amistad Academy District","=""2790013""","Grade 8","Mile Run",30.8
"Amistad Academy District","=""2790013""","Grade 8","Push Up",69.2
"Amistad Academy District","=""2790013""","Grade 8","Sit and Reach",80.8
"Amistad Academy District","=""2790013""","Grade 10","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 10","Curl Up",53.8
"Amistad Academy District","=""2790013""","Grade 10","Mile Run","*"
"Amistad Academy District","=""2790013""","Grade 10","Push Up",57.7
"Amistad Academy District","=""2790013""","Grade 10","Sit and Reach",92.3
"Andover School District","=""0010011""","Grade 4","All Tests - District",68.6
"Andover School District","=""0010011""","Grade 4","Curl Up",94.3
"Andover School District","=""0010011""","Grade 4","Mile Run",80.0
"Andover School District","=""0010011""","Grade 4","Push Up",91.4
"Andover School District","=""0010011""","Grade 4","Sit and Reach",100.0
"Andover School District","=""0010011""","Grade 6","All Tests - District",71.1
"Andover School District","=""0010011""","Grade 6","Curl Up",84.4
"Andover School District","=""0010011""","Grade 6","Mile Run",95.6
"Andover School District","=""0010011""","Grade 6","Push Up",82.2
"Andover School District","=""0010011""","Grade 6","Sit and Reach",84.4
"Andover School District","=""0010011""","Grade 8","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Grade 8","Sit and Reach","N/A"
"Andover School District","=""0010011""","Grade 10","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 10","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 10","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 10","Push Up","N/A"
"Andover School District","=""0010011""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Grade 4","All Tests - District",41.8
"Ansonia School District","=""0020011""","Grade 4","Curl Up",80.1
"Ansonia School District","=""0020011""","Grade 4","Mile Run",73.0
"Ansonia School District","=""0020011""","Grade 4","Push Up",56.1
"Ansonia School District","=""0020011""","Grade 4","Sit and Reach",86.7
"Ansonia School District","=""0020011""","Grade 6","All Tests - District",27.1
"Ansonia School District","=""0020011""","Grade 6","Curl Up",71.8
