"Physical Fitness Tests: Students Reaching Health Standard, 2012-13"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2012-13"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","All Tests - District",32.3
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Curl Up",70.3
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",70.3
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Push Up",66.2
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",76.9
"Amistad Academy District","=""2790013""","All Grades","All Tests - District",16.5
"Amistad Academy District","=""2790013""","All Grades","Curl Up",57.4
"Amistad Academy District","=""2790013""","All Grades","Mile Run",64.8
"Amistad Academy District","=""2790013""","All Grades","Push Up",56.5
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",53.0
"Andover School District","=""0010011""","All Grades","All Tests - District",69.2
"Andover School District","=""0010011""","All Grades","Curl Up",80.8
"Andover School District","=""0010011""","All Grades","Mile Run",94.9
"Andover School District","=""0010011""","All Grades","Push Up",85.9
"Andover School District","=""0010011""","All Grades","Sit and Reach",91.0
"Ansonia School District","=""0020011""","All Grades","All Tests - District",36.7
"Ansonia School District","=""0020011""","All Grades","Curl Up",81.4
"Ansonia School District","=""0020011""","All Grades","Mile Run",59.7
"Ansonia School District","=""0020011""","All Grades","Push Up",68.1
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",83.9
"Area Cooperative Educational Services","=""2440014""","All Grades","All Tests - District",38.0
"Area Cooperative Educational Services","=""2440014""","All Grades","Curl Up",75.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",60.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Push Up",65.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",77.5
"Ashford School District","=""0030011""","All Grades","All Tests - District",51.7
"Ashford School District","=""0030011""","All Grades","Curl Up",83.4
"Ashford School District","=""0030011""","All Grades","Mile Run",73.5
"Ashford School District","=""0030011""","All Grades","Push Up",81.5
"Ashford School District","=""0030011""","All Grades","Sit and Reach",81.5
"Avon School District","=""0040011""","All Grades","All Tests - District",58.0
"Avon School District","=""0040011""","All Grades","Curl Up",86.2
"Avon School District","=""0040011""","All Grades","Mile Run",83.1
"Avon School District","=""0040011""","All Grades","Push Up",81.5
"Avon School District","=""0040011""","All Grades","Sit and Reach",75.5
"Barkhamsted School District","=""0050011""","All Grades","All Tests - District",50.4
"Barkhamsted School District","=""0050011""","All Grades","Curl Up",100.0
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",63.9
"Barkhamsted School District","=""0050011""","All Grades","Push Up",79.8
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",93.3
"Berlin School District","=""0070011""","All Grades","All Tests - District",62.6
"Berlin School District","=""0070011""","All Grades","Curl Up",90.1
"Berlin School District","=""0070011""","All Grades","Mile Run",81.3
"Berlin School District","=""0070011""","All Grades","Push Up",78.4
"Berlin School District","=""0070011""","All Grades","Sit and Reach",88.0
"Bethany School District","=""0080011""","All Grades","All Tests - District",26.9
"Bethany School District","=""0080011""","All Grades","Curl Up",67.9
"Bethany School District","=""0080011""","All Grades","Mile Run",87.8
"Bethany School District","=""0080011""","All Grades","Push Up",39.1
"Bethany School District","=""0080011""","All Grades","Sit and Reach",71.8
"Bethel School District","=""0090011""","All Grades","All Tests - District",46.6
"Bethel School District","=""0090011""","All Grades","Curl Up",85.7
"Bethel School District","=""0090011""","All Grades","Mile Run",73.6
"Bethel School District","=""0090011""","All Grades","Push Up",61.0
"Bethel School District","=""0090011""","All Grades","Sit and Reach",88.1
"Bloomfield School District","=""0110011""","All Grades","All Tests - District",44.8
"Bloomfield School District","=""0110011""","All Grades","Curl Up",83.1
"Bloomfield School District","=""0110011""","All Grades","Mile Run",53.5
"Bloomfield School District","=""0110011""","All Grades","Push Up",67.2
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",77.6
"Bolton School District","=""0120011""","All Grades","All Tests - District",63.2
"Bolton School District","=""0120011""","All Grades","Curl Up",90.0
"Bolton School District","=""0120011""","All Grades","Mile Run",87.4
"Bolton School District","=""0120011""","All Grades","Push Up",80.3
"Bolton School District","=""0120011""","All Grades","Sit and Reach",83.7
"Bozrah School District","=""0130011""","All Grades","All Tests - District",68.7
"Bozrah School District","=""0130011""","All Grades","Curl Up",97.0
"Bozrah School District","=""0130011""","All Grades","Mile Run",76.1
"Bozrah School District","=""0130011""","All Grades","Push Up",79.1
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",89.6
"Branford School District","=""0140011""","All Grades","All Tests - District",53.9
"Branford School District","=""0140011""","All Grades","Curl Up",84.7
"Branford School District","=""0140011""","All Grades","Mile Run",70.3
"Branford School District","=""0140011""","All Grades","Push Up",72.8
"Branford School District","=""0140011""","All Grades","Sit and Reach",78.9
"Bridgeport Achievement First District","=""2850013""","All Grades","All Tests - District",13.0
"Bridgeport Achievement First District","=""2850013""","All Grades","Curl Up",30.1
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",42.5
"Bridgeport Achievement First District","=""2850013""","All Grades","Push Up",36.3
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",39.0
"Bridgeport School District","=""0150011""","All Grades","All Tests - District",40.8
"Bridgeport School District","=""0150011""","All Grades","Curl Up",80.4
"Bridgeport School District","=""0150011""","All Grades","Mile Run",65.4
"Bridgeport School District","=""0150011""","All Grades","Push Up",67.4
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",79.8
"Bristol School District","=""0170011""","All Grades","All Tests - District",65.3
"Bristol School District","=""0170011""","All Grades","Curl Up",88.6
"Bristol School District","=""0170011""","All Grades","Mile Run",85.4
"Bristol School District","=""0170011""","All Grades","Push Up",76.7
"Bristol School District","=""0170011""","All Grades","Sit and Reach",90.8
"Brookfield School District","=""0180011""","All Grades","All Tests - District",56.2
"Brookfield School District","=""0180011""","All Grades","Curl Up",84.4
"Brookfield School District","=""0180011""","All Grades","Mile Run",86.8
"Brookfield School District","=""0180011""","All Grades","Push Up",77.2
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",84.8
"Brooklyn School District","=""0190011""","All Grades","All Tests - District",30.7
"Brooklyn School District","=""0190011""","All Grades","Curl Up",60.6
"Brooklyn School District","=""0190011""","All Grades","Mile Run",61.7
"Brooklyn School District","=""0190011""","All Grades","Push Up",48.8
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",74.9
"Canaan School District","=""0210011""","All Grades","All Tests - District",52.2
"Canaan School District","=""0210011""","All Grades","Curl Up",91.3
"Canaan School District","=""0210011""","All Grades","Mile Run",73.9
"Canaan School District","=""0210011""","All Grades","Push Up",65.2
"Canaan School District","=""0210011""","All Grades","Sit and Reach",69.6
"Canterbury School District","=""0220011""","All Grades","All Tests - District",52.6
"Canterbury School District","=""0220011""","All Grades","Curl Up",69.1
"Canterbury School District","=""0220011""","All Grades","Mile Run",78.9
"Canterbury School District","=""0220011""","All Grades","Push Up",69.7
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",88.0
"Canton School District","=""0230011""","All Grades","All Tests - District",71.4
"Canton School District","=""0230011""","All Grades","Curl Up",94.0
"Canton School District","=""0230011""","All Grades","Mile Run",80.8
"Canton School District","=""0230011""","All Grades","Push Up",88.8
"Canton School District","=""0230011""","All Grades","Sit and Reach",90.2
"Capitol Region Education Council","=""2410014""","All Grades","All Tests - District",38.9
"Capitol Region Education Council","=""2410014""","All Grades","Curl Up",79.2
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",54.2
"Capitol Region Education Council","=""2410014""","All Grades","Push Up",71.7
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",79.2
"Chaplin School District","=""0240011""","All Grades","All Tests - District",52.6
"Chaplin School District","=""0240011""","All Grades","Curl Up",63.2
"Chaplin School District","=""0240011""","All Grades","Mile Run",100.0
"Chaplin School District","=""0240011""","All Grades","Push Up",68.4
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",100.0
"Cheshire School District","=""0250011""","All Grades","All Tests - District",61.9
"Cheshire School District","=""0250011""","All Grades","Curl Up",93.1
"Cheshire School District","=""0250011""","All Grades","Mile Run",81.5
"Cheshire School District","=""0250011""","All Grades","Push Up",84.2
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",78.4
"Chester School District","=""0260011""","All Grades","All Tests - District",44.3
"Chester School District","=""0260011""","All Grades","Curl Up",79.7
"Chester School District","=""0260011""","All Grades","Mile Run",69.6
"Chester School District","=""0260011""","All Grades","Push Up",75.9
"Chester School District","=""0260011""","All Grades","Sit and Reach",73.4
"Clinton School District","=""0270011""","All Grades","All Tests - District",53.2
"Clinton School District","=""0270011""","All Grades","Curl Up",94.4
"Clinton School District","=""0270011""","All Grades","Mile Run",77.0
"Clinton School District","=""0270011""","All Grades","Push Up",70.0
"Clinton School District","=""0270011""","All Grades","Sit and Reach",86.0
"Colchester School District","=""0280011""","All Grades","All Tests - District",55.8
"Colchester School District","=""0280011""","All Grades","Curl Up",76.3
"Colchester School District","=""0280011""","All Grades","Mile Run",83.2
"Colchester School District","=""0280011""","All Grades","Push Up",71.7
"Colchester School District","=""0280011""","All Grades","Sit and Reach",80.4
"Colebrook School District","=""0290011""","All Grades","All Tests - District",38.9
"Colebrook School District","=""0290011""","All Grades","Curl Up",86.1
"Colebrook School District","=""0290011""","All Grades","Mile Run",52.8
"Colebrook School District","=""0290011""","All Grades","Push Up",52.8
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",63.9
"Columbia School District","=""0300011""","All Grades","All Tests - District",82.5
"Columbia School District","=""0300011""","All Grades","Curl Up",95.8
"Columbia School District","=""0300011""","All Grades","Mile Run",86.7
"Columbia School District","=""0300011""","All Grades","Push Up",95.2
"Columbia School District","=""0300011""","All Grades","Sit and Reach",97.0
"Common Ground High School District","=""2680013""","All Grades","All Tests - District","*"
"Common Ground High School District","=""2680013""","All Grades","Curl Up",71.4
"Common Ground High School District","=""2680013""","All Grades","Mile Run","*"
"Common Ground High School District","=""2680013""","All Grades","Push Up",47.6
"Common Ground High School District","=""2680013""","All Grades","Sit and Reach",61.9
"Connecticut Technical High School System","=""9000016""","All Grades","All Tests - District",35.1
"Connecticut Technical High School System","=""9000016""","All Grades","Curl Up",89.9
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",45.4
"Connecticut Technical High School System","=""9000016""","All Grades","Push Up",68.6
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",83.4
