"Physical Fitness Tests: Students Reaching Health Standard, 2008-09"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2008-09"
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",43.5
"Andover School District","=""0010011""","All Grades","Sit and Reach",83.7
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",82.0
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",74.5
"Ashford School District","=""0030011""","All Grades","Sit and Reach",82.8
"Avon School District","=""0040011""","All Grades","Sit and Reach",69.0
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",88.8
"Berlin School District","=""0070011""","All Grades","Sit and Reach",82.1
"Bethany School District","=""0080011""","All Grades","Sit and Reach",82.5
"Bethel School District","=""0090011""","All Grades","Sit and Reach",84.8
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",67.7
"Bolton School District","=""0120011""","All Grades","Sit and Reach",73.0
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",77.4
"Branford School District","=""0140011""","All Grades","Sit and Reach",75.0
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",60.0
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",77.9
"Bristol School District","=""0170011""","All Grades","Sit and Reach",86.1
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",75.2
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",75.1
"Canaan School District","=""0210011""","All Grades","Sit and Reach",95.0
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",83.1
"Canton School District","=""0230011""","All Grades","Sit and Reach",84.7
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",74.0
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",91.5
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",73.1
"Chester School District","=""0260011""","All Grades","Sit and Reach",59.6
"Clinton School District","=""0270011""","All Grades","Sit and Reach",77.6
"Colchester School District","=""0280011""","All Grades","Sit and Reach",69.4
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",63.9
"Columbia School District","=""0300011""","All Grades","Sit and Reach",75.4
"Common Ground High School District","=""2680013""","All Grades","Sit and Reach",77.8
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",80.1
"Cooperative Educational Services","=""2430014""","All Grades","Sit and Reach",72.1
"Cornwall School District","=""0310011""","All Grades","Sit and Reach",76.2
"Coventry School District","=""0320011""","All Grades","Sit and Reach",74.0
"Cromwell School District","=""0330011""","All Grades","Sit and Reach",73.2
"Danbury School District","=""0340011""","All Grades","Sit and Reach",65.6
"Darien School District","=""0350011""","All Grades","Sit and Reach",76.3
"Deep River School District","=""0360011""","All Grades","Sit and Reach",84.0
"Derby School District","=""0370011""","All Grades","Sit and Reach",70.6
"East Granby School District","=""0400011""","All Grades","Sit and Reach",77.2
"East Haddam School District","=""0410011""","All Grades","Sit and Reach",59.9
"East Hampton School District","=""0420011""","All Grades","Sit and Reach",79.1
"East Hartford School District","=""0430011""","All Grades","Sit and Reach",78.6
"East Haven School District","=""0440011""","All Grades","Sit and Reach",85.1
"East Lyme School District","=""0450011""","All Grades","Sit and Reach",78.8
