"Chronic Absenteeism, 2015-16"
"State of Connecticut, Grade"

"Organization","Grade","% Chronically Absent"
"State of Connecticut","Kindergarten",9.8
"State of Connecticut","Grade   1",7.4
"State of Connecticut","Grade   2",6.2
"State of Connecticut","Grade   3",5.6
"State of Connecticut","Grade   4",5.7
"State of Connecticut","Grade   5",5.9
"State of Connecticut","Grade   6",7.2
"State of Connecticut","Grade   7",8.4
"State of Connecticut","Grade   8",9.9
"State of Connecticut","Grade   9",12.9
"State of Connecticut","Grade 10",13.3
"State of Connecticut","Grade 11",14.1
"State of Connecticut","Grade 12",17.8

