"Chronic Absenteeism, 2012-13"
", All Schools, English Learner Status"

"District","District Code","School","School Code","Category","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Kindergarten","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Asian","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",2.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELL","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Eligible For Free Lunch",3.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Female",1.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   1","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   2","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   3","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   4",0.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   5","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   6","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   7",8.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   8","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   9","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",5.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Male",4.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Non-ELL",3.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Non-Special Education",3.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","School",3.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Special Education","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Kindergarten","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","American Indian or Alaska Native","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black or African American",1.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELL","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",3.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",1.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   1","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   2","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   3","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   4",0.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   5","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   6","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   7","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   8","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   9","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic/Latino of any race",3.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",3.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",2.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education",2.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","School",2.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Two or More Races","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch",0.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 11","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 12",0.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","White","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Kindergarten","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Asian","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Black or African American","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELL","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Female","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   1","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   2","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   3","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   4","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   5","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   6","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Male",3.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-ELL",3.9
