"Chronic Absenteeism, 2013-14"
", All Schools, Race/Ethnicity"

"District","District Code","School","School Code","Race/Ethnicity","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Asian","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",5.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",7.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","American Indian or Alaska Native","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black or African American","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic/Latino of any race",4.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Two or More Races","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","White","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Asian","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Black or African American","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Two or More Races","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","White","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black or African American",22.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic/Latino of any race",18.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Two or More Races","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",10.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Asian","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Black or African American","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Hispanic/Latino of any race",16.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Two or More Races","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","White",12.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Asian","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Black or African American","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Hispanic/Latino of any race",12.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Two or More Races","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","White",7.1
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","American Indian or Alaska Native","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Asian","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Black or African American","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Hispanic/Latino of any race",11.1
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Two or More Races","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","White",6.8
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Black or African American","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Hispanic/Latino of any race","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","White","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Black or African American",37.8
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Hispanic/Latino of any race",46.8
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","White",36.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Black or African American","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Hispanic/Latino of any race",16.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","White",12.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","American Indian or Alaska Native","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Black or African American",27.6
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Hispanic/Latino of any race",57.6
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Native Hawaiian or Other Pacific Islander","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","White",25.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Black or African American",50.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Hispanic/Latino of any race",55.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Two or More Races","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","White","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Asian","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Black or African American",71.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Hispanic/Latino of any race",71.4
