"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, Gender"

"Organization","School","School Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Female",5.3
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Male",10.4
"Amistad Academy District","Amistad Academy","=""2795113""","Female",1.9
"Amistad Academy District","Amistad Academy","=""2795113""","Male",3.3
"Andover School District","Andover Elementary School","=""0010111""","Female","*"
"Andover School District","Andover Elementary School","=""0010111""","Male",0.0
"Ansonia School District","Ansonia High School","=""0026111""","Female",11.8
"Ansonia School District","Ansonia High School","=""0026111""","Male",11.7
"Ansonia School District","Ansonia Middle School","=""0025111""","Female",13.5
"Ansonia School District","Ansonia Middle School","=""0025111""","Male",18.2
"Ansonia School District","Mead School","=""0020311""","Female",12.4
"Ansonia School District","Mead School","=""0020311""","Male",13.4
"Ansonia School District","Prendergast School","=""0020811""","Female",10.0
"Ansonia School District","Prendergast School","=""0020811""","Male",10.6
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Female",30.4
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Male",40.3
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Female",10.1
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Male",11.4
"Area Cooperative Educational Services","Village School","=""2449514""","Female",31.0
"Area Cooperative Educational Services","Village School","=""2449514""","Male",28.4
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Female",44.8
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Male",35.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Female",77.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Male",67.1
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Female","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Male","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",5.6
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",9.5
"Ashford School District","Ashford School","=""0030111""","Female",9.4
"Ashford School District","Ashford School","=""0030111""","Male",8.8
"Avon School District","Avon High School","=""0046111""","Female",3.8
"Avon School District","Avon High School","=""0046111""","Male",1.9
"Avon School District","Avon Middle School","=""0045111""","Female",6.5
"Avon School District","Avon Middle School","=""0045111""","Male",5.3
"Avon School District","Pine Grove School","=""0040411""","Female",4.5
"Avon School District","Pine Grove School","=""0040411""","Male",6.3
"Avon School District","Roaring Brook School","=""0040311""","Female",3.5
"Avon School District","Roaring Brook School","=""0040311""","Male",3.7
"Avon School District","Thompson Brook School","=""0040511""","Female",5.5
