"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, Special Education Status"

"Organization","School","School Code","Special Education Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Non-Special Education","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Special Education","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Non-Special Education","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Special Education","*"
"Andover School District","Andover Elementary School","=""0010111""","Non-Special Education","*"
"Andover School District","Andover Elementary School","=""0010111""","Special Education","*"
"Ansonia School District","Ansonia High School","=""0026111""","Non-Special Education",18.3
"Ansonia School District","Ansonia High School","=""0026111""","Special Education",27.9
"Ansonia School District","Ansonia Middle School","=""0025111""","Non-Special Education",13.4
"Ansonia School District","Ansonia Middle School","=""0025111""","Special Education",26.1
"Ansonia School District","Mead School","=""0020311""","Non-Special Education",11.5
"Ansonia School District","Mead School","=""0020311""","Special Education",18.1
"Ansonia School District","Prendergast School","=""0020811""","Non-Special Education",10.2
"Ansonia School District","Prendergast School","=""0020811""","Special Education",16.3
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Non-Special Education","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Special Education","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Non-Special Education",10.5
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Special Education",21.3
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Non-Special Education","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Special Education","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Special Education","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Special Education",31.4
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Special Education",40.4
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Special Education",72.3
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Special Education",19.1
"Ashford School District","Ashford School","=""0030111""","Non-Special Education",6.2
"Ashford School District","Ashford School","=""0030111""","Special Education",12.5
"Avon School District","Avon High School","=""0046111""","Non-Special Education",3.5
"Avon School District","Avon High School","=""0046111""","Special Education",10.4
"Avon School District","Avon Middle School","=""0045111""","Non-Special Education",4.4
"Avon School District","Avon Middle School","=""0045111""","Special Education",10.5
"Avon School District","Pine Grove School","=""0040411""","Non-Special Education","*"
"Avon School District","Pine Grove School","=""0040411""","Special Education","*"
"Avon School District","Roaring Brook School","=""0040311""","Non-Special Education","*"
"Avon School District","Roaring Brook School","=""0040311""","Special Education","*"
"Avon School District","Thompson Brook School","=""0040511""","Non-Special Education",5.8
"Avon School District","Thompson Brook School","=""0040511""","Special Education",8.7
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Non-Special Education","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Special Education","*"
"Berlin School District","Berlin High School","=""0076111""","Non-Special Education",5.9
"Berlin School District","Berlin High School","=""0076111""","Special Education",16.5
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Non-Special Education",7.5
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Special Education",15.6
"Berlin School District","Emma Hart Willard School","=""0070411""","Non-Special Education","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Special Education","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Non-Special Education","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Special Education","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Non-Special Education","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Special Education","*"
"Bethany School District","Bethany Community School","=""0080111""","Non-Special Education",4.4
"Bethany School District","Bethany Community School","=""0080111""","Special Education",14.5
"Bethel School District","Anna H. Rockwell School","=""0090411""","Non-Special Education","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Special Education","*"
"Bethel School District","Bethel High School","=""0096111""","Non-Special Education",6.8
"Bethel School District","Bethel High School","=""0096111""","Special Education",23.8
"Bethel School District","Bethel Middle School","=""0095111""","Non-Special Education",7.4
"Bethel School District","Bethel Middle School","=""0095111""","Special Education",15.9
"Bethel School District","Frank A. Berry School","=""0090111""","Non-Special Education",2.8
"Bethel School District","Frank A. Berry School","=""0090111""","Special Education",0.0
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Non-Special Education",4.7
