"Chronic Absenteeism, 2014-15"
"State of Connecticut, All Schools, Gender"

"Organization","School","School Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Female",10.1
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Male",11.1
"Amistad Academy District","Amistad Academy","=""2795113""","Female",6.4
"Amistad Academy District","Amistad Academy","=""2795113""","Male",4.3
"Andover School District","Andover Elementary School","=""0010111""","Female","*"
"Andover School District","Andover Elementary School","=""0010111""","Male","*"
"Ansonia School District","Ansonia High School","=""0026111""","Female",19.2
"Ansonia School District","Ansonia High School","=""0026111""","Male",23.7
"Ansonia School District","Ansonia Middle School","=""0025111""","Female",12.3
"Ansonia School District","Ansonia Middle School","=""0025111""","Male",21.3
"Ansonia School District","Mead School","=""0020311""","Female",11.9
"Ansonia School District","Mead School","=""0020311""","Male",17.1
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","*"
"Ansonia School District","Prendergast School","=""0020811""","Female",8.6
"Ansonia School District","Prendergast School","=""0020811""","Male",10.0
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Female",46.2
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Male",37.1
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Female",13.7
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Male",13.1
"Area Cooperative Educational Services","Village School","=""2449514""","Female",45.7
"Area Cooperative Educational Services","Village School","=""2449514""","Male",27.2
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Female",52.8
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Male",40.7
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Female",78.6
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Male",69.2
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Female","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Male","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",7.3
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",10.5
"Ashford School District","Ashford School","=""0030111""","Female",7.0
"Ashford School District","Ashford School","=""0030111""","Male",6.8
"Avon School District","Avon High School","=""0046111""","Female",6.5
"Avon School District","Avon High School","=""0046111""","Male",2.9
"Avon School District","Avon Middle School","=""0045111""","Female",0.0
"Avon School District","Avon Middle School","=""0045111""","Male","*"
"Avon School District","Pine Grove School","=""0040411""","Female",0.0
"Avon School District","Pine Grove School","=""0040411""","Male",0.0
"Avon School District","Roaring Brook School","=""0040311""","Female",4.2
"Avon School District","Roaring Brook School","=""0040311""","Male",5.0
"Avon School District","Thompson Brook School","=""0040511""","Female",4.5
"Avon School District","Thompson Brook School","=""0040511""","Male",4.5
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Female","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Male","*"
"Berlin School District","Berlin High School","=""0076111""","Female",13.5
"Berlin School District","Berlin High School","=""0076111""","Male",13.1
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Female",2.9
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Male",3.1
"Berlin School District","Emma Hart Willard School","=""0070411""","Female","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Male","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Female","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Male","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Female","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Male","*"
"Bethany School District","Bethany Community School","=""0080111""","Female",4.4
"Bethany School District","Bethany Community School","=""0080111""","Male",5.6
"Bethel School District","Anna H. Rockwell School","=""0090411""","Female",3.8
"Bethel School District","Anna H. Rockwell School","=""0090411""","Male",7.2
"Bethel School District","Bethel High School","=""0096111""","Female",4.2
"Bethel School District","Bethel High School","=""0096111""","Male",3.7
"Bethel School District","Bethel Middle School","=""0095111""","Female",5.8
"Bethel School District","Bethel Middle School","=""0095111""","Male",6.7
"Bethel School District","Frank A. Berry School","=""0090111""","Female","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Male","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Female","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Male","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Female",8.6
"Bloomfield School District","Bloomfield High School","=""0116111""","Male",11.5
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Female","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Male","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Female",8.8
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Male",5.7
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Female",10.1
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Male",11.4
"Bloomfield School District","Laurel School","=""0110611""","Female",4.3
"Bloomfield School District","Laurel School","=""0110611""","Male",9.9
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Female","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Male","*"
"Bloomfield School District","Metacomet School","=""0110511""","Female","*"
"Bloomfield School District","Metacomet School","=""0110511""","Male","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Female","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Male","*"
"Bolton School District","Bolton Center School","=""0120111""","Female",5.9
"Bolton School District","Bolton Center School","=""0120111""","Male",5.9
"Bolton School District","Bolton High School","=""0126111""","Female",6.4
"Bolton School District","Bolton High School","=""0126111""","Male",4.3
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Female",38.9
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Male",25.0
"Bozrah School District","Fields Memorial School","=""0130111""","Female","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Male","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Female","*"
