"Chronic Absenteeism, 2014-15"
", All Schools, Gender"

"District","District Code","School","School Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Female",10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Male",11.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",6.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",4.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Female","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Male","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",19.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",23.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Female",12.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Male",21.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Female",11.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Male",17.1
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Female",8.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Male",10.0
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Female",46.2
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Male",37.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Female",13.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Male",13.1
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Female",45.7
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Male",27.2
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Female",52.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Male",40.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Female",78.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Male",69.2
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Female","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Male","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",7.3
