"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, Gender"

"Organization","School","School Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Female",1.9
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Male",4.7
"Amistad Academy District","Amistad Academy","=""2795113""","Female",1.8
"Amistad Academy District","Amistad Academy","=""2795113""","Male",3.3
"Andover School District","Andover Elementary School","=""0010111""","Female","*"
"Andover School District","Andover Elementary School","=""0010111""","Male","*"
"Ansonia School District","Ansonia High School","=""0026111""","Female",17.4
"Ansonia School District","Ansonia High School","=""0026111""","Male",20.9
"Ansonia School District","Ansonia Middle School","=""0025111""","Female",17.3
"Ansonia School District","Ansonia Middle School","=""0025111""","Male",12.8
"Ansonia School District","Mead School","=""0020311""","Female",10.4
"Ansonia School District","Mead School","=""0020311""","Male",14.3
"Ansonia School District","Prendergast School","=""0020811""","Female",9.5
"Ansonia School District","Prendergast School","=""0020811""","Male",12.3
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Female",47.8
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Male",38.7
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Female",11.7
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Male",11.5
"Area Cooperative Educational Services","Village School","=""2449514""","Female",34.0
"Area Cooperative Educational Services","Village School","=""2449514""","Male",30.2
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Female",42.4
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Male",39.5
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Female",70.8
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Male",72.9
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Female","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Male","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",8.3
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",8.4
"Ashford School District","Ashford School","=""0030111""","Female",7.9
"Ashford School District","Ashford School","=""0030111""","Male",6.1
"Avon School District","Avon High School","=""0046111""","Female",5.4
"Avon School District","Avon High School","=""0046111""","Male",3.1
"Avon School District","Avon Middle School","=""0045111""","Female",5.1
"Avon School District","Avon Middle School","=""0045111""","Male",4.8
"Avon School District","Pine Grove School","=""0040411""","Female",6.8
"Avon School District","Pine Grove School","=""0040411""","Male",4.8
"Avon School District","Roaring Brook School","=""0040311""","Female",4.0
"Avon School District","Roaring Brook School","=""0040311""","Male",5.1
"Avon School District","Thompson Brook School","=""0040511""","Female",6.8
"Avon School District","Thompson Brook School","=""0040511""","Male",5.4
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Female",5.0
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Male",3.2
"Berlin School District","Berlin High School","=""0076111""","Female",8.9
"Berlin School District","Berlin High School","=""0076111""","Male",5.2
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Female",10.3
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Male",6.5
"Berlin School District","Emma Hart Willard School","=""0070411""","Female",4.9
"Berlin School District","Emma Hart Willard School","=""0070411""","Male",2.7
"Berlin School District","Mary E. Griswold School","=""0070511""","Female",2.2
"Berlin School District","Mary E. Griswold School","=""0070511""","Male",2.4
"Berlin School District","Richard D. Hubbard School","=""0070111""","Female","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Male","*"
"Bethany School District","Bethany Community School","=""0080111""","Female",5.1
"Bethany School District","Bethany Community School","=""0080111""","Male",6.0
"Bethel School District","Anna H. Rockwell School","=""0090411""","Female",6.7
"Bethel School District","Anna H. Rockwell School","=""0090411""","Male",3.9
"Bethel School District","Bethel High School","=""0096111""","Female",10.4
"Bethel School District","Bethel High School","=""0096111""","Male",7.0
"Bethel School District","Bethel Middle School","=""0095111""","Female",8.2
"Bethel School District","Bethel Middle School","=""0095111""","Male",8.6
"Bethel School District","Frank A. Berry School","=""0090111""","Female","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Male","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Female",5.1
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Male",5.8
"Bloomfield School District","Bloomfield High School","=""0116111""","Female",8.7
"Bloomfield School District","Bloomfield High School","=""0116111""","Male",8.0
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Female","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Male","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Female",5.3
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Male",7.1
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Female",12.2
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Male",16.4
"Bloomfield School District","Laurel School","=""0110611""","Female",8.0
"Bloomfield School District","Laurel School","=""0110611""","Male",6.6
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Female","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Male","*"
"Bloomfield School District","Metacomet School","=""0110511""","Female","*"
"Bloomfield School District","Metacomet School","=""0110511""","Male","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Female","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Male","*"
"Bolton School District","Bolton Center School","=""0120111""","Female",4.3
"Bolton School District","Bolton Center School","=""0120111""","Male",3.5
"Bolton School District","Bolton High School","=""0126111""","Female","*"
"Bolton School District","Bolton High School","=""0126111""","Male","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Female",5.9
"Bozrah School District","Fields Memorial School","=""0130111""","Male",11.2
"Branford School District","Branford High School","=""0146111""","Female",11.2
"Branford School District","Branford High School","=""0146111""","Male",10.6
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Female",5.5
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Male",8.3
"Branford School District","John B. Sliney School","=""0141611""","Female",4.6
"Branford School District","John B. Sliney School","=""0141611""","Male",6.1
"Branford School District","Mary R. Tisko School","=""0141511""","Female",4.3
"Branford School District","Mary R. Tisko School","=""0141511""","Male",5.3
"Branford School District","Mary T. Murphy School","=""0141411""","Female",4.9
"Branford School District","Mary T. Murphy School","=""0141411""","Male",6.6
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Female",3.0
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Male",2.1
"Bridgeport School District","Barnum School","=""0150111""","Female",21.9
"Bridgeport School District","Barnum School","=""0150111""","Male",25.9
"Bridgeport School District","Bassick High School","=""0156111""","Female",43.9
"Bridgeport School District","Bassick High School","=""0156111""","Male",35.7
"Bridgeport School District","Beardsley School","=""0150211""","Female",16.4
"Bridgeport School District","Beardsley School","=""0150211""","Male",15.9
"Bridgeport School District","Black Rock School","=""0150311""","Female",18.4
"Bridgeport School District","Black Rock School","=""0150311""","Male",19.1
"Bridgeport School District","Blackham School","=""0154011""","Female",14.7
"Bridgeport School District","Blackham School","=""0154011""","Male",16.6
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Female","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Male","*"
"Bridgeport School District","Bryant School","=""0150411""","Female",23.0
"Bridgeport School District","Bryant School","=""0150411""","Male",20.0
"Bridgeport School District","Central High School","=""0156211""","Female",51.2
"Bridgeport School District","Central High School","=""0156211""","Male",59.5
"Bridgeport School District","Cesar Batalla School","=""0151411""","Female",18.4
"Bridgeport School District","Cesar Batalla School","=""0151411""","Male",16.9
"Bridgeport School District","Classical Studies Academy","=""0152111""","Female",10.8
"Bridgeport School District","Classical Studies Academy","=""0152111""","Male",10.1
"Bridgeport School District","Columbus School","=""0150511""","Female",32.2
"Bridgeport School District","Columbus School","=""0150511""","Male",33.9
"Bridgeport School District","Cross School","=""0153911""","Female",26.1
"Bridgeport School District","Cross School","=""0153911""","Male",28.6
"Bridgeport School District","Curiale School","=""0154211""","Female",27.2
"Bridgeport School District","Curiale School","=""0154211""","Male",29.4
"Bridgeport School District","Dunbar School","=""0154111""","Female",23.2
"Bridgeport School District","Dunbar School","=""0154111""","Male",27.5
"Bridgeport School District","Edison School","=""0150711""","Female",17.5
"Bridgeport School District","Edison School","=""0150711""","Male",16.4
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Female",9.6
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Male",10.4
"Bridgeport School District","Hall School","=""0151111""","Female",19.7
"Bridgeport School District","Hall School","=""0151111""","Male",17.2
"Bridgeport School District","Hallen School","=""0151211""","Female",12.9
"Bridgeport School District","Hallen School","=""0151211""","Male",9.5
"Bridgeport School District","Harding High School","=""0156311""","Female",47.1
"Bridgeport School District","Harding High School","=""0156311""","Male",51.6
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Female",6.2
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Male",3.5
"Bridgeport School District","Hooker School","=""0151311""","Female",13.3
"Bridgeport School District","Hooker School","=""0151311""","Male",14.8
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Female",4.5
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Male",5.2
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Female",27.5
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Male",27.9
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Female",28.0
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Male",30.4
"Bridgeport School District","Madison School","=""0152011""","Female",11.2
"Bridgeport School District","Madison School","=""0152011""","Male",17.5
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Female","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Male","*"
"Bridgeport School District","Park City Academy","=""0159211""","Female",0.0
"Bridgeport School District","Park City Academy","=""0159211""","Male",0.0
"Bridgeport School District","Park City Magnet School","=""0151711""","Female",3.3
"Bridgeport School District","Park City Magnet School","=""0151711""","Male",6.4
"Bridgeport School District","Read School","=""0152511""","Female",9.2
"Bridgeport School District","Read School","=""0152511""","Male",16.2
"Bridgeport School District","Roosevelt School","=""0152611""","Female",25.1
"Bridgeport School District","Roosevelt School","=""0152611""","Male",28.4
"Bridgeport School District","Waltersville School","=""0153011""","Female",29.2
"Bridgeport School District","Waltersville School","=""0153011""","Male",21.4
"Bridgeport School District","Winthrop School","=""0153611""","Female",7.6
"Bridgeport School District","Winthrop School","=""0153611""","Male",10.6
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","Female","*"
