"Chronic Absenteeism, 2012-13"
"State of Connecticut, Grade"

"Organization","Grade","% Chronically Absent"
"State of Connecticut","Kindergarten",12.5
"State of Connecticut","Grade   1",9.0
"State of Connecticut","Grade   2",7.7
"State of Connecticut","Grade   3",6.5
"State of Connecticut","Grade   4",6.5
"State of Connecticut","Grade   5",6.7
"State of Connecticut","Grade   6",8.6
"State of Connecticut","Grade   7",10.9
"State of Connecticut","Grade   8",12.4
"State of Connecticut","Grade   9",15.6
"State of Connecticut","Grade 10",15.6
"State of Connecticut","Grade 11",16.3
"State of Connecticut","Grade 12",20.1

