"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Special Education Status"

"Organization","School","School Code","Special Education Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Non-Special Education",9.0
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Special Education",19.2
"Amistad Academy District","Amistad Academy","=""2795113""","Non-Special Education",4.2
"Amistad Academy District","Amistad Academy","=""2795113""","Special Education",25.0
"Andover School District","Andover Elementary School","=""0010111""","Non-Special Education","*"
"Andover School District","Andover Elementary School","=""0010111""","Special Education","*"
"Ansonia School District","Ansonia High School","=""0026111""","Non-Special Education",15.9
"Ansonia School District","Ansonia High School","=""0026111""","Special Education",14.7
"Ansonia School District","Ansonia Middle School","=""0025111""","Non-Special Education",14.1
"Ansonia School District","Ansonia Middle School","=""0025111""","Special Education",15.8
"Ansonia School District","Mead School","=""0020311""","Non-Special Education",14.7
"Ansonia School District","Mead School","=""0020311""","Special Education",19.1
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Non-Special Education","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Special Education","*"
"Ansonia School District","Prendergast School","=""0020811""","Non-Special Education",8.5
"Ansonia School District","Prendergast School","=""0020811""","Special Education",11.6
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Non-Special Education","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Special Education","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Non-Special Education",9.3
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Special Education",16.9
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Non-Special Education",7.9
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Special Education",11.8
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Special Education","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Special Education",23.5
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Special Education",41.6
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Special Education",74.0
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Special Education",23.3
"Ashford School District","Ashford School","=""0030111""","Non-Special Education","*"
"Ashford School District","Ashford School","=""0030111""","Special Education","*"
"Avon School District","Avon High School","=""0046111""","Non-Special Education",4.7
"Avon School District","Avon High School","=""0046111""","Special Education",10.3
"Avon School District","Avon Middle School","=""0045111""","Non-Special Education","*"
"Avon School District","Avon Middle School","=""0045111""","Special Education","*"
"Avon School District","Pine Grove School","=""0040411""","Non-Special Education","*"
"Avon School District","Pine Grove School","=""0040411""","Special Education","*"
"Avon School District","Roaring Brook School","=""0040311""","Non-Special Education","*"
"Avon School District","Roaring Brook School","=""0040311""","Special Education","*"
"Avon School District","Thompson Brook School","=""0040511""","Non-Special Education","*"
"Avon School District","Thompson Brook School","=""0040511""","Special Education","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Non-Special Education","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Special Education","*"
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","Special Education","*"
