"Chronic Absenteeism, 2014-15"
", All Schools, Race/Ethnicity"

"District","District Code","School","School Code","Category","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Kindergarten",17.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Asian","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",8.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELL",24.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Eligible For Free Lunch",10.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Female",10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   1",8.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   2",12.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   3",8.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   4",7.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   5",10.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   6",10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   7",18.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   8",16.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   9","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 11",0.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",16.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Male",11.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Non-ELL",9.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Non-Special Education",9.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Not Eligible For Lunch","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","School",10.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Special Education",22.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","White","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Kindergarten",7.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","American Indian or Alaska Native","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black or African American",4.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELL",10.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",6.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",6.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   1","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   2","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   3","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   4",0.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   5",10.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   6",6.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   7","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   8","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   9","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10",13.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 11",0.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic/Latino of any race",7.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",4.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",4.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education",4.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","School",5.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education",23.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Two or More Races","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","White","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 12","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Kindergarten",0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Asian","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Black or African American","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELL","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Female","*"
