"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, Gender"

"",,,,"% Chronically Absent",,,,
"Organization","School","School Code","Gender","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Female",5.3,1.9,4.6,10.1,10.7
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Male",10.4,4.7,7.5,11.1,9.4
"Amistad Academy District","Amistad Academy","=""2795113""","Female",1.9,1.8,2.9,6.4,5.0
"Amistad Academy District","Amistad Academy","=""2795113""","Male",3.3,3.3,4.2,4.3,5.7
"Andover School District","Andover Elementary School","=""0010111""","Female","*","*",0.0,"*","*"
"Andover School District","Andover Elementary School","=""0010111""","Male",0.0,"*","*","*","*"
"Ansonia School District","Ansonia High School","=""0026111""","Female",11.8,17.4,14.1,19.2,16.8
"Ansonia School District","Ansonia High School","=""0026111""","Male",11.7,20.9,16.3,23.7,14.7
"Ansonia School District","Ansonia Middle School","=""0025111""","Female",13.5,17.3,12.8,12.3,13.0
"Ansonia School District","Ansonia Middle School","=""0025111""","Male",18.2,12.8,14.6,21.3,15.7
"Ansonia School District","Mead School","=""0020311""","Female",12.4,10.4,8.2,11.9,12.0
"Ansonia School District","Mead School","=""0020311""","Male",13.4,14.3,9.6,17.1,18.7
"Ansonia School District","Prendergast School","=""0020811""","Female",10.0,9.5,6.6,8.6,9.7
"Ansonia School District","Prendergast School","=""0020811""","Male",10.6,12.3,9.6,10.0,8.3
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","N/A","N/A","N/A","*","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*","*","*","*","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*","*","*","*","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Female",30.4,47.8,46.2,46.2,40.0
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Male",40.3,38.7,40.4,37.1,33.1
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Female",10.1,11.7,14.8,13.7,10.8
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Male",11.4,11.5,12.4,13.1,9.6
"Area Cooperative Educational Services","Village School","=""2449514""","Female",31.0,34.0,44.4,45.7,24.4
"Area Cooperative Educational Services","Village School","=""2449514""","Male",28.4,30.2,29.2,27.2,23.2
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Female",44.8,42.4,58.3,52.8,42.1
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Male",35.3,39.5,39.2,40.7,41.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Female",77.3,70.8,65.5,78.6,75.0
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Male",67.1,72.9,73.8,69.2,73.6
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Female","*","*","*","*","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Male","*","*","*","*","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",5.6,8.3,11.3,7.3,8.8
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",9.5,8.4,11.5,10.5,7.9
"Ashford School District","Ashford School","=""0030111""","Female",9.4,7.9,5.3,7.0,5.1
"Ashford School District","Ashford School","=""0030111""","Male",8.8,6.1,9.8,6.8,5.3
"Avon School District","Avon High School","=""0046111""","Female",3.8,5.4,5.3,6.5,5.6
"Avon School District","Avon High School","=""0046111""","Male",1.9,3.1,2.0,2.9,4.9
"Avon School District","Avon Middle School","=""0045111""","Female",6.5,5.1,5.3,0.0,"*"
"Avon School District","Avon Middle School","=""0045111""","Male",5.3,4.8,4.9,"*","*"
"Avon School District","Pine Grove School","=""0040411""","Female",4.5,6.8,3.7,0.0,4.4
"Avon School District","Pine Grove School","=""0040411""","Male",6.3,4.8,6.3,0.0,3.0
"Avon School District","Roaring Brook School","=""0040311""","Female",3.5,4.0,7.5,4.2,4.5
"Avon School District","Roaring Brook School","=""0040311""","Male",3.7,5.1,4.5,5.0,8.1
"Avon School District","Thompson Brook School","=""0040511""","Female",5.5,6.8,4.7,4.5,2.2
"Avon School District","Thompson Brook School","=""0040511""","Male",4.7,5.4,5.1,4.5,3.9
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Female","*",5.0,"*","*","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Male","*",3.2,"*","*","*"
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","Female","N/A","N/A","N/A","N/A","*"
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","Male","N/A","N/A","N/A","N/A","*"
"Berlin School District","Berlin High School","=""0076111""","Female",9.6,8.9,10.4,13.5,7.1
"Berlin School District","Berlin High School","=""0076111""","Male",6.0,5.2,8.4,13.1,5.4
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Female",8.9,10.3,4.4,2.9,2.3
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Male",6.8,6.5,2.8,3.1,2.9
"Berlin School District","Emma Hart Willard School","=""0070411""","Female",3.6,4.9,2.9,"*","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Male",2.3,2.7,2.4,"*","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Female",3.3,2.2,"*","*","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Male",2.9,2.4,"*","*","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Female","*","*","*","*","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Male","*","*","*","*","*"
"Bethany School District","Bethany Community School","=""0080111""","Female",3.9,5.1,4.7,4.4,4.9
"Bethany School District","Bethany Community School","=""0080111""","Male",2.5,6.0,5.1,5.6,5.4
"Bethel School District","Anna H. Rockwell School","=""0090411""","Female",7.7,6.7,3.8,3.8,"*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Male",4.8,3.9,3.8,7.2,"*"
"Bethel School District","Bethel High School","=""0096111""","Female",9.3,10.4,11.0,4.2,10.2
"Bethel School District","Bethel High School","=""0096111""","Male",6.2,7.0,8.8,3.7,9.3
"Bethel School District","Bethel Middle School","=""0095111""","Female",6.8,8.2,3.5,5.8,3.2
"Bethel School District","Bethel Middle School","=""0095111""","Male",7.9,8.6,5.3,6.7,4.4
"Bethel School District","Frank A. Berry School","=""0090111""","Female","*","*","*","*",0.0
"Bethel School District","Frank A. Berry School","=""0090111""","Male","*","*","*","*",4.1
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Female",3.3,5.1,18.8,"*",13.7
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Male",4.2,5.8,10.9,"*",14.2
"Bloomfield School District","Bloomfield High School","=""0116111""","Female",11.1,8.7,7.8,8.6,7.0
"Bloomfield School District","Bloomfield High School","=""0116111""","Male",9.2,8.0,8.2,11.5,10.6
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Female","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Male","*","*","*","*","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Female",8.8,5.3,6.5,8.8,"*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Male",9.3,7.1,8.1,5.7,"*"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Female",9.0,"N/A","N/A","N/A","N/A"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Male",6.4,"N/A","N/A","N/A","N/A"
"Bloomfield School District","Metacomet School","=""0110511""","Female","*","*","*","*","*"
"Bloomfield School District","Metacomet School","=""0110511""","Male","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","=""0116211""","Female","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","=""0116211""","Male","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Female","*","*","*","*","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Male","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Female","N/A",12.2,11.8,10.1,14.3
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Male","N/A",16.4,8.9,11.4,14.6
"Bloomfield School District","Laurel School","=""0110611""","Female","N/A",8.0,3.7,4.3,5.9
"Bloomfield School District","Laurel School","=""0110611""","Male","N/A",6.6,4.8,9.9,13.8
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Female","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Male","N/A","*","*","*","*"
"Bloomfield School District","SAGE","=""3480415""","Male","N/A","N/A","N/A","N/A","*"
"Bolton School District","Bolton Center School","=""0120111""","Female","*",4.3,5.9,5.9,"*"
"Bolton School District","Bolton Center School","=""0120111""","Male","*",3.5,5.7,5.9,"*"
"Bolton School District","Bolton High School","=""0126111""","Female","*","*",5.3,6.4,"*"
"Bolton School District","Bolton High School","=""0126111""","Male","*","*",3.7,4.3,"*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Female","N/A","N/A","N/A",38.9,23.1
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Male","N/A","N/A","N/A",25.0,18.0
"Bozrah School District","Fields Memorial School","=""0130111""","Female","*",5.9,7.7,"*","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Male","*",11.2,7.0,"*","*"
"Branford School District","Branford High School","=""0146111""","Female",11.2,11.2,16.2,13.4,13.1
"Branford School District","Branford High School","=""0146111""","Male",8.8,10.6,12.7,14.0,8.4
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Female",6.5,5.5,5.9,8.4,5.7
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Male",8.8,8.3,7.6,8.1,8.7
"Branford School District","John B. Sliney School","=""0141611""","Female","*",4.6,3.6,"*",4.9
"Branford School District","John B. Sliney School","=""0141611""","Male","*",6.1,4.7,"*",3.4
"Branford School District","Mary R. Tisko School","=""0141511""","Female",4.0,4.3,4.6,"*",5.1
"Branford School District","Mary R. Tisko School","=""0141511""","Male",4.4,5.3,4.8,"*",6.0
"Branford School District","Mary T. Murphy School","=""0141411""","Female",4.9,4.9,5.8,5.1,10.9
"Branford School District","Mary T. Murphy School","=""0141411""","Male",5.5,6.6,8.0,6.4,8.5
"Branford School District","Branford High School Horizons Program","=""0140211""","Female","N/A","N/A","N/A","*",80.0
"Branford School District","Branford High School Horizons Program","=""0140211""","Male","N/A","N/A","N/A","*",70.0
"Branford School District","Bridgeport Detention Center","=""3480115""","Female","N/A","N/A","N/A","N/A","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Female","N/A","N/A","*",8.8,"*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Male","N/A","N/A","*",13.0,"*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Female","*",3.0,2.7,4.0,4.9
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Male","*",2.1,3.0,2.3,4.4
"Bridgeport School District","Barnum School","=""0150111""","Female",20.8,21.9,24.5,19.9,24.9
"Bridgeport School District","Barnum School","=""0150111""","Male",24.1,25.9,27.4,23.1,24.4
"Bridgeport School District","Bassick High School","=""0156111""","Female",41.8,43.9,45.5,46.3,45.9
"Bridgeport School District","Bassick High School","=""0156111""","Male",36.3,35.7,38.0,40.0,39.0
"Bridgeport School District","Beardsley School","=""0150211""","Female",16.8,16.4,20.3,21.2,14.6
"Bridgeport School District","Beardsley School","=""0150211""","Male",20.4,15.9,15.3,14.5,13.8
"Bridgeport School District","Black Rock School","=""0150311""","Female",15.4,18.4,11.7,7.9,6.7
"Bridgeport School District","Black Rock School","=""0150311""","Male",11.0,19.1,14.6,13.6,6.1
"Bridgeport School District","Blackham School","=""0154011""","Female",12.3,14.7,16.3,9.8,11.4
"Bridgeport School District","Blackham School","=""0154011""","Male",14.9,16.6,18.0,17.4,13.1
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Female","*","*","*","*","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Male","*","*","*","*","*"
"Bridgeport School District","Bryant School","=""0150411""","Female",19.1,23.0,17.3,10.6,15.4
"Bridgeport School District","Bryant School","=""0150411""","Male",14.5,20.0,17.1,16.8,12.8
"Bridgeport School District","Central High School","=""0156211""","Female",22.6,51.2,33.7,21.2,17.0
"Bridgeport School District","Central High School","=""0156211""","Male",22.1,59.5,31.1,16.8,15.9
"Bridgeport School District","Cesar Batalla School","=""0151411""","Female",14.1,18.4,16.2,13.3,11.1
"Bridgeport School District","Cesar Batalla School","=""0151411""","Male",16.9,16.9,17.0,14.6,13.3
"Bridgeport School District","Classical Studies Academy","=""0152111""","Female",7.1,10.8,"*","*",4.2
"Bridgeport School District","Classical Studies Academy","=""0152111""","Male",5.0,10.1,"*","*",4.7
"Bridgeport School District","Columbus School","=""0150511""","Female",19.7,32.2,25.2,23.0,25.9
"Bridgeport School District","Columbus School","=""0150511""","Male",23.4,33.9,30.9,25.6,22.9
"Bridgeport School District","Cross School","=""0153911""","Female",28.4,26.1,25.6,28.7,27.8
"Bridgeport School District","Cross School","=""0153911""","Male",26.1,28.6,25.9,27.7,32.5
"Bridgeport School District","Curiale School","=""0154211""","Female",20.9,27.2,26.8,22.8,17.0
"Bridgeport School District","Curiale School","=""0154211""","Male",24.3,29.4,30.9,30.4,22.3
"Bridgeport School District","Dunbar School","=""0154111""","Female",25.6,23.2,28.4,26.3,27.4
"Bridgeport School District","Dunbar School","=""0154111""","Male",29.7,27.5,32.5,31.0,25.7
"Bridgeport School District","Edison School","=""0150711""","Female",10.8,17.5,9.6,13.7,17.8
"Bridgeport School District","Edison School","=""0150711""","Male",11.4,16.4,17.5,14.3,12.4
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Female",8.1,9.6,7.2,8.2,3.6
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Male",8.9,10.4,7.1,9.4,3.6
"Bridgeport School District","Hall School","=""0151111""","Female",15.0,19.7,15.2,15.3,7.2
"Bridgeport School District","Hall School","=""0151111""","Male",10.6,17.2,17.2,12.2,9.8
"Bridgeport School District","Hallen School","=""0151211""","Female",14.5,12.9,12.9,11.9,6.1
"Bridgeport School District","Hallen School","=""0151211""","Male",16.1,9.5,12.6,12.7,13.5
"Bridgeport School District","Harding High School","=""0156311""","Female",41.1,47.1,45.3,53.6,44.6
"Bridgeport School District","Harding High School","=""0156311""","Male",48.9,51.6,42.4,48.0,45.0
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Female","*",6.2,"*",4.0,"*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Male","*",3.5,"*",3.6,"*"
"Bridgeport School District","Hooker School","=""0151311""","Female",4.7,13.3,13.5,12.6,12.4
"Bridgeport School District","Hooker School","=""0151311""","Male",8.9,14.8,16.0,13.1,12.2
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Female","*",4.5,2.9,4.0,4.9
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Male","*",5.2,5.2,5.2,3.3
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Female",23.7,27.5,33.3,29.5,28.8
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Male",23.9,27.9,33.8,30.6,27.2
"Bridgeport School District","Longfellow School","=""0151911""","Female",23.5,"N/A","N/A","N/A","N/A"
"Bridgeport School District","Longfellow School","=""0151911""","Male",30.6,"N/A","N/A","N/A","N/A"
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Female",25.5,28.0,26.5,23.4,22.1
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Male",26.5,30.4,27.9,28.1,27.0
"Bridgeport School District","Madison School","=""0152011""","Female",9.0,11.2,14.2,9.7,10.8
"Bridgeport School District","Madison School","=""0152011""","Male",12.5,17.5,15.5,13.9,9.4
"Bridgeport School District","Make The Grade","=""0159511""","Female","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","Make The Grade","=""0159511""","Male","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Female","*","*","*","*","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Male","*","*","*","*","*"
"Bridgeport School District","Park City Academy","=""0159211""","Female","*",0.0,"N/A","N/A","N/A"
"Bridgeport School District","Park City Academy","=""0159211""","Male","*",0.0,"N/A","N/A","N/A"
