"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""",10.1
"Amistad Academy District","Amistad Academy","=""2795113""",5.3
"Andover School District","Andover Elementary School","=""0010111""","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""",75.8
"Ansonia School District","Ansonia Middle School","=""0025111""",14.4
"Ansonia School District","Ansonia High School","=""0026111""",15.7
"Ansonia School District","Mead School","=""0020311""",15.5
"Ansonia School District","Prendergast School","=""0020811""",9.0
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""",23.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""",74.0
"Area Cooperative Educational Services","Whitney High School East","=""2449214""",41.6
"Area Cooperative Educational Services","Village School","=""2449514""",23.5
"Area Cooperative Educational Services","Mill Road School","=""2449414""",34.2
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""",8.4
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""",10.2
"Ashford School District","Ashford School","=""0030111""",5.2
"Avon School District","Roaring Brook School","=""0040311""",6.4
"Avon School District","Avon Middle School","=""0045111""",3.3
"Avon School District","Thompson Brook School","=""0040511""",3.1
"Avon School District","Pine Grove School","=""0040411""",3.7
"Avon School District","Avon High School","=""0046111""",5.2
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""",4.3
"Berlin School District","Richard D. Hubbard School","=""0070111""",3.5
"Berlin School District","Emma Hart Willard School","=""0070411""",3.4
"Berlin School District","Mary E. Griswold School","=""0070511""","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""",2.7
"Berlin School District","Berlin High School","=""0076111""",6.2
"Bethany School District","Bethany Community School","=""0080111""",5.2
"Bethel School District","Anna H. Rockwell School","=""0090411""",4.0
"Bethel School District","Ralph M. T. Johnson School","=""0090511""",14.0
"Bethel School District","Frank A. Berry School","=""0090111""",2.2
"Bethel School District","Bethel Middle School","=""0095111""",3.8
"Bethel School District","Bethel High School","=""0096111""",9.7
"Bloomfield School District","SAGE","=""3480415""","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""",11.7
"Bloomfield School District","Global Experience Magnet School","=""0116311""",14.4
"Bloomfield School District","Carmen Arace Middle School","=""0115211""",4.0
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""",4.4
"Bloomfield School District","Metacomet School","=""0110511""",5.0
"Bloomfield School District","Laurel School","=""0110611""",9.6
"Bloomfield School District","Bloomfield High School","=""0116111""",9.0
"Bolton School District","Bolton High School","=""0126111""",2.3
"Bolton School District","Bolton Center School","=""0120111""",3.6
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""",20.2
"Bozrah School District","Fields Memorial School","=""0130111""",5.5
"Branford School District","Bridgeport Detention Center","=""3480115""","*"
"Branford School District","Branford High School Horizons Program","=""0140211""",74.0
"Branford School District","John B. Sliney School","=""0141611""",4.1
"Branford School District","Mary R. Tisko School","=""0141511""",5.6
"Branford School District","Mary T. Murphy School","=""0141411""",9.5
"Branford School District","Branford High School","=""0146111""",10.7
"Branford School District","Francis Walsh Intermediate School","=""0145111""",7.2
"Brass City Charter School District","Brass City Charter School","=""2900113""",7.4
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""",4.7
"Bridgeport School District","Opportunities for Self-Discovery Community Partnership","=""0152811""","*"
"Bridgeport School District","Career and Craftsmanship","=""0152711""",84.4
"Bridgeport School District","Bridgeport Learning Center","=""0159011""",31.0
"Bridgeport School District","Hall School","=""0151111""",8.6
"Bridgeport School District","Bridgeport Military Academy","=""0151611""",22.0
"Bridgeport School District","Edison School","=""0150711""",14.8
"Bridgeport School District","Hallen School","=""0151211""",10.0
"Bridgeport School District","Dunbar School","=""0154111""",26.6
"Bridgeport School District","Beardsley School","=""0150211""",14.2
"Bridgeport School District","Hooker School","=""0151311""",12.3
"Bridgeport School District","Bryant School","=""0150411""",14.0
"Bridgeport School District","Cross School","=""0153911""",30.4
"Bridgeport School District","Classical Studies Academy","=""0152111""",4.4
"Bridgeport School District","High Horizons Magnet School","=""0154511""",2.9
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""",4.1
"Bridgeport School District","Black Rock School","=""0150311""",6.4
"Bridgeport School District","Park City Magnet School","=""0151711""",4.0
"Bridgeport School District","Multicultural Magnet School","=""0154611""","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",17.1
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",11.3
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",7.8
"Bridgeport School District","Waltersville School","=""0153011""",22.1
"Bridgeport School District","Madison School","=""0152011""",10.0
"Bridgeport School District","Roosevelt School","=""0152611""",17.5
"Bridgeport School District","Barnum School","=""0150111""",24.7
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""",27.9
"Bridgeport School District","Winthrop School","=""0153611""",4.5
"Bridgeport School District","Curiale School","=""0154211""",19.7
"Bridgeport School District","Geraldine Johnson School","=""0153211""",3.6
"Bridgeport School District","Columbus School","=""0150511""",24.3
"Bridgeport School District","Read School","=""0152511""",15.1
"Bridgeport School District","Luis Munoz Marin School","=""0151011""",24.5
"Bridgeport School District","Bassick High School","=""0156111""",42.2
"Bridgeport School District","Harding High School","=""0156311""",44.8
"Bridgeport School District","Blackham School","=""0154011""",12.3
"Bridgeport School District","Cesar Batalla School","=""0151411""",12.3
"Bridgeport School District","Central High School","=""0156211""",16.5
"Bristol School District","Greene-Hills GOAL","=""0170911""","*"
"Bristol School District","Extended Resource Self-Contained","=""0173611""","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","*"
"Bristol School District","South Side Extended Resource","=""0173011""","*"
"Bristol School District","Ivy Drive GOAL","=""0172611""","*"
"Bristol School District","Ivy Drive Medically Fragile","=""0172311""","*"
"Bristol School District","Northeast MS/GOAL","=""0172811""","*"
"Bristol School District","Mt. View GOAL","=""0172511""","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","*"
"Bristol School District","South Side GOAL","=""0173111""","*"
"Bristol School District","Chms Goal","=""0173411""","*"
"Bristol School District","Chippens Hill Middle School Functional Program","=""0171011""","*"
"Bristol School District","Community/Vocational Program","=""0179211""","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""","*"
"Bristol School District","Stafford Autism","=""0173211""","*"
"Bristol School District","Bristol Preparatory Academy","=""0173311""",49.0
"Bristol School District","Edgewood School","=""0170311""",1.8
"Bristol School District","Mountain View School","=""0171711""",3.5
"Bristol School District","Ivy Drive School","=""0171911""",4.3
"Bristol School District","Ellen P. Hubbell School","=""0171411""",5.1
"Bristol School District","Northeast Middle School","=""0175211""",3.4
"Bristol School District","South Side School","=""0171111""",5.6
"Bristol School District","Stafford School","=""0171211""",5.9
"Bristol School District","Chippens Hill Middle School","=""0175111""",9.3
"Bristol School District","Greene-Hills School","=""0170511""",7.9
"Bristol School District","West Bristol School","=""0172011""",8.0
"Bristol School District","Bristol Central High School","=""0176111""",12.0
"Bristol School District","Bristol Eastern High School","=""0176211""",11.6
"Brookfield School District","Center Elementary School","=""0180311""",3.6
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""",1.7
"Brookfield School District","Whisconier Middle School","=""0185311""",3.0
"Brookfield School District","Brookfield High School","=""0186111""",1.0
"Brooklyn School District","Brooklyn Middle School","=""0195111""",2.9
"Brooklyn School District","Brooklyn Elementary School","=""0190111""",2.0
"Canaan School District","Lee H. Kellogg School","=""0210111""",9.2
"Canterbury School District","Canterbury Elementary School","=""0220211""",3.0
"Canterbury School District","Dr. Helen Baldwin Middle School","=""0225111""",4.3
"Canton School District","Canton Academy","=""0230411""","*"
"Canton School District","Canton Middle School","=""0235111""",3.9
"Canton School District","Canton Intermediate School","=""0230311""",4.1
"Canton School District","Cherry Brook Primary School","=""0230211""",7.4
"Canton School District","Canton High School","=""0236111""",6.1
"Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","=""2970113""",13.7
"Capitol Region Education Council","Integrated Program Models","=""2419414""","*"
"Capitol Region Education Council","Soundbridge","=""2419114""","*"
"Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*"
"Capitol Region Education Council","Soundbridge @ Museum Academy","=""2411214""","*"
"Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*"
"Capitol Region Education Council","Soundbridge @ Wethersfield High School","=""2411014""","*"
"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*"
"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","=""2419214""",40.0
"Capitol Region Education Council","River Street Early Learning Center (Site 2)","=""2419514""",12.7
"Capitol Region Education Council","John J. Allison Polaris Center","=""2419014""","*"
"Capitol Region Education Council","River Street School","=""2419314""",15.8
"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","=""2410714""",15.3
"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","=""2410614""",7.1
"Capitol Region Education Council","Montessori Magnet School","=""2413114""",7.8
"Capitol Region Education Council","Discovery Academy","=""2418114""",5.7
"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",18.4
"Capitol Region Education Council","Museum Academy","=""2410514""",9.6
"Capitol Region Education Council","Reggio Magnet School of the Arts","=""2410314""",8.9
"Capitol Region Education Council","International Magnet School for Global Citizenship","=""2410414""",8.9
"Capitol Region Education Council","University of Hartford Magnet School","=""2410214""",6.0
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","=""2410114""",6.3
"Capitol Region Education Council","Two Rivers Magnet High School","=""2416714""",16.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",29.0
"Capitol Region Education Council","Public Safety Academy","=""2415214""",23.0
"Capitol Region Education Council","Academy of Science and Innovation","=""2416514""",13.8
"Capitol Region Education Council","Two Rivers Magnet Middle School","=""2415014""",6.1
"Capitol Region Education Council","Academy of Aerospace and Engineering","=""2415114""",7.2
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","=""2416114""",7.6
"Chaplin School District","Chaplin Elementary School","=""0240211""",10.1
"Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","*"
"Cheshire School District","Humiston Alternative School","=""0250911""",68.0
"Cheshire School District","Darcey School","=""0250211""","*"
"Cheshire School District","Chapman School","=""0250111""",4.3
"Cheshire School District","Norton School","=""0250511""",3.1
"Cheshire School District","Doolittle School","=""0250611""",3.3
"Cheshire School District","Dodd Middle School","=""0255111""",5.2
"Cheshire School District","Highland School","=""0250411""",4.4
"Cheshire School District","Cheshire High School","=""0256111""",5.9
"Chester School District","Chester Elementary School","=""0260111""",2.8
"Clinton School District","Abraham Pierson School","=""0270111""","*"
"Clinton School District","Jared Eliot School","=""0275111""",4.5
"Clinton School District","Lewin G. Joel Jr. School","=""0270311""",3.5
"Clinton School District","The Morgan School","=""0276111""",10.1
"Colchester School District","Bacon Academy Alternative Education","=""0280511""","*"
"Colchester School District","Colchester Elementary School","=""0280411""",3.9
"Colchester School District","Jack Jackter Intermediate School","=""0280211""",2.3
"Colchester School District","William J. Johnston Middle School","=""0285111""",4.7
"Colchester School District","Bacon Academy","=""0286111""",9.3
"Colebrook School District","Colebrook Consolidated School","=""0290111""","*"
"Columbia School District","Horace W. Porter School","=""0300111""",3.4
"Common Ground High School District","Common Ground High School","=""2686113""",11.5
"Connecticut Technical High School System","J. M. Wright Technical High School","=""9002116""",13.9
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","=""9002716""",14.2
"Connecticut Technical High School System","Windham Technical High School","=""9002416""",6.7
"Connecticut Technical High School System","Eli Whitney Technical High School","=""9001416""",29.2
"Connecticut Technical High School System","Emmett O'Brien Technical High School","=""9002516""",17.7
"Connecticut Technical High School System","Vinal Technical High School","=""9001816""",14.1
"Connecticut Technical High School System","H. H. Ellis Technical High School","=""9001316""",10.2
"Connecticut Technical High School System","E. C. Goodwin Technical High School","=""9001916""",10.8
"Connecticut Technical High School System","Howell Cheney Technical High School","=""9001616""",11.8
"Connecticut Technical High School System","Henry Abbott Technical High School","=""9001216""",8.0
"Connecticut Technical High School System","Oliver Wolcott Technical High School","=""9002216""",13.7
"Connecticut Technical High School System","Norwich Technical High School","=""9002016""",4.3
"Connecticut Technical High School System","H. C. Wilcox Technical High School","=""9001716""",8.7
"Connecticut Technical High School System","A. I. Prince Technical High School","=""9001516""",18.1
"Connecticut Technical High School System","W. F. Kaynor Technical High School","=""9002316""",7.0
"Connecticut Technical High School System","Bullard-Havens Technical High School","=""9001116""",20.9
"Connecticut Technical High School System","Platt Technical High School","=""9002616""",9.4
"Cooperative Educational Services","RISE Transitional Program","=""2439314""","*"
"Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","=""2439114""",17.5
"Cooperative Educational Services","Developmental Learning Center (DLC)","=""2439214""",20.9
"Cooperative Educational Services","Therapeutic Day Program","=""2439414""",36.0
"Cooperative Educational Services","Six-Six Magnet School","=""2430114""",6.8
"Cornwall School District","Cornwall Consolidated School","=""0310111""","*"
"Coventry School District","Coventry Academy","=""0320111""","*"
"Coventry School District","Coventry Grammar School","=""0320211""",3.7
"Coventry School District","George Hersey Robertson School","=""0320411""",2.2
"Coventry School District","Capt. Nathan Hale School","=""0325111""",6.8
"Coventry School District","Coventry High School","=""0326111""",7.3
"Cromwell School District","Edna C. Stevens School","=""0330211""",1.8
"Cromwell School District","Cromwell Middle School","=""0335111""",2.5
"Cromwell School District","Woodside Intermediate School","=""0330311""","*"
"Cromwell School District","Cromwell High School","=""0336111""",2.3
"Danbury School District","Alternative Center For Excellence","=""0346211""",60.2
"Danbury School District","Great Plain School","=""0341111""",6.9
"Danbury School District","Mill Ridge Primary School","=""0340511""",2.0
"Danbury School District","Morris Street School","=""0340611""",2.2
"Danbury School District","Pembroke School","=""0341511""",7.4
"Danbury School District","King Street Intermediate School","=""0341711""",7.4
"Danbury School District","South Street School","=""0341011""",2.6
"Danbury School District","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",3.4
"Danbury School District","Hayestown Avenue School","=""0340211""",8.6
"Danbury School District","King Street Primary School","=""0341311""",6.5
"Danbury School District","Ellsworth Avenue School","=""0341411""",1.6
"Danbury School District","Westside Middle School Academy","=""0340311""",2.6
"Danbury School District","Stadley Rough School","=""0341611""",7.1
"Danbury School District","Shelter Rock School","=""0341211""",6.3
"Danbury School District","Park Avenue School","=""0340811""",8.4
"Danbury School District","Rogers Park Middle School","=""0345211""",4.9
"Danbury School District","Broadview Middle School","=""0345111""",3.8
"Danbury School District","Danbury High School","=""0346111""",11.9
"Darien School District","Royle Elementary School","=""0350511""",2.7
"Darien School District","Ox Ridge Elementary School","=""0351311""",2.3
"Darien School District","Tokeneke Elementary School","=""0350611""",1.8
"Darien School District","Holmes Elementary School","=""0350711""","*"
"Darien School District","Hindley Elementary School","=""0350211""",2.0
"Darien School District","Middlesex Middle School","=""0355111""",3.0
"Darien School District","Darien High School","=""0356111""",4.4
"Deep River School District","Deep River Elementary School","=""0360111""","*"
"Department of Mental Health and Addiction Services","Connecticut Valley Hospital","=""3370215""","*"
"Derby School District","Derby Alternative Education Center","=""0370511""","*"
"Derby School District","Derby Middle School","=""0375011""",13.2
"Derby School District","Irving School","=""0370411""",8.5
"Derby School District","Bradley School","=""0370611""",7.0
"Derby School District","Derby High School","=""0376111""",22.1
"East Granby School District","Allgrove School","=""0400111""",7.1
"East Granby School District","R. Dudley Seymour School","=""0400211""",5.6
"East Granby School District","East Granby Middle School","=""0405111""","*"
"East Granby School District","East Granby High School","=""0406111""",8.7
"East Haddam School District","East Haddam Elementary School","=""0410111""",4.7
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""",8.3
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""",5.1
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","*"
"East Hampton School District","Center School","=""0420311""",3.1
"East Hampton School District","East Hampton Middle School","=""0425111""",7.4
"East Hampton School District","East Hampton High School","=""0426111""",12.2
"East Hampton School District","Memorial School","=""0420111""",4.3
"East Hartford School District","Hartford Detention Center","=""3480315""","*"
"East Hartford School District","Stevens Alternate High school","=""0436411""",87.6
"East Hartford School District","Connecticut IB Academy","=""0436311""",4.2
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",8.6
"East Hartford School District","Woodland School","=""0439011""",61.3
"East Hartford School District","Hockanum School","=""0430511""",6.6
"East Hartford School District","Silver Lane School","=""0431211""",12.4
"East Hartford School District","Joseph O. Goodwin School","=""0430411""",9.0
"East Hartford School District","Dr. John A. Langford School","=""0432211""",12.6
"East Hartford School District","Anna E. Norris School","=""0430911""",12.5
"East Hartford School District","Governor William Pitkin School","=""0432011""",7.0
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""",9.9
"East Hartford School District","Robert J. O'Brien School","=""0431811""",7.7
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""",6.1
"East Hartford School District","East Hartford Middle School","=""0435111""",9.5
"East Hartford School District","East Hartford High School","=""0436211""",13.7
"East Haven School District","Grove J. Tuttle School","=""0441011""",6.0
"East Haven School District","Momauguin School","=""0440711""",17.1
"East Haven School District","Overbrook Elementary School","=""0441811""",13.5
"East Haven School District","D. C. Moore School","=""0441411""",6.1
"East Haven School District","Dominick H. Ferrara School","=""0441311""",6.9
"East Haven School District","Carbone School/East Haven Academy","=""0441711""",2.7
"East Haven School District","Deer Run School","=""0440111""",7.2
"East Haven School District","Joseph Melillo Middle School","=""0445111""",0.0
"East Haven School District","East Haven High School","=""0446111""",19.4
"East Lyme School District","Medically Fragile Program (WAVES)","=""0450711""","*"
"East Lyme School District","Post High School Transition Program","=""0450511""","*"
"East Lyme School District","Coastal Connections","=""0450611""",53.8
"East Lyme School District","Niantic Center School","=""0450211""",4.1
"East Lyme School District","Lillie B. Haynes School","=""0450411""",3.1
"East Lyme School District","Flanders School","=""0450111""",4.3
"East Lyme School District","East Lyme Middle School","=""0455111""",4.6
"East Lyme School District","East Lyme High School","=""0456111""",4.3
"East Windsor School District","East Windsor Transition Program","=""0470411""","*"
"East Windsor School District","East Windsor High School","=""0476111""",16.0
"East Windsor School District","Broad Brook Elementary School","=""0470111""",9.0
"East Windsor School District","East Windsor Middle School","=""0475411""",11.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""",27.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",10.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""",57.5
"Eastford School District","Eastford Elementary School","=""0390111""","*"
"Easton School District","Helen Keller Middle School","=""0465111""",2.3
"Easton School District","Samuel Staples Elementary School","=""0460111""",1.4
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*"
"Ellington School District","Center School","=""0480111""","*"
"Ellington School District","Windermere School Program for Alternative Learning K-4","=""0480311""","*"
"Ellington School District","Crystal Lake School","=""0480211""","*"
"Ellington School District","Ellington Middle School","=""0485111""",5.2
"Ellington School District","Windermere School","=""0480611""",5.2
"Ellington School District","Windermere Intermediate School","=""0480711""",4.0
"Ellington School District","Ellington High School","=""0486111""",5.1
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""",5.7
"Elm City Montessori School District","Elm City Montessori School","=""2910113""",20.5
"Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","*"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","*"
