"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, Free/Reduced Price Meal Eligibility"

"Organization","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Eligible For Free Lunch",3.4
"Amistad Academy District","Amistad Academy","=""2795113""","Eligible For Free Lunch","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Eligible For Reduced Lunch",0.0
"Amistad Academy District","Amistad Academy","=""2795113""","Not Eligible For Lunch","*"
"Andover School District","Andover Elementary School","=""0010111""","Eligible For Free Lunch","*"
"Andover School District","Andover Elementary School","=""0010111""","Eligible For Reduced Lunch","*"
"Andover School District","Andover Elementary School","=""0010111""","Not Eligible For Lunch","*"
"Ansonia School District","Ansonia High School","=""0026111""","Eligible For Free Lunch",22.1
"Ansonia School District","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",11.3
"Ansonia School District","Ansonia High School","=""0026111""","Not Eligible For Lunch",18.6
"Ansonia School District","Ansonia Middle School","=""0025111""","Eligible For Free Lunch",20.2
"Ansonia School District","Ansonia Middle School","=""0025111""","Eligible For Reduced Lunch","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Not Eligible For Lunch","*"
"Ansonia School District","Mead School","=""0020311""","Eligible For Free Lunch",16.1
"Ansonia School District","Mead School","=""0020311""","Eligible For Reduced Lunch","*"
"Ansonia School District","Mead School","=""0020311""","Not Eligible For Lunch","*"
"Ansonia School District","Prendergast School","=""0020811""","Eligible For Free Lunch",14.4
"Ansonia School District","Prendergast School","=""0020811""","Eligible For Reduced Lunch","*"
"Ansonia School District","Prendergast School","=""0020811""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Eligible For Free Lunch",45.1
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Free Lunch",17.0
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Eligible For Free Lunch",41.1
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Eligible For Free Lunch",74.7
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Not Eligible For Lunch",8.4
"Ashford School District","Ashford School","=""0030111""","Eligible For Free Lunch",16.9
"Ashford School District","Ashford School","=""0030111""","Eligible For Reduced Lunch",0.0
"Ashford School District","Ashford School","=""0030111""","Not Eligible For Lunch",4.6
"Avon School District","Avon High School","=""0046111""","Eligible For Free Lunch","*"
"Avon School District","Avon High School","=""0046111""","Eligible For Reduced Lunch","*"
"Avon School District","Avon High School","=""0046111""","Not Eligible For Lunch",3.7
"Avon School District","Avon Middle School","=""0045111""","Eligible For Free Lunch","*"
"Avon School District","Avon Middle School","=""0045111""","Eligible For Reduced Lunch","*"
"Avon School District","Avon Middle School","=""0045111""","Not Eligible For Lunch","*"
"Avon School District","Pine Grove School","=""0040411""","Eligible For Free Lunch","*"
"Avon School District","Pine Grove School","=""0040411""","Eligible For Reduced Lunch","*"
"Avon School District","Pine Grove School","=""0040411""","Not Eligible For Lunch",4.7
"Avon School District","Roaring Brook School","=""0040311""","Eligible For Free Lunch","*"
"Avon School District","Roaring Brook School","=""0040311""","Eligible For Reduced Lunch","*"
"Avon School District","Roaring Brook School","=""0040311""","Not Eligible For Lunch",4.0
"Avon School District","Thompson Brook School","=""0040511""","Eligible For Free Lunch","*"
