"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Gender"

"Organization","School","School Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Female",10.7
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Male",9.4
"Amistad Academy District","Amistad Academy","=""2795113""","Female",5.0
"Amistad Academy District","Amistad Academy","=""2795113""","Male",5.7
"Andover School District","Andover Elementary School","=""0010111""","Female","*"
"Andover School District","Andover Elementary School","=""0010111""","Male","*"
"Ansonia School District","Ansonia High School","=""0026111""","Female",16.8
"Ansonia School District","Ansonia High School","=""0026111""","Male",14.7
"Ansonia School District","Ansonia Middle School","=""0025111""","Female",13.0
"Ansonia School District","Ansonia Middle School","=""0025111""","Male",15.7
"Ansonia School District","Mead School","=""0020311""","Female",12.0
"Ansonia School District","Mead School","=""0020311""","Male",18.7
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","*"
"Ansonia School District","Prendergast School","=""0020811""","Female",9.7
"Ansonia School District","Prendergast School","=""0020811""","Male",8.3
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Female",40.0
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Male",33.1
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Female",10.8
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Male",9.6
"Area Cooperative Educational Services","Village School","=""2449514""","Female",24.4
"Area Cooperative Educational Services","Village School","=""2449514""","Male",23.2
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Female",42.1
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Male",41.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Female",75.0
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Male",73.6
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Female","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Male","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",8.8
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",7.9
"Ashford School District","Ashford School","=""0030111""","Female",5.1
"Ashford School District","Ashford School","=""0030111""","Male",5.3
"Avon School District","Avon High School","=""0046111""","Female",5.6
"Avon School District","Avon High School","=""0046111""","Male",4.9
"Avon School District","Avon Middle School","=""0045111""","Female","*"
"Avon School District","Avon Middle School","=""0045111""","Male","*"
"Avon School District","Pine Grove School","=""0040411""","Female",4.4
"Avon School District","Pine Grove School","=""0040411""","Male",3.0
"Avon School District","Roaring Brook School","=""0040311""","Female",4.5
"Avon School District","Roaring Brook School","=""0040311""","Male",8.1
"Avon School District","Thompson Brook School","=""0040511""","Female",2.2
"Avon School District","Thompson Brook School","=""0040511""","Male",3.9
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Female","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Male","*"
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","Female","*"
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","Male","*"
"Berlin School District","Berlin High School","=""0076111""","Female",7.1
"Berlin School District","Berlin High School","=""0076111""","Male",5.4
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Female",2.3
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Male",2.9
"Berlin School District","Emma Hart Willard School","=""0070411""","Female","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Male","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Female","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Male","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Female","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Male","*"
"Bethany School District","Bethany Community School","=""0080111""","Female",4.9
"Bethany School District","Bethany Community School","=""0080111""","Male",5.4
"Bethel School District","Anna H. Rockwell School","=""0090411""","Female","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Male","*"
"Bethel School District","Bethel High School","=""0096111""","Female",10.2
"Bethel School District","Bethel High School","=""0096111""","Male",9.3
"Bethel School District","Bethel Middle School","=""0095111""","Female",3.2
"Bethel School District","Bethel Middle School","=""0095111""","Male",4.4
"Bethel School District","Frank A. Berry School","=""0090111""","Female",0.0
"Bethel School District","Frank A. Berry School","=""0090111""","Male",4.1
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Female",13.7
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Male",14.2
"Bloomfield School District","Bloomfield High School","=""0116111""","Female",7.0
"Bloomfield School District","Bloomfield High School","=""0116111""","Male",10.6
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Female","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Male","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Female","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Male","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Female",14.3
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Male",14.6
"Bloomfield School District","Laurel School","=""0110611""","Female",5.9
"Bloomfield School District","Laurel School","=""0110611""","Male",13.8
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Female","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Male","*"
"Bloomfield School District","Metacomet School","=""0110511""","Female","*"
"Bloomfield School District","Metacomet School","=""0110511""","Male","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Female","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Male","*"
"Bloomfield School District","SAGE","=""3480415""","Male","*"
"Bolton School District","Bolton Center School","=""0120111""","Female","*"
"Bolton School District","Bolton Center School","=""0120111""","Male","*"
"Bolton School District","Bolton High School","=""0126111""","Female","*"
"Bolton School District","Bolton High School","=""0126111""","Male","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Female",23.1
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Male",18.0
"Bozrah School District","Fields Memorial School","=""0130111""","Female","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Male","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Female",80.0
"Branford School District","Branford High School Horizons Program","=""0140211""","Male",70.0
"Branford School District","Branford High School","=""0146111""","Female",13.1
"Branford School District","Branford High School","=""0146111""","Male",8.4
"Branford School District","Bridgeport Detention Center","=""3480115""","Female","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Female",5.7
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Male",8.7
"Branford School District","John B. Sliney School","=""0141611""","Female",4.9
"Branford School District","John B. Sliney School","=""0141611""","Male",3.4
"Branford School District","Mary R. Tisko School","=""0141511""","Female",5.1
"Branford School District","Mary R. Tisko School","=""0141511""","Male",6.0
"Branford School District","Mary T. Murphy School","=""0141411""","Female",10.9
"Branford School District","Mary T. Murphy School","=""0141411""","Male",8.5
"Brass City Charter School District","Brass City Charter School","=""2900113""","Female","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","Male","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Female",4.9
