"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, All Students"

"",,,"% Chronically Absent",,,,
"Organization","School","School Code","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""",8.1,3.4,6.1,10.6,10.1
"Amistad Academy District","Amistad Academy","=""2795113""",2.6,2.6,3.5,5.3,5.3
"Andover School District","Andover Elementary School","=""0010111""","*",3.8,"*","*","*"
"Ansonia School District","Ansonia Middle School","=""0025111""",16.1,14.9,13.8,17.0,14.4
"Ansonia School District","Mead School","=""0020311""",12.9,12.4,8.9,14.5,15.5
"Ansonia School District","Ansonia High School","=""0026111""",11.8,19.2,15.3,21.6,15.7
"Ansonia School District","Prendergast School","=""0020811""",10.3,11.0,8.2,9.4,9.0
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","N/A","N/A","N/A",80.6,75.8
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""",17.6,"*","*","*","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""",25.5,19.1,18.6,16.3,23.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""",69.6,72.3,71.3,72.0,74.0
"Area Cooperative Educational Services","Whitney High School East","=""2449214""",37.7,40.4,45.2,44.4,41.6
"Area Cooperative Educational Services","Village School","=""2449514""",29.1,31.4,33.8,32.9,23.5
"Area Cooperative Educational Services","Mill Road School","=""2449414""",39.0,39.9,41.2,38.3,34.2
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""",7.5,8.3,11.4,8.9,8.4
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""",10.8,11.6,13.5,13.4,10.2
"Ashford School District","Ashford School","=""0030111""",9.1,7.0,7.6,6.9,5.2
"Avon School District","Avon Middle School","=""0045111""",5.9,4.9,5.1,"*",3.3
"Avon School District","Roaring Brook School","=""0040311""",3.6,4.5,5.9,4.6,6.4
"Avon School District","Thompson Brook School","=""0040511""",5.1,6.2,4.9,4.5,3.1
"Avon School District","Pine Grove School","=""0040411""",5.4,5.8,5.0,0.0,3.7
"Avon School District","Avon High School","=""0046111""",2.9,4.2,3.7,4.7,5.2
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""",3.2,4.0,3.5,2.0,4.3
"Barkhamsted School District","Bridges at Barkhamsted Elementary School","=""0050211""","N/A","N/A","N/A","N/A","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""",2.9,3.4,3.6,2.6,3.5
"Berlin School District","Emma Hart Willard School","=""0070411""",2.9,3.7,2.6,2.0,3.4
"Berlin School District","Mary E. Griswold School","=""0070511""",3.1,2.3,1.4,1.7,"*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""",7.8,8.2,3.5,3.0,2.7
"Berlin School District","Berlin High School","=""0076111""",7.8,7.0,9.4,13.3,6.2
"Bethany School District","Bethany Community School","=""0080111""",3.2,5.6,4.9,5.0,5.2
"Bethel School District","Frank A. Berry School","=""0090111""",2.3,2.6,2.1,3.2,2.2
"Bethel School District","Anna H. Rockwell School","=""0090411""",6.1,5.3,3.8,5.5,4.0
"Bethel School District","Ralph M. T. Johnson School","=""0090511""",3.7,5.4,14.8,2.6,14.0
"Bethel School District","Bethel Middle School","=""0095111""",7.4,8.4,4.4,6.3,3.8
"Bethel School District","Bethel High School","=""0096111""",7.7,8.6,9.9,3.9,9.7
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""",6.2,10.2,22.5,15.7,11.7
"Bloomfield School District","The Big Picture High School","=""0116211""",7.1,"N/A","N/A","N/A","N/A"
"Bloomfield School District","Metacomet School","=""0110511""",4.0,3.0,2.7,4.8,5.0
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""",3.1,4.6,"*",5.7,4.4
"Bloomfield School District","Carmen Arace Middle School","=""0115211""",9.1,6.2,7.4,7.0,4.0
"Bloomfield School District","J. P. Vincent School","=""0110311""",7.5,"N/A","N/A","N/A","N/A"
"Bloomfield School District","Bloomfield High School","=""0116111""",10.1,8.3,8.0,10.2,9.0
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","N/A","*","*",68.2,"*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","N/A",14.0,10.7,10.6,14.4
"Bloomfield School District","Laurel School","=""0110611""","N/A",7.2,4.3,7.0,9.6
"Bloomfield School District","SAGE","=""3480415""","N/A","N/A","N/A","N/A","*"
"Bolton School District","Bolton High School","=""0126111""",3.0,3.1,4.5,5.3,2.3
"Bolton School District","Bolton Center School","=""0120111""",2.4,3.9,5.8,5.9,3.6
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","N/A","N/A","N/A",30.4,20.2
"Bozrah School District","Fields Memorial School","=""0130111""",5.3,8.4,7.4,3.2,5.5
"Branford School District","John B. Sliney School","=""0141611""",4.2,5.4,4.1,3.9,4.1
"Branford School District","Mary R. Tisko School","=""0141511""",4.2,4.9,4.7,2.2,5.6
"Branford School District","Mary T. Murphy School","=""0141411""",5.2,5.8,7.0,5.9,9.5
"Branford School District","Francis Walsh Intermediate School","=""0145111""",7.7,6.9,6.7,8.3,7.2
"Branford School District","Branford High School","=""0146111""",10.1,10.9,14.4,13.7,10.7
"Branford School District","Branford High School Horizons Program","=""0140211""","N/A","N/A","N/A",56.3,74.0
"Branford School District","Bridgeport Detention Center","=""3480115""","N/A","N/A","N/A","N/A","*"
"Brass City Charter School District","Brass City Charter School","=""2900113""","N/A","N/A",12.3,10.5,7.4
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""",1.4,2.5,2.9,3.2,4.7
"Bridgeport School District","Skane Center","=""0154411""","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","Park City Academy","=""0159211""",76.3,0.0,"N/A","N/A","N/A"
"Bridgeport School District","Make The Grade","=""0159511""",62.8,"N/A","N/A","N/A","N/A"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","*",31.8,19.4,29.2,31.0
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""",3.2,4.9,4.1,4.6,4.1
"Bridgeport School District","Edison School","=""0150711""",11.1,16.9,13.9,14.0,14.8
"Bridgeport School District","Black Rock School","=""0150311""",13.1,18.8,13.3,10.9,6.4
"Bridgeport School District","Hall School","=""0151111""",12.7,18.3,16.3,13.8,8.6
"Bridgeport School District","Classical Studies Academy","=""0152111""",6.0,10.5,2.8,4.4,4.4
"Bridgeport School District","Dunbar School","=""0154111""",27.6,25.4,30.4,28.7,26.6
"Bridgeport School District","Beardsley School","=""0150211""",18.5,16.1,17.9,17.7,14.2
"Bridgeport School District","Hallen School","=""0151211""",15.3,11.2,12.7,12.3,10.0
"Bridgeport School District","Bryant School","=""0150411""",16.7,21.5,17.2,14.0,14.0
"Bridgeport School District","Cross School","=""0153911""",27.3,27.5,25.7,28.2,30.4
"Bridgeport School District","Hooker School","=""0151311""",7.0,14.1,14.8,12.9,12.3
"Bridgeport School District","High Horizons Magnet School","=""0154511""",2.8,4.9,1.9,3.9,2.9
"Bridgeport School District","Longfellow School","=""0151911""",27.3,"N/A","N/A","N/A","N/A"
"Bridgeport School District","Roosevelt School","=""0152611""",29.5,26.7,28.5,25.0,17.5
"Bridgeport School District","Multicultural Magnet School","=""0154611""",2.1,2.4,1.8,"*","*"
"Bridgeport School District","Waltersville School","=""0153011""",18.1,25.3,26.4,19.7,22.1
"Bridgeport School District","Park City Magnet School","=""0151711""",3.3,4.7,5.5,5.7,4.0
"Bridgeport School District","Madison School","=""0152011""",11.0,14.7,14.9,12.0,10.0
"Bridgeport School District","Columbus School","=""0150511""",21.5,33.1,28.1,24.3,24.3
"Bridgeport School District","Barnum School","=""0150111""",22.5,23.9,26.0,21.7,24.7
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""",23.8,27.7,33.6,30.1,27.9
"Bridgeport School District","Curiale School","=""0154211""",22.8,28.4,29.1,27.0,19.7
"Bridgeport School District","Winthrop School","=""0153611""",9.3,9.1,6.8,4.8,4.5
"Bridgeport School District","Geraldine Johnson School","=""0153211""",8.5,10.0,7.2,8.8,3.6
"Bridgeport School District","Read School","=""0152511""",15.0,13.0,15.0,14.7,15.1
"Bridgeport School District","Luis Munoz Marin School","=""0151011""",26.0,29.2,27.2,25.8,24.5
"Bridgeport School District","Bassick High School","=""0156111""",38.9,39.4,41.4,42.9,42.2
"Bridgeport School District","Blackham School","=""0154011""",13.6,15.7,17.2,13.9,12.3
"Bridgeport School District","Cesar Batalla School","=""0151411""",15.6,17.6,16.7,14.0,12.3
"Bridgeport School District","Harding High School","=""0156311""",45.0,49.3,43.9,50.6,44.8
"Bridgeport School District","Central High School","=""0156211""",22.3,55.2,32.4,19.1,16.5
"Bridgeport School District","Pride Academy","=""0151811""","N/A","N/A",0.0,"N/A","N/A"
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","N/A","N/A",0.0,19.0,22.0
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","N/A","N/A",0.0,3.2,7.8
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N/A","N/A",12.0,4.1,11.3
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N/A","N/A",12.1,15.5,17.1
"Bridgeport School District","Opportunities for Self-Discovery Community Partnership","=""0152811""","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Career and Craftsmanship","=""0152711""","N/A","N/A","N/A","N/A",84.4
"Bristol School District","Community/Vocational Program","=""0179211""","*","*","*","*","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""",26.7,47.6,47.8,60.0,"*"
"Bristol School District","Mountain View School","=""0171711""",6.3,6.2,4.4,2.7,3.5
"Bristol School District","Greene-Hills School","=""0170511""",5.3,8.6,8.7,7.5,7.9
"Bristol School District","Clara T. O'Connell School","=""0170711""",17.3,"N/A","N/A","N/A","N/A"
"Bristol School District","John J. Jennings School","=""0170611""",5.8,"N/A","N/A","N/A","N/A"
"Bristol School District","Edgewood School","=""0170311""",9.6,8.4,7.8,8.1,1.8
"Bristol School District","Ivy Drive School","=""0171911""",6.5,6.3,7.3,4.9,4.3
"Bristol School District","Stafford School","=""0171211""",14.2,10.3,18.2,18.8,5.9
"Bristol School District","Ellen P. Hubbell School","=""0171411""",8.2,8.5,5.4,5.8,5.1
"Bristol School District","Memorial Boulevard Middle School","=""0175311""",7.2,"N/A","N/A","N/A","N/A"
"Bristol School District","South Side School","=""0171111""",8.6,5.2,8.8,8.7,5.6
"Bristol School District","Northeast Middle School","=""0175211""",6.6,5.2,7.0,6.0,3.4
"Bristol School District","Chippens Hill Middle School","=""0175111""",10.6,7.0,10.8,9.7,9.3
"Bristol School District","Bristol Central High School","=""0176111""",16.4,14.0,16.0,15.5,12.0
"Bristol School District","Bristol Eastern High School","=""0176211""",17.1,15.3,14.8,12.7,11.6
"Bristol School District","West Bristol School","=""0172011""","N/A",10.2,12.3,10.4,8.0
"Bristol School District","Greene-Hills GOAL","=""0170911""","N/A","N/A","N/A","*","*"
"Bristol School District","South Side Extended Resource","=""0173011""","N/A","N/A","N/A","*","*"
"Bristol School District","Northeast MS/Extended Resource","=""0172711""","N/A","N/A","N/A","*","*"
"Bristol School District","Hubbell/Extended Resource","=""0172111""","N/A","N/A","N/A","*","*"
