"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Kindergarten",15.7
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   1",6.6
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   2","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   3",7.8
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   4","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   5",19.0
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   6",8.3
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   7",14.3
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   8",13.6
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade   9","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade 11","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Grade 12","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Kindergarten","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   1","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   2","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   3","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   4","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   5",7.4
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   6",8.8
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   7",8.8
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   8","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade   9",9.2
"Amistad Academy District","Amistad Academy","=""2795113""","Grade 10","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade 11","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Grade 12","*"
"Andover School District","Andover Elementary School","=""0010111""","Kindergarten",0.0
"Andover School District","Andover Elementary School","=""0010111""","Grade   1",0.0
"Andover School District","Andover Elementary School","=""0010111""","Grade   2","*"
"Andover School District","Andover Elementary School","=""0010111""","Grade   3","*"
"Andover School District","Andover Elementary School","=""0010111""","Grade   4",0.0
"Andover School District","Andover Elementary School","=""0010111""","Grade   5","*"
"Andover School District","Andover Elementary School","=""0010111""","Grade   6","*"
"Ansonia School District","Mead School","=""0020311""","Kindergarten",18.6
"Ansonia School District","Mead School","=""0020311""","Grade   1",21.4
"Ansonia School District","Mead School","=""0020311""","Grade   2",14.3
"Ansonia School District","Mead School","=""0020311""","Grade   3",16.5
"Ansonia School District","Mead School","=""0020311""","Grade   4",9.3
"Ansonia School District","Mead School","=""0020311""","Grade   5",17.6
"Ansonia School District","Mead School","=""0020311""","Grade   6",11.0
"Ansonia School District","Prendergast School","=""0020811""","Kindergarten",15.0
"Ansonia School District","Prendergast School","=""0020811""","Grade   1",7.6
"Ansonia School District","Prendergast School","=""0020811""","Grade   2",12.0
"Ansonia School District","Prendergast School","=""0020811""","Grade   3","*"
"Ansonia School District","Prendergast School","=""0020811""","Grade   4",8.4
"Ansonia School District","Prendergast School","=""0020811""","Grade   5","*"
"Ansonia School District","Prendergast School","=""0020811""","Grade   6",9.3
"Ansonia School District","Ansonia Middle School","=""0025111""","Grade   7",16.5
"Ansonia School District","Ansonia Middle School","=""0025111""","Grade   8",12.6
"Ansonia School District","Ansonia High School","=""0026111""","Grade   9",13.9
"Ansonia School District","Ansonia High School","=""0026111""","Grade 10",14.0
"Ansonia School District","Ansonia High School","=""0026111""","Grade 11",14.4
"Ansonia School District","Ansonia High School","=""0026111""","Grade 12",22.0
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade   9","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 10","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 11","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade 12","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Kindergarten","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   1","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   2","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   3","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   4",27.3
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   5",48.3
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   6",39.1
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   7",55.2
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Grade   8",44.4
"Area Cooperative Educational Services","Village School","=""2449514""","Kindergarten","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   1","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   2","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   3","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   4","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   5","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   6","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   7","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Grade   8",30.8
"Area Cooperative Educational Services","Village School","=""2449514""","Grade 10","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Kindergarten",12.7
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   1","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   2",8.6
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   3","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   4",8.5
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   5",11.0
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   6",9.7
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   7","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Grade   8",10.4
