"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, English Learner Status"

"Organization","School","School Code","English Learner Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","ELL","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Non-ELL","*"
"Amistad Academy District","Amistad Academy","=""2795113""","ELL","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Non-ELL","*"
"Andover School District","Andover Elementary School","=""0010111""","ELL","*"
"Andover School District","Andover Elementary School","=""0010111""","Non-ELL","*"
"Ansonia School District","Ansonia High School","=""0026111""","ELL","*"
"Ansonia School District","Ansonia High School","=""0026111""","Non-ELL","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","ELL","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Non-ELL","*"
"Ansonia School District","Mead School","=""0020311""","ELL",25.9
"Ansonia School District","Mead School","=""0020311""","Non-ELL",12.3
"Ansonia School District","Prendergast School","=""0020811""","ELL","*"
"Ansonia School District","Prendergast School","=""0020811""","Non-ELL","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","ELL","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Non-ELL","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","ELL","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Non-ELL","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Non-ELL",17.6
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Non-ELL",39.0
"Area Cooperative Educational Services","Village School","=""2449514""","Non-ELL",29.1
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Non-ELL",37.7
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Non-ELL",69.6
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Non-ELL",25.5
"Ashford School District","Ashford School","=""0030111""","ELL","*"
"Ashford School District","Ashford School","=""0030111""","Non-ELL","*"
"Avon School District","Avon High School","=""0046111""","ELL","*"
"Avon School District","Avon High School","=""0046111""","Non-ELL","*"
"Avon School District","Avon Middle School","=""0045111""","ELL","*"
"Avon School District","Avon Middle School","=""0045111""","Non-ELL","*"
"Avon School District","Pine Grove School","=""0040411""","ELL","*"
"Avon School District","Pine Grove School","=""0040411""","Non-ELL","*"
"Avon School District","Roaring Brook School","=""0040311""","ELL","*"
"Avon School District","Roaring Brook School","=""0040311""","Non-ELL","*"
"Avon School District","Thompson Brook School","=""0040511""","ELL","*"
"Avon School District","Thompson Brook School","=""0040511""","Non-ELL","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","ELL","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Non-ELL","*"
"Berlin School District","Berlin High School","=""0076111""","ELL","*"
"Berlin School District","Berlin High School","=""0076111""","Non-ELL","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","ELL","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Non-ELL","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","ELL","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Non-ELL","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","ELL","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Non-ELL","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","ELL","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Non-ELL","*"
"Bethany School District","Bethany Community School","=""0080111""","ELL","*"
"Bethany School District","Bethany Community School","=""0080111""","Non-ELL","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","ELL",19.4
"Bethel School District","Anna H. Rockwell School","=""0090411""","Non-ELL",5.0
"Bethel School District","Bethel High School","=""0096111""","ELL","*"
"Bethel School District","Bethel High School","=""0096111""","Non-ELL","*"
"Bethel School District","Bethel Middle School","=""0095111""","ELL","*"
"Bethel School District","Bethel Middle School","=""0095111""","Non-ELL","*"
"Bethel School District","Frank A. Berry School","=""0090111""","ELL","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Non-ELL","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","ELL","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Non-ELL","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","ELL","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Non-ELL","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","ELL","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Non-ELL","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","ELL","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Non-ELL","*"
"Bloomfield School District","J. P. Vincent School","=""0110311""","ELL","*"
"Bloomfield School District","J. P. Vincent School","=""0110311""","Non-ELL","*"
"Bloomfield School District","Metacomet School","=""0110511""","ELL","*"
"Bloomfield School District","Metacomet School","=""0110511""","Non-ELL","*"
"Bloomfield School District","The Big Picture High School","=""0116211""","Non-ELL",7.1
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Non-ELL",6.2
"Bolton School District","Bolton Center School","=""0120111""","ELL","*"
"Bolton School District","Bolton Center School","=""0120111""","Non-ELL","*"
"Bolton School District","Bolton High School","=""0126111""","Non-ELL",3.0
"Bozrah School District","Fields Memorial School","=""0130111""","Non-ELL",5.3
"Branford School District","Branford High School","=""0146111""","ELL","*"
"Branford School District","Branford High School","=""0146111""","Non-ELL","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","ELL","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Non-ELL","*"
"Branford School District","John B. Sliney School","=""0141611""","ELL","*"
"Branford School District","John B. Sliney School","=""0141611""","Non-ELL","*"
"Branford School District","Mary R. Tisko School","=""0141511""","ELL","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Non-ELL","*"
"Branford School District","Mary T. Murphy School","=""0141411""","ELL","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Non-ELL","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","ELL","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""","Non-ELL","*"
"Bridgeport School District","Barnum School","=""0150111""","ELL",20.7
"Bridgeport School District","Barnum School","=""0150111""","Non-ELL",22.8
"Bridgeport School District","Bassick High School","=""0156111""","ELL",35.3
"Bridgeport School District","Bassick High School","=""0156111""","Non-ELL",39.7
"Bridgeport School District","Beardsley School","=""0150211""","ELL",13.3
"Bridgeport School District","Beardsley School","=""0150211""","Non-ELL",19.3
"Bridgeport School District","Black Rock School","=""0150311""","ELL","*"
"Bridgeport School District","Black Rock School","=""0150311""","Non-ELL",14.6
"Bridgeport School District","Blackham School","=""0154011""","ELL",13.0
"Bridgeport School District","Blackham School","=""0154011""","Non-ELL",13.7
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","ELL","*"
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","Non-ELL","*"
"Bridgeport School District","Bryant School","=""0150411""","ELL",6.5
"Bridgeport School District","Bryant School","=""0150411""","Non-ELL",19.9
"Bridgeport School District","Central High School","=""0156211""","ELL",27.1
"Bridgeport School District","Central High School","=""0156211""","Non-ELL",21.9
"Bridgeport School District","Cesar Batalla School","=""0151411""","ELL",13.5
"Bridgeport School District","Cesar Batalla School","=""0151411""","Non-ELL",16.9
"Bridgeport School District","Classical Studies Academy","=""0152111""","ELL","*"
"Bridgeport School District","Classical Studies Academy","=""0152111""","Non-ELL","*"
"Bridgeport School District","Columbus School","=""0150511""","ELL",15.3
"Bridgeport School District","Columbus School","=""0150511""","Non-ELL",23.8
"Bridgeport School District","Cross School","=""0153911""","ELL","*"
"Bridgeport School District","Cross School","=""0153911""","Non-ELL","*"
"Bridgeport School District","Curiale School","=""0154211""","ELL",24.5
"Bridgeport School District","Curiale School","=""0154211""","Non-ELL",22.5
"Bridgeport School District","Dunbar School","=""0154111""","ELL","*"
"Bridgeport School District","Dunbar School","=""0154111""","Non-ELL","*"
"Bridgeport School District","Edison School","=""0150711""","ELL","*"
"Bridgeport School District","Edison School","=""0150711""","Non-ELL","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","ELL","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Non-ELL","*"
"Bridgeport School District","Hall School","=""0151111""","ELL","*"
"Bridgeport School District","Hall School","=""0151111""","Non-ELL","*"
"Bridgeport School District","Hallen School","=""0151211""","ELL","*"
"Bridgeport School District","Hallen School","=""0151211""","Non-ELL","*"
"Bridgeport School District","Harding High School","=""0156311""","ELL",48.2
"Bridgeport School District","Harding High School","=""0156311""","Non-ELL",44.2
"Bridgeport School District","High Horizons Magnet School","=""0154511""","ELL","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Non-ELL","*"
"Bridgeport School District","Hooker School","=""0151311""","ELL","*"
"Bridgeport School District","Hooker School","=""0151311""","Non-ELL","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","ELL","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Non-ELL","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","ELL","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Non-ELL","*"
"Bridgeport School District","Longfellow School","=""0151911""","ELL",23.5
"Bridgeport School District","Longfellow School","=""0151911""","Non-ELL",27.8
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","ELL",23.2
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Non-ELL",27.1
"Bridgeport School District","Madison School","=""0152011""","ELL","*"
"Bridgeport School District","Madison School","=""0152011""","Non-ELL","*"
"Bridgeport School District","Make The Grade","=""0159511""","ELL","*"
"Bridgeport School District","Make The Grade","=""0159511""","Non-ELL","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","ELL","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Non-ELL","*"
"Bridgeport School District","Park City Academy","=""0159211""","ELL","*"
"Bridgeport School District","Park City Academy","=""0159211""","Non-ELL","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","ELL","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Non-ELL","*"
"Bridgeport School District","Read School","=""0152511""","ELL","*"
"Bridgeport School District","Read School","=""0152511""","Non-ELL","*"
"Bridgeport School District","Roosevelt School","=""0152611""","ELL",37.3
