"Chronic Absenteeism, 2014-15"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""",10.6
"Amistad Academy District","Amistad Academy","=""2795113""",5.3
"Andover School District","Andover Elementary School","=""0010111""","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""",80.6
"Ansonia School District","Ansonia Middle School","=""0025111""",17.0
"Ansonia School District","Ansonia High School","=""0026111""",21.6
"Ansonia School District","Mead School","=""0020311""",14.5
"Ansonia School District","Prendergast School","=""0020811""",9.4
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""",16.3
"Area Cooperative Educational Services","Whitney High School North","=""2449114""",72.0
"Area Cooperative Educational Services","Whitney High School East","=""2449214""",44.4
"Area Cooperative Educational Services","Village School","=""2449514""",32.9
"Area Cooperative Educational Services","Mill Road School","=""2449414""",38.3
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""",8.9
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""",13.4
"Ashford School District","Ashford School","=""0030111""",6.9
"Avon School District","Roaring Brook School","=""0040311""",4.6
"Avon School District","Avon Middle School","=""0045111""","*"
"Avon School District","Thompson Brook School","=""0040511""",4.5
"Avon School District","Pine Grove School","=""0040411""",0.0
"Avon School District","Avon High School","=""0046111""",4.7
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""",2.0
"Berlin School District","Richard D. Hubbard School","=""0070111""",2.6
"Berlin School District","Emma Hart Willard School","=""0070411""",2.0
"Berlin School District","Mary E. Griswold School","=""0070511""",1.7
"Berlin School District","Catherine M. McGee Middle School","=""0075111""",3.0
"Berlin School District","Berlin High School","=""0076111""",13.3
"Bethany School District","Bethany Community School","=""0080111""",5.0
"Bethel School District","Ralph M. T. Johnson School","=""0090511""",2.6
"Bethel School District","Anna H. Rockwell School","=""0090411""",5.5
"Bethel School District","Frank A. Berry School","=""0090111""",3.2
"Bethel School District","Bethel Middle School","=""0095111""",6.3
"Bethel School District","Bethel High School","=""0096111""",3.9
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""",68.2
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""",15.7
"Bloomfield School District","Global Experience Magnet School","=""0116311""",10.6
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""",5.7
"Bloomfield School District","Carmen Arace Middle School","=""0115211""",7.0
"Bloomfield School District","Metacomet School","=""0110511""",4.8
"Bloomfield School District","Laurel School","=""0110611""",7.0
"Bloomfield School District","Bloomfield High School","=""0116111""",10.2
"Bolton School District","Bolton High School","=""0126111""",5.3
"Bolton School District","Bolton Center School","=""0120111""",5.9
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""",30.4
"Bozrah School District","Fields Memorial School","=""0130111""",3.2
"Branford School District","Branford High School Horizons Program","=""0140211""",56.3
"Branford School District","John B. Sliney School","=""0141611""",3.9
"Branford School District","Mary R. Tisko School","=""0141511""",2.2
"Branford School District","Mary T. Murphy School","=""0141411""",5.9
"Branford School District","Branford High School","=""0146111""",13.7
"Branford School District","Francis Walsh Intermediate School","=""0145111""",8.3
"Brass City Charter School District","Brass City Charter School","=""2900113""",10.5
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""",3.2
"Bridgeport School District","Bridgeport Learning Center","=""0159011""",29.2
"Bridgeport School District","Bridgeport Military Academy","=""0151611""",19.0
"Bridgeport School District","Hall School","=""0151111""",13.8
"Bridgeport School District","Edison School","=""0150711""",14.0
"Bridgeport School District","Hallen School","=""0151211""",12.3
"Bridgeport School District","Beardsley School","=""0150211""",17.7
"Bridgeport School District","Bryant School","=""0150411""",14.0
"Bridgeport School District","Dunbar School","=""0154111""",28.7
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",3.2
