"Chronic Absenteeism, 2011-12"
"State of Connecticut, Grade"

"Organization","Grade","% Chronically Absent"
"State of Connecticut","Kindergarten",11.8
"State of Connecticut","Grade   1",8.4
"State of Connecticut","Grade   2",6.9
"State of Connecticut","Grade   3",6.2
"State of Connecticut","Grade   4",6.1
"State of Connecticut","Grade   5",7.0
"State of Connecticut","Grade   6",8.3
"State of Connecticut","Grade   7",10.6
"State of Connecticut","Grade   8",12.3
"State of Connecticut","Grade   9",15.0
"State of Connecticut","Grade 10",14.5
"State of Connecticut","Grade 11",16.2
"State of Connecticut","Grade 12",19.4

