"Chronic Absenteeism, 2014-15"
", All Schools, Free/Reduced Price Meal Eligibility"

"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Eligible For Free Lunch","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Not Eligible For Lunch","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",6.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Not Eligible For Lunch","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",27.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",16.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",14.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Free Lunch",21.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Free Lunch",20.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Free Lunch",80.0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Reduced Lunch","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Free Lunch",14.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Free Lunch",44.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Reduced Lunch","*"
