"Chronic Absenteeism, 2014-15"
"State of Connecticut, All Schools, Free/Reduced Price Meal Eligibility"

"Organization","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Eligible For Free Lunch","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Not Eligible For Lunch","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Eligible For Free Lunch",6.7
"Amistad Academy District","Amistad Academy","=""2795113""","Not Eligible For Lunch","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*"
"Andover School District","Andover Elementary School","=""0010111""","Eligible For Free Lunch","*"
"Andover School District","Andover Elementary School","=""0010111""","Not Eligible For Lunch","*"
"Andover School District","Andover Elementary School","=""0010111""","Eligible For Reduced Lunch","*"
"Ansonia School District","Ansonia High School","=""0026111""","Eligible For Free Lunch",27.7
"Ansonia School District","Ansonia High School","=""0026111""","Not Eligible For Lunch",16.0
"Ansonia School District","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",14.3
"Ansonia School District","Ansonia Middle School","=""0025111""","Eligible For Free Lunch",21.1
"Ansonia School District","Ansonia Middle School","=""0025111""","Not Eligible For Lunch","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Eligible For Reduced Lunch","*"
"Ansonia School District","Mead School","=""0020311""","Eligible For Free Lunch",20.2
"Ansonia School District","Mead School","=""0020311""","Not Eligible For Lunch","*"
"Ansonia School District","Mead School","=""0020311""","Eligible For Reduced Lunch","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Free Lunch",80.0
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Not Eligible For Lunch","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Reduced Lunch","*"
"Ansonia School District","Prendergast School","=""0020811""","Eligible For Free Lunch",14.3
"Ansonia School District","Prendergast School","=""0020811""","Not Eligible For Lunch","*"
"Ansonia School District","Prendergast School","=""0020811""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Eligible For Free Lunch",44.3
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Free Lunch",19.6
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Village School","=""2449514""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Eligible For Free Lunch",50.0
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Whitney High School East","=""2449214""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Eligible For Free Lunch",77.6
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Whitney High School North","=""2449114""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Eligible For Free Lunch","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Not Eligible For Lunch","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""","Eligible For Reduced Lunch","*"
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Free Lunch",13.3
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Not Eligible For Lunch",5.2
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Reduced Lunch",12.7
"Ashford School District","Ashford School","=""0030111""","Eligible For Free Lunch","*"
"Ashford School District","Ashford School","=""0030111""","Not Eligible For Lunch",5.5
"Ashford School District","Ashford School","=""0030111""","Eligible For Reduced Lunch","*"
"Avon School District","Avon High School","=""0046111""","Eligible For Free Lunch","*"
"Avon School District","Avon High School","=""0046111""","Not Eligible For Lunch",4.0
"Avon School District","Avon High School","=""0046111""","Eligible For Reduced Lunch","*"
"Avon School District","Avon Middle School","=""0045111""","Eligible For Free Lunch","*"
"Avon School District","Avon Middle School","=""0045111""","Not Eligible For Lunch","*"
"Avon School District","Avon Middle School","=""0045111""","Eligible For Reduced Lunch","*"
"Avon School District","Pine Grove School","=""0040411""","Eligible For Free Lunch",0.0
"Avon School District","Pine Grove School","=""0040411""","Not Eligible For Lunch",0.0
"Avon School District","Roaring Brook School","=""0040311""","Eligible For Free Lunch","*"
"Avon School District","Roaring Brook School","=""0040311""","Not Eligible For Lunch",3.5
"Avon School District","Roaring Brook School","=""0040311""","Eligible For Reduced Lunch","*"
"Avon School District","Thompson Brook School","=""0040511""","Eligible For Free Lunch","*"
"Avon School District","Thompson Brook School","=""0040511""","Not Eligible For Lunch",4.7
"Avon School District","Thompson Brook School","=""0040511""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Eligible For Free Lunch","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Not Eligible For Lunch","*"
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""","Eligible For Reduced Lunch","*"
"Berlin School District","Berlin High School","=""0076111""","Eligible For Free Lunch","*"
"Berlin School District","Berlin High School","=""0076111""","Not Eligible For Lunch",8.4
"Berlin School District","Berlin High School","=""0076111""","Eligible For Reduced Lunch","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Eligible For Free Lunch","*"
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Not Eligible For Lunch",1.8
"Berlin School District","Catherine M. McGee Middle School","=""0075111""","Eligible For Reduced Lunch","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Eligible For Free Lunch","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Not Eligible For Lunch","*"
"Berlin School District","Emma Hart Willard School","=""0070411""","Eligible For Reduced Lunch","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Eligible For Free Lunch","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Not Eligible For Lunch","*"
"Berlin School District","Mary E. Griswold School","=""0070511""","Eligible For Reduced Lunch","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Eligible For Free Lunch","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Not Eligible For Lunch","*"
"Berlin School District","Richard D. Hubbard School","=""0070111""","Eligible For Reduced Lunch","*"
"Bethany School District","Bethany Community School","=""0080111""","Eligible For Free Lunch","*"
"Bethany School District","Bethany Community School","=""0080111""","Not Eligible For Lunch","*"
"Bethany School District","Bethany Community School","=""0080111""","Eligible For Reduced Lunch","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Eligible For Free Lunch","*"
"Bethel School District","Anna H. Rockwell School","=""0090411""","Not Eligible For Lunch",3.4
"Bethel School District","Anna H. Rockwell School","=""0090411""","Eligible For Reduced Lunch","*"
"Bethel School District","Bethel High School","=""0096111""","Eligible For Free Lunch","*"
"Bethel School District","Bethel High School","=""0096111""","Not Eligible For Lunch",3.4
"Bethel School District","Bethel High School","=""0096111""","Eligible For Reduced Lunch","*"
"Bethel School District","Bethel Middle School","=""0095111""","Eligible For Free Lunch","*"
"Bethel School District","Bethel Middle School","=""0095111""","Not Eligible For Lunch",4.5
"Bethel School District","Bethel Middle School","=""0095111""","Eligible For Reduced Lunch","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Eligible For Free Lunch","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Not Eligible For Lunch","*"
"Bethel School District","Frank A. Berry School","=""0090111""","Eligible For Reduced Lunch","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Eligible For Free Lunch","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Not Eligible For Lunch","*"
"Bethel School District","Ralph M. T. Johnson School","=""0090511""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Eligible For Free Lunch",17.6
"Bloomfield School District","Bloomfield High School","=""0116111""","Not Eligible For Lunch","*"
"Bloomfield School District","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Eligible For Free Lunch",6.9
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Not Eligible For Lunch","*"
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Eligible For Free Lunch",10.7
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Not Eligible For Lunch","*"
"Bloomfield School District","Carmen Arace Middle School","=""0115211""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Eligible For Free Lunch","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Not Eligible For Lunch","*"
"Bloomfield School District","Global Experience Magnet School","=""0116311""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Laurel School","=""0110611""","Eligible For Free Lunch",9.6
"Bloomfield School District","Laurel School","=""0110611""","Not Eligible For Lunch","*"
"Bloomfield School District","Laurel School","=""0110611""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Eligible For Free Lunch","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Not Eligible For Lunch","*"
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Metacomet School","=""0110511""","Eligible For Free Lunch","*"
"Bloomfield School District","Metacomet School","=""0110511""","Not Eligible For Lunch","*"
"Bloomfield School District","Metacomet School","=""0110511""","Eligible For Reduced Lunch","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Free Lunch","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Not Eligible For Lunch","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Reduced Lunch","*"
"Bolton School District","Bolton Center School","=""0120111""","Eligible For Free Lunch","*"
"Bolton School District","Bolton Center School","=""0120111""","Not Eligible For Lunch","*"
"Bolton School District","Bolton Center School","=""0120111""","Eligible For Reduced Lunch","*"
"Bolton School District","Bolton High School","=""0126111""","Eligible For Free Lunch","*"
"Bolton School District","Bolton High School","=""0126111""","Not Eligible For Lunch","*"
"Bolton School District","Bolton High School","=""0126111""","Eligible For Reduced Lunch","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Eligible For Free Lunch",31.9
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Not Eligible For Lunch","*"
"Booker T. Washington Academy District","Booker T. Washington Academy","=""2950113""","Eligible For Reduced Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Eligible For Free Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Not Eligible For Lunch","*"
"Bozrah School District","Fields Memorial School","=""0130111""","Eligible For Reduced Lunch","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Eligible For Free Lunch",58.6
"Branford School District","Branford High School Horizons Program","=""0140211""","Not Eligible For Lunch","*"
"Branford School District","Branford High School Horizons Program","=""0140211""","Eligible For Reduced Lunch","*"
"Branford School District","Branford High School","=""0146111""","Eligible For Free Lunch","*"
"Branford School District","Branford High School","=""0146111""","Not Eligible For Lunch",13.2
"Branford School District","Branford High School","=""0146111""","Eligible For Reduced Lunch","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Eligible For Free Lunch","*"
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Not Eligible For Lunch",5.7
"Branford School District","Francis Walsh Intermediate School","=""0145111""","Eligible For Reduced Lunch","*"
"Branford School District","John B. Sliney School","=""0141611""","Eligible For Free Lunch","*"
"Branford School District","John B. Sliney School","=""0141611""","Not Eligible For Lunch",3.2
"Branford School District","John B. Sliney School","=""0141611""","Eligible For Reduced Lunch","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Eligible For Free Lunch","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Not Eligible For Lunch","*"
"Branford School District","Mary R. Tisko School","=""0141511""","Eligible For Reduced Lunch","*"
"Branford School District","Mary T. Murphy School","=""0141411""","Eligible For Free Lunch",11.1
"Branford School District","Mary T. Murphy School","=""0141411""","Not Eligible For Lunch","*"
