"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Asian","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",5.9
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",7.8
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races","*"
"Amistad Academy District","Amistad Academy","=""2795113""","American Indian or Alaska Native","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Black or African American","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Hispanic/Latino of any race",4.5
"Amistad Academy District","Amistad Academy","=""2795113""","Two or More Races","*"
"Amistad Academy District","Amistad Academy","=""2795113""","White","*"
"Andover School District","Andover Elementary School","=""0010111""","Asian","*"
"Andover School District","Andover Elementary School","=""0010111""","Black or African American","*"
"Andover School District","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","*"
"Andover School District","Andover Elementary School","=""0010111""","Two or More Races","*"
"Andover School District","Andover Elementary School","=""0010111""","White","*"
"Ansonia School District","Ansonia High School","=""0026111""","American Indian or Alaska Native","*"
"Ansonia School District","Ansonia High School","=""0026111""","Asian","*"
"Ansonia School District","Ansonia High School","=""0026111""","Black or African American",22.5
"Ansonia School District","Ansonia High School","=""0026111""","Hispanic/Latino of any race",18.2
"Ansonia School District","Ansonia High School","=""0026111""","Native Hawaiian or Other Pacific Islander","*"
"Ansonia School District","Ansonia High School","=""0026111""","Two or More Races","*"
