"Chronic Absenteeism, 2012-13"
", All Schools, Grade"

"District","District Code","School","School Code","Grade","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Kindergarten","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   1","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   2","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   3","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   4",0.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   5","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   6","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   7",8.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   8","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade   9","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Kindergarten","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   1","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   2","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   3","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   4",0.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   5","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   6","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   7","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   8","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade   9","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 11","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 12",0.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Kindergarten","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   1","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   2","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   3","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   4","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   5","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade   6","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade   9",15.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10",18.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 11",28.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 12",16.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade   7",12.8
