"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Non-Special Education",7.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Special Education",18.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-Special Education","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Special Education","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",10.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",20.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Non-Special Education",15.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Special Education",20.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Non-Special Education",11.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Special Education",24.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Non-Special Education",9.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Special Education",14.6
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Special Education",17.6
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Non-Special Education","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Special Education","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Non-Special Education",10.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Special Education",12.3
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Special Education",29.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Special Education",37.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Special Education",69.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Special Education",25.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Non-Special Education",7.2
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Special Education",10.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Non-Special Education",8.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Special Education",16.7
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",2.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",6.7
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Non-Special Education",5.4
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Special Education",9.1
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Non-Special Education","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Special Education","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Non-Special Education","*"
