"Chronic Absenteeism, 2012-13"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""",3.4
"Amistad Academy District","Amistad Academy","=""2795113""",2.6
"Andover School District","Andover Elementary School","=""0010111""",3.8
"Ansonia School District","Ansonia Middle School","=""0025111""",14.9
"Ansonia School District","Mead School","=""0020311""",12.4
"Ansonia School District","Ansonia High School","=""0026111""",19.2
"Ansonia School District","Prendergast School","=""0020811""",11.0
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""","*"
"Area Cooperative Educational Services","Whitney High School West","=""2449314""",19.1
"Area Cooperative Educational Services","Whitney High School North","=""2449114""",72.3
"Area Cooperative Educational Services","Whitney High School East","=""2449214""",40.4
"Area Cooperative Educational Services","Village School","=""2449514""",31.4
"Area Cooperative Educational Services","Mill Road School","=""2449414""",39.9
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""",8.3
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""",11.6
"Ashford School District","Ashford School","=""0030111""",7.0
"Avon School District","Thompson Brook School","=""0040511""",6.2
"Avon School District","Pine Grove School","=""0040411""",5.8
"Avon School District","Roaring Brook School","=""0040311""",4.5
"Avon School District","Avon Middle School","=""0045111""",4.9
"Avon School District","Avon High School","=""0046111""",4.2
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""",4.0
"Berlin School District","Richard D. Hubbard School","=""0070111""",3.4
"Berlin School District","Emma Hart Willard School","=""0070411""",3.7
"Berlin School District","Mary E. Griswold School","=""0070511""",2.3
"Berlin School District","Catherine M. McGee Middle School","=""0075111""",8.2
"Berlin School District","Berlin High School","=""0076111""",7.0
"Bethany School District","Bethany Community School","=""0080111""",5.6
"Bethel School District","Frank A. Berry School","=""0090111""",2.6
"Bethel School District","Anna H. Rockwell School","=""0090411""",5.3
"Bethel School District","Ralph M. T. Johnson School","=""0090511""",5.4
"Bethel School District","Bethel Middle School","=""0095111""",8.4
"Bethel School District","Bethel High School","=""0096111""",8.6
"Bloomfield School District","Learning Academy at Bloomfield","=""0116411""","*"
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""",10.2
"Bloomfield School District","Global Experience Magnet School","=""0116311""",14.0
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""",4.6
"Bloomfield School District","Metacomet School","=""0110511""",3.0
"Bloomfield School District","Carmen Arace Middle School","=""0115211""",6.2
"Bloomfield School District","Laurel School","=""0110611""",7.2
"Bloomfield School District","Bloomfield High School","=""0116111""",8.3
"Bolton School District","Bolton High School","=""0126111""",3.1
"Bolton School District","Bolton Center School","=""0120111""",3.9
"Bozrah School District","Fields Memorial School","=""0130111""",8.4
"Branford School District","John B. Sliney School","=""0141611""",5.4
"Branford School District","Mary R. Tisko School","=""0141511""",4.9
"Branford School District","Mary T. Murphy School","=""0141411""",5.8
"Branford School District","Francis Walsh Intermediate School","=""0145111""",6.9
"Branford School District","Branford High School","=""0146111""",10.9
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""",2.5
"Bridgeport School District","Park City Academy","=""0159211""",0.0
"Bridgeport School District","Bridgeport Learning Center","=""0159011""",31.8
"Bridgeport School District","Edison School","=""0150711""",16.9
"Bridgeport School District","Hall School","=""0151111""",18.3
"Bridgeport School District","Hallen School","=""0151211""",11.2
"Bridgeport School District","Classical Studies Academy","=""0152111""",10.5
"Bridgeport School District","Beardsley School","=""0150211""",16.1
"Bridgeport School District","Dunbar School","=""0154111""",25.4
"Bridgeport School District","Black Rock School","=""0150311""",18.8
"Bridgeport School District","Bryant School","=""0150411""",21.5
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""",4.9
"Bridgeport School District","Hooker School","=""0151311""",14.1
"Bridgeport School District","Cross School","=""0153911""",27.5
"Bridgeport School District","High Horizons Magnet School","=""0154511""",4.9
"Bridgeport School District","Multicultural Magnet School","=""0154611""",2.4
"Bridgeport School District","Park City Magnet School","=""0151711""",4.7
"Bridgeport School District","Waltersville School","=""0153011""",25.3
"Bridgeport School District","Madison School","=""0152011""",14.7
"Bridgeport School District","Roosevelt School","=""0152611""",26.7
"Bridgeport School District","Barnum School","=""0150111""",23.9
