"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, Race/Ethnicity"

"",,,,"% Chronically Absent",,,,
"Organization","School","School Code","Race/Ethnicity","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Asian","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",8.0,2.9,5.9,8.9,7.8
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",9.1,"*",7.8,16.9,17.4
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""","White","N/A","N/A","N/A","*","*"
"Amistad Academy District","Amistad Academy","=""2795113""","American Indian or Alaska Native","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","=""2795113""","Black or African American",2.9,"*","*",4.0,4.5
"Amistad Academy District","Amistad Academy","=""2795113""","Hispanic/Latino of any race",2.4,3.5,4.5,7.2,"*"
"Amistad Academy District","Amistad Academy","=""2795113""","Two or More Races","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","=""2795113""","White","*","*","*","*","*"
"Andover School District","Andover Elementary School","=""0010111""","Asian","*","*","*","*","*"
"Andover School District","Andover Elementary School","=""0010111""","Black or African American","*","*","*","*","*"
"Andover School District","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","*","*","*","*","*"
"Andover School District","Andover Elementary School","=""0010111""","Two or More Races","*","*","*","*","*"
"Andover School District","Andover Elementary School","=""0010111""","White","*","*","*","*","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","American Indian or Alaska Native","*","N/A","*","*","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Asian","*","*","*","*","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Black or African American",19.0,18.6,"*","*","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Hispanic/Latino of any race",16.1,11.1,16.8,18.0,12.1
"Ansonia School District","Ansonia Middle School","=""0025111""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","Two or More Races","N/A","*","*","*","*"
"Ansonia School District","Ansonia Middle School","=""0025111""","White",15.3,16.3,12.4,15.7,14.2
"Ansonia School District","Mead School","=""0020311""","American Indian or Alaska Native","*","*","*","*","*"
"Ansonia School District","Mead School","=""0020311""","Asian","*","*","*","*","*"
"Ansonia School District","Mead School","=""0020311""","Black or African American",13.2,7.5,"*","*",15.0
"Ansonia School District","Mead School","=""0020311""","Hispanic/Latino of any race",17.8,19.1,12.5,16.4,16.5
"Ansonia School District","Mead School","=""0020311""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","Mead School","=""0020311""","Two or More Races","*","*","*","*","*"
"Ansonia School District","Mead School","=""0020311""","White",9.5,10.0,7.1,11.5,15.3
"Ansonia School District","Prendergast School","=""0020811""","American Indian or Alaska Native","*","*","*","*","N/A"
"Ansonia School District","Prendergast School","=""0020811""","Asian","*","*","*","*","*"
"Ansonia School District","Prendergast School","=""0020811""","Black or African American",16.3,20.0,"*","*",15.2
"Ansonia School District","Prendergast School","=""0020811""","Hispanic/Latino of any race","*",10.6,11.1,9.6,7.9
"Ansonia School District","Prendergast School","=""0020811""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","Prendergast School","=""0020811""","Two or More Races","*","*","*","*","*"
"Ansonia School District","Prendergast School","=""0020811""","White",8.0,7.6,6.8,8.8,7.3
"Ansonia School District","Ansonia High School","=""0026111""","American Indian or Alaska Native","N/A","*","*","*","*"
"Ansonia School District","Ansonia High School","=""0026111""","Asian","*","*","*","*","*"
"Ansonia School District","Ansonia High School","=""0026111""","Black or African American",18.4,23.6,22.5,"*",18.2
"Ansonia School District","Ansonia High School","=""0026111""","Hispanic/Latino of any race","*","*",18.2,23.8,20.5
"Ansonia School District","Ansonia High School","=""0026111""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Ansonia School District","Ansonia High School","=""0026111""","Two or More Races","N/A","*","*","*","*"
"Ansonia School District","Ansonia High School","=""0026111""","White",8.5,18.8,10.8,19.3,12.5
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Black or African American","N/A","N/A","N/A","*","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Ansonia School District","P.A.C.E. (Positive And Creative Education)","=""0020111""","White","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Asian","*","*","*","*","N/A"
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Black or African American",39.4,39.7,37.8,37.9,34.8
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Hispanic/Latino of any race",45.3,42.6,46.8,42.9,35.7
"Area Cooperative Educational Services","Mill Road School","=""2449414""","Two or More Races","*","*","*","*","*"
