"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","=""2880113""",8.1
"Amistad Academy District","Amistad Academy","=""2795113""",2.6
"Andover School District","Andover Elementary School","=""0010111""","*"
"Ansonia School District","Ansonia Middle School","=""0025111""",16.1
"Ansonia School District","Mead School","=""0020311""",12.9
"Ansonia School District","Ansonia High School","=""0026111""",11.8
"Ansonia School District","Prendergast School","=""0020811""",10.3
"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","=""2449614""",17.6
"Area Cooperative Educational Services","Whitney High School West","=""2449314""",25.5
"Area Cooperative Educational Services","Whitney High School North","=""2449114""",69.6
"Area Cooperative Educational Services","Whitney High School East","=""2449214""",37.7
"Area Cooperative Educational Services","Village School","=""2449514""",29.1
"Area Cooperative Educational Services","Mill Road School","=""2449414""",39.0
"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","=""2440314""",7.5
"Area Cooperative Educational Services","Thomas Edison Magnet Middle School","=""2445114""",10.8
"Ashford School District","Ashford School","=""0030111""",9.1
"Avon School District","Avon Middle School","=""0045111""",5.9
"Avon School District","Roaring Brook School","=""0040311""",3.6
"Avon School District","Thompson Brook School","=""0040511""",5.1
"Avon School District","Pine Grove School","=""0040411""",5.4
"Avon School District","Avon High School","=""0046111""",2.9
"Barkhamsted School District","Barkhamsted Elementary School","=""0050111""",3.2
"Berlin School District","Richard D. Hubbard School","=""0070111""",2.9
"Berlin School District","Emma Hart Willard School","=""0070411""",2.9
"Berlin School District","Mary E. Griswold School","=""0070511""",3.1
"Berlin School District","Catherine M. McGee Middle School","=""0075111""",7.8
"Berlin School District","Berlin High School","=""0076111""",7.8
"Bethany School District","Bethany Community School","=""0080111""",3.2
"Bethel School District","Frank A. Berry School","=""0090111""",2.3
"Bethel School District","Anna H. Rockwell School","=""0090411""",6.1
"Bethel School District","Ralph M. T. Johnson School","=""0090511""",3.7
"Bethel School District","Bethel Middle School","=""0095111""",7.4
"Bethel School District","Bethel High School","=""0096111""",7.7
"Bloomfield School District","Wintonbury Early Childhood Magnet School","=""0110811""",6.2
"Bloomfield School District","The Big Picture High School","=""0116211""",7.1
"Bloomfield School District","Metacomet School","=""0110511""",4.0
"Bloomfield School District","Carmen Arace Intermediate School","=""0110711""",3.1
"Bloomfield School District","Carmen Arace Middle School","=""0115211""",9.1
"Bloomfield School District","J. P. Vincent School","=""0110311""",7.5
"Bloomfield School District","Bloomfield High School","=""0116111""",10.1
"Bolton School District","Bolton High School","=""0126111""",3.0
"Bolton School District","Bolton Center School","=""0120111""",2.4
"Bozrah School District","Fields Memorial School","=""0130111""",5.3
"Branford School District","John B. Sliney School","=""0141611""",4.2
"Branford School District","Mary R. Tisko School","=""0141511""",4.2
"Branford School District","Mary T. Murphy School","=""0141411""",5.2
"Branford School District","Francis Walsh Intermediate School","=""0145111""",7.7
"Branford School District","Branford High School","=""0146111""",10.1
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","=""2850113""",1.4
"Bridgeport School District","Skane Center","=""0154411""","*"
"Bridgeport School District","Park City Academy","=""0159211""",76.3
"Bridgeport School District","Make The Grade","=""0159511""",62.8
"Bridgeport School District","Bridgeport Learning Center","=""0159011""","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""",3.2
"Bridgeport School District","Edison School","=""0150711""",11.1
"Bridgeport School District","Black Rock School","=""0150311""",13.1
"Bridgeport School District","Hall School","=""0151111""",12.7
"Bridgeport School District","Classical Studies Academy","=""0152111""",6.0
"Bridgeport School District","Dunbar School","=""0154111""",27.6
"Bridgeport School District","Beardsley School","=""0150211""",18.5
"Bridgeport School District","Hallen School","=""0151211""",15.3
"Bridgeport School District","Bryant School","=""0150411""",16.7
"Bridgeport School District","Cross School","=""0153911""",27.3
"Bridgeport School District","Hooker School","=""0151311""",7.0
"Bridgeport School District","High Horizons Magnet School","=""0154511""",2.8
"Bridgeport School District","Longfellow School","=""0151911""",27.3
"Bridgeport School District","Roosevelt School","=""0152611""",29.5
"Bridgeport School District","Multicultural Magnet School","=""0154611""",2.1
"Bridgeport School District","Waltersville School","=""0153011""",18.1
"Bridgeport School District","Park City Magnet School","=""0151711""",3.3
"Bridgeport School District","Madison School","=""0152011""",11.0
"Bridgeport School District","Columbus School","=""0150511""",21.5
"Bridgeport School District","Barnum School","=""0150111""",22.5
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""",23.8
"Bridgeport School District","Curiale School","=""0154211""",22.8
"Bridgeport School District","Winthrop School","=""0153611""",9.3
"Bridgeport School District","Geraldine Johnson School","=""0153211""",8.5
"Bridgeport School District","Read School","=""0152511""",15.0
"Bridgeport School District","Luis Munoz Marin School","=""0151011""",26.0
"Bridgeport School District","Bassick High School","=""0156111""",38.9
"Bridgeport School District","Blackham School","=""0154011""",13.6
"Bridgeport School District","Cesar Batalla School","=""0151411""",15.6
"Bridgeport School District","Harding High School","=""0156311""",45.0
"Bridgeport School District","Central High School","=""0156211""",22.3
"Bristol School District","Community/Vocational Program","=""0179211""","*"
"Bristol School District","Alternative Special Education Program (ASEP)","=""0179011""",26.7
"Bristol School District","Mountain View School","=""0171711""",6.3
"Bristol School District","Greene-Hills School","=""0170511""",5.3
"Bristol School District","Clara T. O'Connell School","=""0170711""",17.3
"Bristol School District","John J. Jennings School","=""0170611""",5.8
"Bristol School District","Edgewood School","=""0170311""",9.6
"Bristol School District","Ivy Drive School","=""0171911""",6.5
"Bristol School District","Stafford School","=""0171211""",14.2
"Bristol School District","Ellen P. Hubbell School","=""0171411""",8.2
"Bristol School District","Memorial Boulevard Middle School","=""0175311""",7.2
"Bristol School District","South Side School","=""0171111""",8.6
"Bristol School District","Northeast Middle School","=""0175211""",6.6
"Bristol School District","Chippens Hill Middle School","=""0175111""",10.6
"Bristol School District","Bristol Central High School","=""0176111""",16.4
"Bristol School District","Bristol Eastern High School","=""0176211""",17.1
"Brookfield School District","Center Elementary School","=""0180311""",4.7
"Brookfield School District","Huckleberry Hill Elementary School","=""0180411""",3.1
"Brookfield School District","Whisconier Middle School","=""0185311""",3.9
"Brookfield School District","Brookfield High School","=""0186111""",6.8
"Brooklyn School District","Brooklyn Middle School","=""0195111""",9.1
"Brooklyn School District","Brooklyn Elementary School","=""0190111""",4.8
"Canaan School District","Lee H. Kellogg School","=""0210111""",10.7
