"Chronic Absenteeism, 2014-15"
", All Schools, English Learner Status"

"District","District Code","School","School Code","English Learner Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELL",24.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Non-ELL",9.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELL",10.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",4.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELL","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-ELL","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELL","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Non-ELL","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELL",30.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Non-ELL",13.8
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELL","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Non-ELL","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELL","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Non-ELL","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Non-ELL","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Non-ELL",38.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELL",11.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Non-ELL",13.5
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Non-ELL",32.9
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Non-ELL",44.4
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Non-ELL",72.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Non-ELL",16.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELL","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Non-ELL","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELL","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Non-ELL","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELL","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELL","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Non-ELL","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELL",0.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Non-ELL",0.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELL","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Non-ELL","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELL","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Non-ELL","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Non-ELL",2.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELL","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Non-ELL","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELL","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Non-ELL","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELL","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Non-ELL","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELL","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Non-ELL","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELL","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Non-ELL","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELL","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Non-ELL","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELL","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Non-ELL","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","ELL",0.0
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Non-ELL",3.4
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","ELL","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELL","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","ELL","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","ELL","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELL","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","ELL","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","ELL","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","ELL","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Non-ELL","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","ELL","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Non-ELL","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","ELL","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Non-ELL","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",5.3
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Non-ELL",30.4
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELL","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Non-ELL","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Non-ELL",56.3
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELL","*"
