"Per Pupil Expenditures, Trend"
"All Districts"

"",,"Year",,,,
"District","Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Instructional Staff and Services",6235,7358,7018,7721,7194
,="Instructional Supplies and Equipment",940,324,349,734,678
,="Instruction and Educational Media Services",1704,192,317,192,326
,="Student Support Services",500,261,795,186,1138
,="Administration and Support Services",2148,2419,2868,3033,3878
,="Plant Operation and Management",89,36,46,96,87
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",51,50,48,36,18
,="Total Expenditures",11683,10686,11474,12050,13422
="Amistad Academy District",="Instructional Staff and Services",6311,7776,6440,7055,6351
,="Instructional Supplies and Equipment",818,400,374,362,362
,="Instruction and Educational Media Services",1832,644,517,436,474
,="Student Support Services",1927,1383,1111,878,1238
,="Administration and Support Services",2233,2520,2289,3240,2565
,="Plant Operation and Management",226,495,481,482,521
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",602,617,570,556,600
,="Total Expenditures",13993,13959,11895,13132,12306
="Andover School District",="Instructional Staff and Services",7988,8328,8372,9197,9864
,="Instructional Supplies and Equipment",322,382,266,352,446
,="Instruction and Educational Media Services",223,250,251,276,306
,="Student Support Services",467,502,499,548,574
,="Administration and Support Services",1749,1834,1940,2228,2237
,="Plant Operation and Management",1360,1358,1400,1519,1781
,="Transportation",228,238,368,400,324
,="Other",0,0,0,0,0
,="Total Expenditures",12923,13585,13996,15224,15640
="Ansonia School District",="Instructional Staff and Services",6563,6886,7076,7441,7755
,="Instructional Supplies and Equipment",395,367,386,724,218
,="Instruction and Educational Media Services",284,192,207,240,216
,="Student Support Services",611,583,527,490,635
,="Administration and Support Services",1200,1408,1534,1689,1654
,="Plant Operation and Management",1074,1058,2843,1213,1215
,="Transportation",562,669,665,712,832
,="Other",288,207,231,296,251
,="Total Expenditures",10992,11376,13360,13014,13263
="Ashford School District",="Instructional Staff and Services",9502,9401,10027,10645,10687
,="Instructional Supplies and Equipment",325,601,791,723,998
,="Instruction and Educational Media Services",126,160,140,151,179
,="Student Support Services",460,474,560,613,651
,="Administration and Support Services",1574,1670,1864,2075,2200
,="Plant Operation and Management",1031,1198,1343,1760,1537
,="Transportation",912,845,855,657,666
,="Other",60,81,148,80,153
,="Total Expenditures",14873,15187,16704,17295,17887
="Avon School District",="Instructional Staff and Services",7499,8094,8948,8946,9300
,="Instructional Supplies and Equipment",219,385,263,241,306
,="Instruction and Educational Media Services",345,287,320,260,325
,="Student Support Services",956,850,1064,1071,1104
,="Administration and Support Services",1205,1218,1390,1608,1860
,="Plant Operation and Management",1277,1354,1276,1397,1366
,="Transportation",581,625,664,728,710
,="Other",277,181,30,242,321
,="Total Expenditures",12562,13301,14108,14756,15833
="Barkhamsted School District",="Instructional Staff and Services",6737,6933,7328,8268,8232
,="Instructional Supplies and Equipment",140,150,116,238,137
,="Instruction and Educational Media Services",413,400,455,645,606
,="Student Support Services",140,150,151,176,185
,="Administration and Support Services",1095,1169,1269,1512,1561
,="Plant Operation and Management",937,1200,1149,1389,1379
,="Transportation",427,429,451,445,504
,="Other",1,0,0,1,11
,="Total Expenditures",10744,11142,11469,13399,13377
="Berlin School District",="Instructional Staff and Services",7108,7503,7735,7909,8125
,="Instructional Supplies and Equipment",357,409,381,532,339
,="Instruction and Educational Media Services",337,321,428,428,606
,="Student Support Services",1240,1308,1435,1733,1651
,="Administration and Support Services",1417,1486,1628,1555,1627
,="Plant Operation and Management",1642,2044,1737,1978,1933
,="Transportation",645,703,704,746,787
,="Other",268,292,304,336,395
,="Total Expenditures",13264,14219,14349,15102,15425
="Bethany School District",="Instructional Staff and Services",7856,8521,8927,9537,10285
,="Instructional Supplies and Equipment",376,271,403,727,680
,="Instruction and Educational Media Services",547,175,203,207,245
,="Student Support Services",297,358,334,406,418
,="Administration and Support Services",1321,1630,1569,1800,2291
,="Plant Operation and Management",1442,1662,1966,2180,2456
,="Transportation",360,333,389,366,382
,="Other",0,0,0,0,0
,="Total Expenditures",13317,13977,14529,16027,17561
="Bethel School District",="Instructional Staff and Services",8263,8120,8592,8687,8856
,="Instructional Supplies and Equipment",203,196,233,189,257
,="Instruction and Educational Media Services",957,1214,990,1118,1144
,="Student Support Services",967,955,991,1097,1178
,="Administration and Support Services",1358,1345,1375,1435,1579
,="Plant Operation and Management",1238,1228,1223,1280,1367
,="Transportation",718,736,748,769,828
,="Other",179,180,198,211,221
,="Total Expenditures",14459,14603,14935,15487,16235
="Bloomfield School District",="Instructional Staff and Services",10151,10008,10334,10997,11273
,="Instructional Supplies and Equipment",527,397,403,748,382
,="Instruction and Educational Media Services",274,812,894,920,664
,="Student Support Services",1461,1396,1423,1476,1417
