"Sanction Counts, 2013-14"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Bus Suspension","Expulsion"
"Achievement First Hartford Academy Inc. District","=""""","Achievement First Hartford Academy Inc.","=""""",301,825,28,0
"Amistad Academy District","=""""","Amistad Academy","=""""",1287,549,41,"*"
"Andover School District","=""""","Andover Elementary School","=""""",0,"*",0,0
"Ansonia School District","=""""","Ansonia High School","=""""","*",74,0,8
"Ansonia School District","=""""","Ansonia Middle School","=""""",249,133,0,"*"
"Ansonia School District","=""""","Mead School","=""""",0,12,0,"*"
"Ansonia School District","=""""","Prendergast School","=""""",0,10,0,"*"
"Area Cooperative Educational Services","=""""","Mill Road School","=""""",0,55,0,0
"Area Cooperative Educational Services","=""""","Thomas Edison Magnet Middle School","=""""",210,59,"*",0
"Area Cooperative Educational Services","=""""","Whitney High School East","=""""",0,18,0,0
"Area Cooperative Educational Services","=""""","Whitney High School North","=""""",0,131,0,0
"Area Cooperative Educational Services","=""""","Whitney High School West","=""""",0,"*",0,0
"Area Cooperative Educational Services","=""""","Wintergreen Interdistrict  Magnet School","=""""",10,60,24,0
"Ashford School District","=""""","Ashford School","=""""",13,"*","*",0
"Avon School District","=""""","Avon High School","=""""",28,20,0,"*"
"Avon School District","=""""","Avon Middle School","=""""",30,8,0,0
"Avon School District","=""""","Pine Grove School","=""""","*","*",0,0
"Avon School District","=""""","Roaring Brook School","=""""",0,"*",0,0
"Avon School District","=""""","Thompson Brook School","=""""","*",0,0,0
"Barkhamsted School District","=""""","Barkhamsted Elementary School","=""""",6,"*","*",0
"Berlin School District","=""""","Berlin High School","=""""",120,30,0,0
"Berlin School District","=""""","Catherine M. McGee Middle School","=""""",64,11,0,0
"Berlin School District","=""""","Emma Hart Willard School","=""""","*",0,0,0
"Berlin School District","=""""","Mary E. Griswold School","=""""",6,0,0,0
"Berlin School District","=""""","Richard D. Hubbard School","=""""",7,"*",0,0
"Bethany School District","=""""","Bethany Community School","=""""","*","*",0,0
"Bethel School District","=""""","Anna H. Rockwell School","=""""","*",0,0,0
"Bethel School District","=""""","Bethel High School","=""""",286,15,0,"*"
"Bethel School District","=""""","Bethel Middle School","=""""",83,"*","*","*"
"Bethel School District","=""""","Frank A. Berry School","=""""","*",0,0,0
"Bloomfield School District","=""""","Bloomfield High School","=""""",159,64,0,14
"Bloomfield School District","=""""","Carmen Arace Intermediate School","=""""",70,15,7,0
"Bloomfield School District","=""""","Carmen Arace Middle School","=""""",54,114,"*","*"
"Bloomfield School District","=""""","Global Experience Magnet School","=""""",61,42,0,"*"
"Bloomfield School District","=""""","Laurel School","=""""",21,"*",0,0
"Bloomfield School District","=""""","Metacomet School","=""""",9,"*",0,0
"Bolton School District","=""""","Bolton Center School","=""""",7,"*",0,0
"Bolton School District","=""""","Bolton High School","=""""",33,8,0,0
"Bozrah School District","=""""","Fields Memorial School","=""""","*","*","*",0
"Branford School District","=""""","Branford High School","=""""",276,116,0,"*"
"Branford School District","=""""","Francis Walsh Intermediate School","=""""",56,9,0,0
"Branford School District","=""""","Mary T. Murphy School","=""""",0,"*",0,0
"Bridgeport Achievement First District","=""""","Achievement First Bridgeport Academy","=""""",1148,367,44,"*"
"Bridgeport School District","=""""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""""",29,28,"*",0
"Bridgeport School District","=""""","Barnum School","=""""",134,104,"*",0
"Bridgeport School District","=""""","Bassick High School","=""""",640,418,0,"*"
"Bridgeport School District","=""""","Beardsley School","=""""",70,17,0,0
"Bridgeport School District","=""""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""""",8,15,"*","*"
"Bridgeport School District","=""""","Black Rock School","=""""","*",0,0,0
"Bridgeport School District","=""""","Blackham School","=""""",126,65,0,"*"
"Bridgeport School District","=""""","Bridgeport Learning Center","=""""",0,13,0,0
