"Sanction Counts, 2009-10"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Bus Suspension","Expulsion"
"Achievement First Hartford Academy Inc. District","=""""","Achievement First Hartford Academy Inc.","=""""",181,239,54,0
"Amistad Academy District","=""""","Amistad Academy","=""""",130,126,62,"*"
"Ansonia School District","=""""","Ansonia High School","=""""",687,105,0,8
"Ansonia School District","=""""","Ansonia Middle School","=""""",55,31,0,"*"
"Ansonia School District","=""""","Mead School","=""""","*",26,0,0
"Ansonia School District","=""""","Prendergast School","=""""",0,11,0,"*"
"Area Cooperative Educational Services","=""""","Collaborative Alternative Magnet School","=""""",169,178,"*",0
"Area Cooperative Educational Services","=""""","Mill Road School","=""""","*",133,0,0
"Area Cooperative Educational Services","=""""","Thomas Edison Magnet Middle School","=""""",287,88,20,"*"
"Area Cooperative Educational Services","=""""","Whitney High School East","=""""","*",10,0,0
"Area Cooperative Educational Services","=""""","Whitney High School North","=""""",0,88,"*",0
"Area Cooperative Educational Services","=""""","Wintergreen Interdistrict  Magnet School","=""""",24,41,0,0
"Ashford School District","=""""","Ashford School","=""""",8,"*",7,0
"Avon School District","=""""","Avon High School","=""""",26,10,0,"*"
"Avon School District","=""""","Avon Middle School","=""""",19,11,0,0
"Avon School District","=""""","Pine Grove School","=""""","*","*",0,0
"Avon School District","=""""","Roaring Brook School","=""""","*",0,0,0
"Avon School District","=""""","Thompson Brook School","=""""",27,10,0,0
"Barkhamsted School District","=""""","Barkhamsted Elementary School","=""""","*",0,0,0
"Berlin School District","=""""","Berlin High School","=""""",534,55,0,"*"
"Berlin School District","=""""","Catherine M. McGee Middle School","=""""",119,7,0,"*"
"Berlin School District","=""""","Emma Hart Willard School","=""""",13,"*",0,0
"Berlin School District","=""""","Mary E. Griswold School","=""""",10,"*",0,0
"Berlin School District","=""""","Richard D. Hubbard School","=""""","*","*",0,0
"Bethany School District","=""""","Bethany Community School","=""""","*","*",0,0
"Bethel School District","=""""","Bethel High School","=""""",274,21,0,"*"
"Bethel School District","=""""","Bethel Middle School","=""""",142,16,8,0
"Bethel School District","=""""","Frank A. Berry School","=""""","*","*",0,0
"Bethel School District","=""""","Ralph M. T. Johnson School","=""""","*",0,0,0
"Bloomfield School District","=""""","Bloomfield High School","=""""",183,92,"*",8
"Bloomfield School District","=""""","Carmen Arace Intermediate School","=""""",58,75,"*","*"
"Bloomfield School District","=""""","Carmen Arace Middle School","=""""",81,61,7,"*"
"Bloomfield School District","=""""","J. P. Vincent School","=""""",25,35,44,0
"Bloomfield School District","=""""","Laurel School","=""""",34,68,15,0
"Bloomfield School District","=""""","Metacomet School","=""""",36,25,"*",0
"Bloomfield School District","=""""","The Big Picture High School","=""""",0,10,0,"*"
"Bloomfield School District","=""""","Wintonbury Early Childhood Magnet School","=""""","*","*",0,0
"Bolton School District","=""""","Bolton Center School","=""""",11,9,0,0
"Bolton School District","=""""","Bolton High School","=""""","*",16,0,0
"Bozrah School District","=""""","Fields Memorial School","=""""",0,"*",0,0
"Branford School District","=""""","Branford High School","=""""",241,64,0,"*"
