"Sanction Counts, 2011-12"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""""","Achievement First Hartford Academy Inc.","=""""",701,1102,"*",0
"Amistad Academy District","=""""","Amistad Academy","=""""",385,99,9,0
"Andover School District","=""""","Andover Elementary School","=""""",0,"*",0,0
"Ansonia School District","=""""","Ansonia High School","=""""",451,114,"*","*"
"Ansonia School District","=""""","Ansonia Middle School","=""""","*",42,"*",0
"Ansonia School District","=""""","Mead School","=""""",14,16,0,0
"Ansonia School District","=""""","Prendergast School","=""""",0,12,0,0
"Area Cooperative Educational Services","=""""","Mill Road School","=""""","*",149,0,"*"
"Area Cooperative Educational Services","=""""","Thomas Edison Magnet Middle School","=""""",238,39,"*","*"
"Area Cooperative Educational Services","=""""","Village School","=""""","*",0,0,0
"Area Cooperative Educational Services","=""""","Whitney High School East","=""""","*",24,0,0
"Area Cooperative Educational Services","=""""","Whitney High School North","=""""",0,107,0,0
"Area Cooperative Educational Services","=""""","Wintergreen Interdistrict  Magnet School","=""""",14,39,0,20
"Ashford School District","=""""","Ashford School","=""""",14,"*",0,13
"Avon School District","=""""","Avon High School","=""""",7,12,"*",0
"Avon School District","=""""","Avon Middle School","=""""",37,11,0,"*"
"Avon School District","=""""","Pine Grove School","=""""","*",0,0,0
"Avon School District","=""""","Roaring Brook School","=""""","*","*",0,0
"Avon School District","=""""","Thompson Brook School","=""""",19,"*",0,0
"Barkhamsted School District","=""""","Barkhamsted Elementary School","=""""","*",0,0,0
"Berlin School District","=""""","Berlin High School","=""""",232,31,"*",0
"Berlin School District","=""""","Catherine M. McGee Middle School","=""""",152,21,0,0
"Berlin School District","=""""","Emma Hart Willard School","=""""","*","*",0,0
"Berlin School District","=""""","Mary E. Griswold School","=""""","*",0,0,0
"Bethany School District","=""""","Bethany Community School","=""""","*","*",0,0
"Bethel School District","=""""","Bethel High School","=""""",326,17,"*",0
"Bethel School District","=""""","Bethel Middle School","=""""",104,"*","*",7
"Bethel School District","=""""","Frank A. Berry School","=""""","*",0,0,"*"
"Bloomfield School District","=""""","Bloomfield High School","=""""",141,45,"*",0
"Bloomfield School District","=""""","Carmen Arace Intermediate School","=""""",58,26,0,10
"Bloomfield School District","=""""","Carmen Arace Middle School","=""""",104,130,"*",9
"Bloomfield School District","=""""","J. P. Vincent School","=""""",31,"*",0,0
"Bloomfield School District","=""""","Metacomet School","=""""",24,23,0,0
"Bloomfield School District","=""""","The Big Picture High School","=""""","*","*",0,0
"Bolton School District","=""""","Bolton Center School","=""""",9,"*",0,0
"Bolton School District","=""""","Bolton High School","=""""",7,23,0,0
"Bozrah School District","=""""","Fields Memorial School","=""""","*","*",0,0
"Branford School District","=""""","Branford High School","=""""",227,52,0,0
"Branford School District","=""""","Francis Walsh Intermediate School","=""""",87,17,0,0
"Branford School District","=""""","Mary T. Murphy School","=""""",0,"*",0,0
"Bridgeport Achievement First District","=""""","Achievement First Bridgeport Academy","=""""",598,169,"*",0
"Bridgeport School District","=""""","Barnum School","=""""",191,165,"*","*"
"Bridgeport School District","=""""","Bassick High School","=""""",104,306,"*",0
"Bridgeport School District","=""""","Beardsley School","=""""",85,41,0,0
"Bridgeport School District","=""""","Black Rock School","=""""",9,0,0,0
"Bridgeport School District","=""""","Blackham School","=""""",204,109,"*",0
"Bridgeport School District","=""""","Bridgeport Learning Center","=""""",0,10,0,0
"Bridgeport School District","=""""","Bryant School","=""""","*",20,0,0
"Bridgeport School District","=""""","Central High School","=""""",1086,1230,12,10
"Bridgeport School District","=""""","Cesar Batalla School","=""""",121,111,"*",0
"Bridgeport School District","=""""","Classical Studies Academy","=""""",18,26,0,0
"Bridgeport School District","=""""","Columbus School","=""""",61,92,"*",0
"Bridgeport School District","=""""","Cross School","=""""",302,326,"*",0
"Bridgeport School District","=""""","Curiale School","=""""","*",287,"*",0
"Bridgeport School District","=""""","Dunbar School","=""""",451,297,"*","*"
"Bridgeport School District","=""""","Edison School","=""""",11,14,0,0
"Bridgeport School District","=""""","Geraldine Johnson School","=""""",231,131,0,0
"Bridgeport School District","=""""","Hall School","=""""",9,"*",0,0
"Bridgeport School District","=""""","Hallen School","=""""",0,24,0,0
"Bridgeport School District","=""""","Harding High School","=""""",866,714,"*",0
"Bridgeport School District","=""""","High Horizons Magnet School","=""""",18,8,0,0
