"Sanction Counts, 2014-15"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""""","Achievement First Hartford Academy Inc.","=""""",287,759,"*",42
"Amistad Academy District","=""""","Amistad Academy","=""""",835,472,"*",26
"Andover School District","=""""","Andover Elementary School","=""""","*","*",0,0
"Ansonia School District","=""""","Ansonia High School","=""""",0,57,9,0
"Ansonia School District","=""""","Ansonia Middle School","=""""",94,78,"*",0
"Ansonia School District","=""""","Mead School","=""""","*",30,"*",0
"Ansonia School District","=""""","P.A.C.E. (Positive And Creative Education)","=""""",0,9,"*",0
"Ansonia School District","=""""","Prendergast School","=""""",0,16,0,0
"Area Cooperative Educational Services","=""""","Mill Road School","=""""",0,43,0,0
"Area Cooperative Educational Services","=""""","Thomas Edison Magnet Middle School","=""""",285,64,0,0
"Area Cooperative Educational Services","=""""","Whitney High School East","=""""",0,12,0,0
"Area Cooperative Educational Services","=""""","Whitney High School North","=""""",0,94,0,0
"Area Cooperative Educational Services","=""""","Whitney High School West","=""""",0,"*",0,0
"Area Cooperative Educational Services","=""""","Wintergreen Interdistrict  Magnet School","=""""","*",67,0,45
"Ashford School District","=""""","Ashford School","=""""",26,"*",0,6
"Avon School District","=""""","Avon High School","=""""",22,15,"*","*"
"Avon School District","=""""","Avon Middle School","=""""",34,6,0,0
"Avon School District","=""""","Pine Grove School","=""""","*","*",0,0
"Avon School District","=""""","Roaring Brook School","=""""","*","*",0,"*"
"Avon School District","=""""","Thompson Brook School","=""""","*",0,0,0
"Barkhamsted School District","=""""","Barkhamsted Elementary School","=""""","*",0,0,0
"Berlin School District","=""""","Berlin High School","=""""",57,22,"*","*"
"Berlin School District","=""""","Catherine M. McGee Middle School","=""""",94,"*",0,0
"Berlin School District","=""""","Richard D. Hubbard School","=""""",8,0,0,0
"Bethany School District","=""""","Bethany Community School","=""""","*","*",0,"*"
"Bethel School District","=""""","Anna H. Rockwell School","=""""","*","*",0,"*"
"Bethel School District","=""""","Bethel High School","=""""",272,11,"*",0
"Bethel School District","=""""","Bethel Middle School","=""""",136,15,"*","*"
"Bethel School District","=""""","Frank A. Berry School","=""""","*","*",0,0
"Bethel School District","=""""","Ralph M. T. Johnson School","=""""",13,"*",0,"*"
"Bloomfield School District","=""""","Bloomfield High School","=""""",180,117,6,0
"Bloomfield School District","=""""","Carmen Arace Intermediate School","=""""",21,13,0,"*"
