"Sanction Counts, 2012-13"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""""","Achievement First Hartford Academy Inc.","=""""",1280,1678,"*","*"
"Amistad Academy District","=""""","Amistad Academy","=""""",1507,205,"*","*"
"Andover School District","=""""","Andover Elementary School","=""""",0,"*",0,0
"Ansonia School District","=""""","Ansonia High School","=""""",128,138,6,0
"Ansonia School District","=""""","Ansonia Middle School","=""""",264,82,0,0
"Ansonia School District","=""""","Mead School","=""""",0,8,"*",0
"Ansonia School District","=""""","Prendergast School","=""""",0,12,"*",0
"Area Cooperative Educational Services","=""""","Mill Road School","=""""",0,61,0,0
"Area Cooperative Educational Services","=""""","Thomas Edison Magnet Middle School","=""""",279,25,0,10
"Area Cooperative Educational Services","=""""","Whitney High School East","=""""",0,35,0,0
"Area Cooperative Educational Services","=""""","Whitney High School North","=""""",0,110,0,0
"Area Cooperative Educational Services","=""""","Wintergreen Interdistrict  Magnet School","=""""",21,38,0,"*"
"Ashford School District","=""""","Ashford School","=""""",30,6,0,"*"
"Avon School District","=""""","Avon High School","=""""",59,11,0,0
"Avon School District","=""""","Avon Middle School","=""""",25,10,0,"*"
"Avon School District","=""""","Pine Grove School","=""""","*",0,0,0
"Avon School District","=""""","Roaring Brook School","=""""","*",0,0,0
"Avon School District","=""""","Thompson Brook School","=""""","*","*",0,0
"Barkhamsted School District","=""""","Barkhamsted Elementary School","=""""","*",0,0,0
"Berlin School District","=""""","Berlin High School","=""""",183,37,"*",0
"Berlin School District","=""""","Catherine M. McGee Middle School","=""""",59,13,0,"*"
"Berlin School District","=""""","Emma Hart Willard School","=""""","*","*",0,0
"Berlin School District","=""""","Mary E. Griswold School","=""""",8,0,0,"*"
"Bethany School District","=""""","Bethany Community School","=""""","*","*",0,0
"Bethel School District","=""""","Anna H. Rockwell School","=""""",0,"*",0,0
"Bethel School District","=""""","Bethel High School","=""""",395,33,9,"*"
"Bethel School District","=""""","Bethel Middle School","=""""",95,6,"*",11
"Bethel School District","=""""","Frank A. Berry School","=""""","*",0,0,0
"Bloomfield School District","=""""","Bloomfield High School","=""""",146,43,"*",0
"Bloomfield School District","=""""","Carmen Arace Intermediate School","=""""",46,30,0,"*"
"Bloomfield School District","=""""","Carmen Arace Middle School","=""""",56,93,"*",6
"Bloomfield School District","=""""","Global Experience Magnet School","=""""",49,21,"*",0
"Bloomfield School District","=""""","Laurel School","=""""",37,22,0,0
"Bloomfield School District","=""""","Metacomet School","=""""",18,19,0,0
"Bolton School District","=""""","Bolton Center School","=""""",9,"*",0,0
"Bolton School District","=""""","Bolton High School","=""""",6,20,"*",0
"Bozrah School District","=""""","Fields Memorial School","=""""",6,"*",0,"*"
"Branford School District","=""""","Branford High School","=""""",224,62,0,"*"
"Branford School District","=""""","Branford High School Horizons Program","=""""","*",0,0,0
"Branford School District","=""""","Francis Walsh Intermediate School","=""""",58,21,0,0
"Bridgeport Achievement First District","=""""","Achievement First Bridgeport Academy","=""""",156,205,"*",0
"Bridgeport School District","=""""","Barnum School","=""""",166,85,0,"*"
"Bridgeport School District","=""""","Bassick High School","=""""",841,408,"*","*"
"Bridgeport School District","=""""","Beardsley School","=""""",44,18,0,0
"Bridgeport School District","=""""","Black Rock School","=""""","*","*",0,0
"Bridgeport School District","=""""","Blackham School","=""""",84,54,"*",0
"Bridgeport School District","=""""","Bridgeport Learning Center","=""""",0,12,0,0
"Bridgeport School District","=""""","Bryant School","=""""",0,7,0,0
"Bridgeport School District","=""""","Central High School","=""""",719,837,17,"*"
"Bridgeport School District","=""""","Cesar Batalla School","=""""",122,92,"*","*"
"Bridgeport School District","=""""","Classical Studies Academy","=""""",0,8,0,0
"Bridgeport School District","=""""","Columbus School","=""""",156,296,"*","*"
"Bridgeport School District","=""""","Cross School","=""""",343,322,0,"*"
"Bridgeport School District","=""""","Curiale School","=""""",177,157,0,"*"
"Bridgeport School District","=""""","Dunbar School","=""""",284,181,"*","*"
"Bridgeport School District","=""""","Edison School","=""""",12,46,0,0
"Bridgeport School District","=""""","Geraldine Johnson School","=""""",54,60,0,0
"Bridgeport School District","=""""","Hall School","=""""","*",13,0,0
"Bridgeport School District","=""""","Hallen School","=""""",0,39,"*",0
"Bridgeport School District","=""""","Harding High School","=""""",1002,639,14,8
"Bridgeport School District","=""""","High Horizons Magnet School","=""""",14,"*",0,0
"Bridgeport School District","=""""","Hooker School","=""""",47,94,0,"*"
"Bridgeport School District","=""""","Interdistrict Discovery Magnet School","=""""",13,7,0,0
"Bridgeport School District","=""""","Jettie S. Tisdale School","=""""",319,147,"*","*"
"Bridgeport School District","=""""","Luis Munoz Marin School","=""""",178,80,"*",0
"Bridgeport School District","=""""","Madison School","=""""",14,8,0,0
"Bridgeport School District","=""""","Multicultural Magnet School","=""""","*",0,0,0
"Bridgeport School District","=""""","Park City Academy","=""""",25,150,"*",0
"Bridgeport School District","=""""","Park City Magnet School","=""""","*",0,0,0
"Bridgeport School District","=""""","Read School","=""""",395,184,"*",24
"Bridgeport School District","=""""","Roosevelt School","=""""",203,169,"*",0
"Bridgeport School District","=""""","Waltersville School","=""""",61,48,0,"*"
"Bridgeport School District","=""""","Winthrop School","=""""",45,17,0,0
"Bristol School District","=""""","Alternative Special Education Program (ASEP)","=""""","*","*",0,0
"Bristol School District","=""""","Bristol Central High School","=""""",223,107,"*",0
"Bristol School District","=""""","Bristol Eastern High School","=""""",706,86,11,9
"Bristol School District","=""""","Chippens Hill Middle School","=""""",136,48,"*",7
"Bristol School District","=""""","Edgewood School","=""""",14,18,0,"*"
"Bristol School District","=""""","Ellen P. Hubbell School","=""""",7,25,0,"*"
"Bristol School District","=""""","Greene-Hills School","=""""",44,59,0,10
"Bristol School District","=""""","Ivy Drive School","=""""",8,"*",0,0
"Bristol School District","=""""","Mountain View School","=""""",18,34,0,0
"Bristol School District","=""""","Northeast Middle School","=""""",31,29,0,0
"Bristol School District","=""""","South Side School","=""""","*",23,0,"*"
"Bristol School District","=""""","Stafford School","=""""",6,13,0,0
"Bristol School District","=""""","West Bristol School","=""""",13,98,0,"*"
"Brookfield School District","=""""","Brookfield High School","=""""",41,15,0,0
"Brookfield School District","=""""","Center Elementary School","=""""",0,0,0,"*"
"Brookfield School District","=""""","Whisconier Middle School","=""""",60,"*",0,0
"Brooklyn School District","=""""","Brooklyn Elementary School","=""""",0,0,0,15
"Brooklyn School District","=""""","Brooklyn Middle School","=""""",80,"*",0,14
"Canaan School District","=""""","Lee H. Kellogg School","=""""","*",0,0,0
"Canterbury School District","=""""","Canterbury Elementary School","=""""","*","*",0,0
"Canterbury School District","=""""","Dr. Helen Baldwin Middle School","=""""",21,"*","*","*"
"Canton School District","=""""","Canton High School","=""""",25,"*",0,0
"Canton School District","=""""","Canton Intermediate School","=""""",10,0,0,0
"Canton School District","=""""","Canton Middle School","=""""",6,"*",0,0
"Canton School District","=""""","Cherry Brook Primary School","=""""","*","*",0,0
"Capitol Region Education Council","=""""","Academy of Aerospace and Engineering","=""""",147,27,0,"*"
"Capitol Region Education Council","=""""","Glastonbury/East Hartford Magnet School","=""""","*",0,0,0
"Capitol Region Education Council","=""""","Greater Hartford Academy of  the Arts High School - Full Time","=""""",298,7,0,"*"
"Capitol Region Education Council","=""""","Greater Hartford Academy of the Arts Magnet Middle","=""""",15,"*",0,0
"Capitol Region Education Council","=""""","John J. Allison Polaris Center","=""""",6,24,0,0
"Capitol Region Education Council","=""""","Lincoln Academy Regional Interdistrict Collaborative","=""""",0,6,0,0
"Capitol Region Education Council","=""""","Medical Professions and Teacher Preparation Academy","=""""",76,"*",0,0
"Capitol Region Education Council","=""""","Metropolitan Learning Center for Global and International Studies","=""""",26,20,0,0
"Capitol Region Education Council","=""""","Museum Academy","=""""","*",0,0,0
"Capitol Region Education Council","=""""","Public Safety Academy","=""""",202,14,0,"*"
"Capitol Region Education Council","=""""","Two Rivers Magnet High School","=""""",13,"*",0,0
"Capitol Region Education Council","=""""","Two Rivers Magnet Middle School","=""""",850,16,0,0
"Capitol Region Education Council","=""""","University of Hartford Magnet School","=""""",0,"*",0,0
"Chaplin School District","=""""","Chaplin Elementary School","=""""","*",0,0,0
"Cheshire School District","=""""","Chapman School","=""""","*",0,0,"*"
"Cheshire School District","=""""","Cheshire High School","=""""",106,68,"*",0
"Cheshire School District","=""""","Dodd Middle School","=""""",30,9,0,10
"Cheshire School District","=""""","Doolittle School","=""""","*","*",0,0
"Cheshire School District","=""""","Highland School","=""""","*",0,0,0
"Cheshire School District","=""""","Humiston School","=""""","*",9,0,0
"Cheshire School District","=""""","Norton School","=""""","*",0,0,0
"Chester School District","=""""","Chester Elementary School","=""""",0,"*",0,"*"
"Clinton School District","=""""","Abraham Pierson School","=""""","*","*",0,0
"Clinton School District","=""""","Jared Eliot School","=""""",15,"*",0,0
"Clinton School District","=""""","Lewin G. Joel Jr. School","=""""",7,15,0,0
"Clinton School District","=""""","The Morgan School","=""""",202,49,"*",0
"Colchester School District","=""""","Bacon Academy","=""""",211,46,"*","*"
"Colchester School District","=""""","Colchester Elementary School","=""""","*","*",0,0
"Colchester School District","=""""","Jack Jackter Intermediate School","=""""",14,"*",0,0
"Colchester School District","=""""","William J. Johnston Middle School","=""""",51,16,0,9
"Colebrook School District","=""""","Colebrook Consolidated School","=""""","*","*",0,0
"Columbia School District","=""""","Horace W. Porter School","=""""","*","*",0,0
"Common Ground High School District","=""""","Common Ground High School","=""""","*","*","*",0
"Connecticut Technical High School System","=""""","A. I. Prince Technical High School","=""""",122,51,10,0
"Connecticut Technical High School System","=""""","Bullard-Havens Technical High School","=""""",117,141,14,0
"Connecticut Technical High School System","=""""","E. C. Goodwin Technical High School","=""""",169,54,"*",0
"Connecticut Technical High School System","=""""","Eli Whitney Technical High School","=""""",198,78,"*",0
"Connecticut Technical High School System","=""""","Ella T. Grasso Southeastern Technical High School","=""""",180,46,"*",0
"Connecticut Technical High School System","=""""","Emmett O'Brien Technical High School","=""""",144,18,15,0
"Connecticut Technical High School System","=""""","H. C. Wilcox Technical High School","=""""",277,43,8,"*"
"Connecticut Technical High School System","=""""","H. H. Ellis Technical High School","=""""",91,40,0,0
"Connecticut Technical High School System","=""""","Henry Abbott Technical High School","=""""",201,34,"*",0
"Connecticut Technical High School System","=""""","Howell Cheney Technical High School","=""""",422,67,6,0
"Connecticut Technical High School System","=""""","Norwich Technical High School","=""""",172,33,"*",0
"Connecticut Technical High School System","=""""","Oliver Wolcott Technical High School","=""""",120,44,"*",0
"Connecticut Technical High School System","=""""","Platt Technical High School","=""""",135,18,0,0
"Connecticut Technical High School System","=""""","Vinal Technical High School","=""""",251,119,"*",0
"Connecticut Technical High School System","=""""","W. F. Kaynor Technical High School","=""""",56,17,"*",0
"Connecticut Technical High School System","=""""","Windham Technical High School","=""""",159,21,"*","*"
"Cooperative Educational Services","=""""","Developmental Learning Center (DLC)","=""""",0,0,0,"*"
"Cooperative Educational Services","=""""","Six-Six Magnet School","=""""",12,"*",0,0
"Cooperative Educational Services","=""""","Therapeutic Day Program","=""""",0,87,0,0
"Coventry School District","=""""","Capt. Nathan Hale School","=""""",18,"*","*",0
"Coventry School District","=""""","Coventry Grammar School","=""""","*",0,0,0
"Coventry School District","=""""","Coventry High School","=""""",75,24,"*",0
"Coventry School District","=""""","George Hersey Robertson School","=""""",19,0,0,7
"Cromwell School District","=""""","Cromwell High School","=""""",199,46,"*","*"
"Cromwell School District","=""""","Cromwell Middle School","=""""",118,26,0,0
"Cromwell School District","=""""","Edna C. Stevens School","=""""","*","*",0,0
"Cromwell School District","=""""","Woodside Intermediate School","=""""",6,0,0,0
"Danbury School District","=""""","Alternative Center For Excellence","=""""",0,52,0,0
"Danbury School District","=""""","Broadview Middle School","=""""",36,52,0,"*"
"Danbury School District","=""""","Danbury High School","=""""",1827,274,0,"*"
"Danbury School District","=""""","Great Plain School","=""""",0,"*",0,0
"Danbury School District","=""""","King Street Primary School","=""""",0,"*",0,0
"Danbury School District","=""""","Morris Street School","=""""",9,"*",0,0
"Danbury School District","=""""","Park Avenue School","=""""",0,9,0,0
"Danbury School District","=""""","Rogers Park Middle School","=""""",408,152,0,"*"
"Danbury School District","=""""","Shelter Rock School","=""""",0,"*",0,0
"Danbury School District","=""""","South Street School","=""""",0,"*",0,0
"Darien School District","=""""","Darien High School","=""""",35,"*",0,0
"Darien School District","=""""","Hindley Elementary School","=""""","*",0,0,0
"Darien School District","=""""","Holmes Elementary School","=""""","*",0,0,0
"Darien School District","=""""","Middlesex Middle School","=""""","*","*",0,0
"Darien School District","=""""","Ox Ridge Elementary School","=""""","*",0,0,0
"Deep River School District","=""""","Deep River Elementary School","=""""","*","*",0,"*"
"Derby School District","=""""","Bradley School","=""""","*","*",0,"*"
"Derby School District","=""""","Derby High School","=""""",196,68,9,0
"Derby School District","=""""","Derby Middle School","=""""",71,63,"*","*"
"Derby School District","=""""","Irving School","=""""",0,30,0,"*"
"East Granby School District","=""""","Allgrove School","=""""","*",0,0,0
"East Granby School District","=""""","East Granby High School","=""""",26,8,0,0
"East Granby School District","=""""","East Granby Middle School","=""""","*","*",0,0
"East Granby School District","=""""","R. Dudley Seymour School","=""""","*","*",0,0
"East Hampton School District","=""""","Center School","=""""",6,0,0,0
"East Hampton School District","=""""","East Hampton High School","=""""",43,7,0,0
"East Hampton School District","=""""","East Hampton Middle School","=""""",29,"*",0,0
"East Hampton School District","=""""","Memorial School","=""""","*",0,0,0
"East Hampton School District","=""""","The Learning Center at East Hampton","=""""",0,7,0,0
"East Hartford School District","=""""","Anna E. Norris School","=""""",25,30,0,"*"
"East Hartford School District","=""""","Connecticut IB Academy","=""""",10,"*",0,0
"East Hartford School District","=""""","Dr. Franklin H. Mayberry School","=""""",35,14,0,"*"
"East Hartford School District","=""""","Dr. John A. Langford School","=""""",49,38,"*",6
"East Hartford School District","=""""","Dr. Thomas S. O'Connell School","=""""",25,20,0,6
"East Hartford School District","=""""","East Hartford High School","=""""",924,633,12,0
"East Hartford School District","=""""","East Hartford Middle School","=""""",793,365,9,17
"East Hartford School District","=""""","Governor William Pitkin School","=""""",14,"*",0,"*"
"East Hartford School District","=""""","Hockanum School","=""""",35,24,0,0
"East Hartford School District","=""""","Joseph O. Goodwin School","=""""",30,25,0,0
"East Hartford School District","=""""","Robert J. O'Brien School","=""""",154,42,0,"*"
"East Hartford School District","=""""","Silver Lane School","=""""","*",13,0,0
"East Hartford School District","=""""","Stevens Alternate High school","=""""",83,103,"*","*"
"East Hartford School District","=""""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""""",104,30,0,"*"
"East Haven School District","=""""","Carbone School/East Haven Academy","=""""",20,"*",0,0
"East Haven School District","=""""","Deer Run School","=""""","*",0,0,0
"East Haven School District","=""""","East Haven High School","=""""",371,102,"*","*"
"East Haven School District","=""""","Joseph Melillo Middle School","=""""",126,62,"*","*"
"East Haven School District","=""""","Pathways","=""""",0,"*",0,0
"East Lyme School District","=""""","East Lyme High School","=""""",34,14,0,0
"East Lyme School District","=""""","East Lyme Middle School","=""""",82,12,0,9
"East Lyme School District","=""""","Niantic Center School","=""""","*",0,0,0
"East Windsor School District","=""""","Broad Brook Elementary School","=""""",7,"*",0,"*"
"East Windsor School District","=""""","East Windsor High School","=""""",149,71,"*",0
"East Windsor School District","=""""","East Windsor Middle School","=""""",87,17,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""""","Arts at the Capitol Theater Magnet School (ACT)","=""""","*","*",0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""""","EASTCONN Special Education","=""""",13,6,0,0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""""","Quinebaug Middle College","=""""",13,34,0,"*"
"Eastford School District","=""""","Eastford Elementary School","=""""","*","*",0,0
"Easton School District","=""""","Helen Keller Middle School","=""""","*","*",0,0
"Easton School District","=""""","Samuel Staples Elementary School","=""""","*",0,0,0
"Education Connection","=""""","Education Connection Special Education","=""""","*",10,0,0
"Ellington School District","=""""","Center School","=""""",8,"*",0,"*"
"Ellington School District","=""""","Crystal Lake School","=""""","*","*",0,0
"Ellington School District","=""""","Ellington High School","=""""",162,43,"*",0
"Ellington School District","=""""","Ellington Middle School","=""""",14,8,0,"*"
