"Sanction Counts, 2015-16"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""""","Achievement First Hartford Academy Inc.","=""""",1225,338,11,37
"Amistad Academy District","=""""","Amistad Academy","=""""",492,366,8,8
"Andover School District","=""""","Andover Elementary School","=""""","*",0,0,0
"Ansonia School District","=""""","Ansonia High School","=""""",0,57,"*",0
"Ansonia School District","=""""","Ansonia Middle School","=""""",103,111,"*",0
"Ansonia School District","=""""","Mead School","=""""","*",47,"*",0
"Ansonia School District","=""""","P.A.C.E. (Positive And Creative Education)","=""""",0,16,"*",0
"Ansonia School District","=""""","Prendergast School","=""""",0,22,0,0
"Area Cooperative Educational Services","=""""","Mill Road School","=""""",0,81,0,0
"Area Cooperative Educational Services","=""""","Thomas Edison Magnet Middle School","=""""",166,69,0,0
"Area Cooperative Educational Services","=""""","Whitney High School East","=""""","*",16,0,0
"Area Cooperative Educational Services","=""""","Whitney High School North","=""""",0,119,0,0
"Area Cooperative Educational Services","=""""","Whitney High School West","=""""",0,"*",0,0
"Area Cooperative Educational Services","=""""","Wintergreen Interdistrict  Magnet School","=""""","*",44,0,18
"Ashford School District","=""""","Ashford School","=""""",12,"*",0,"*"
"Avon School District","=""""","Avon High School","=""""",18,18,"*",0
"Avon School District","=""""","Avon Middle School","=""""",36,14,0,0
"Avon School District","=""""","Pine Grove School","=""""",6,0,0,"*"
"Avon School District","=""""","Roaring Brook School","=""""",6,0,0,0
"Avon School District","=""""","Thompson Brook School","=""""","*",0,0,0
"Berlin School District","=""""","Berlin High School","=""""",46,12,"*",0
"Berlin School District","=""""","Catherine M. McGee Middle School","=""""",83,"*",0,0
"Berlin School District","=""""","Richard D. Hubbard School","=""""","*",0,0,0
"Bethany School District","=""""","Bethany Community School","=""""","*","*",0,0
"Bethel School District","=""""","Anna H. Rockwell School","=""""","*","*",0,"*"
"Bethel School District","=""""","Bethel High School","=""""",281,26,7,0
"Bethel School District","=""""","Bethel Middle School","=""""",75,6,"*",0
"Bethel School District","=""""","Frank A. Berry School","=""""","*",0,0,0
"Bethel School District","=""""","Ralph M. T. Johnson School","=""""",46,"*",0,"*"
"Bloomfield School District","=""""","Bloomfield High School","=""""",137,71,8,0
"Bloomfield School District","=""""","Carmen Arace Intermediate School","=""""",17,18,0,0
"Bloomfield School District","=""""","Carmen Arace Middle School","=""""",40,62,"*","*"
"Bloomfield School District","=""""","Global Experience Magnet School","=""""",62,28,"*",0
