"Classes Taught by High Quality Teachers, 2014-15"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,,"Percent of Classes Taught byHighly Qualified Teachers"
"District Name","District Code","School Name","School Code","Poverty Quartile","2014-15"
"Amistad Academy District",="2790013","Amistad Academy",="2795113","High",81.6
"Andover School District",="0010011","Andover Elementary School",="0010111","Middle",97.0
"Ansonia School District",="0020011","Ansonia High School",="0026111","Middle",97.6
"Ansonia School District",="0020011","Ansonia Middle School",="0025111","High",96.2
"Ansonia School District",="0020011","Mead School",="0020311","High",98.7
"Ansonia School District",="0020011","Prendergast School",="0020811","High",100.0
"Area Cooperative Educational Services",="2440014","Center for Autism Spectrum and Development Disorders",="2449614","Middle",100.0
"Area Cooperative Educational Services",="2440014","Mill Road School",="2449414","High",100.0
"Area Cooperative Educational Services",="2440014","Thomas Edison Magnet Middle School",="2445114","Middle",100.0
"Area Cooperative Educational Services",="2440014","Village School",="2449514","Middle",100.0
"Area Cooperative Educational Services",="2440014","Whitney High School East",="2449214","High",100.0
"Area Cooperative Educational Services",="2440014","Whitney High School North",="2449114","High",100.0
"Area Cooperative Educational Services",="2440014","Whitney High School West",="2449314","High",100.0
"Area Cooperative Educational Services",="2440014","Wintergreen Interdistrict  Magnet School",="2440314","Middle",100.0
"Ashford School District",="0030011","Ashford School",="0030111","Middle",95.7
"Avon School District",="0040011","Avon High School",="0046111","Low",100.0
"Avon School District",="0040011","Avon Middle School",="0045111","Low",97.4
"Avon School District",="0040011","Pine Grove School",="0040411","Low",98.7
"Avon School District",="0040011","Roaring Brook School",="0040311","Low",100.0
"Avon School District",="0040011","Thompson Brook School",="0040511","Low",100.0
"Barkhamsted School District",="0050011","Barkhamsted Elementary School",="0050111","Low",100.0
"Berlin School District",="0070011","Berlin High School",="0076111","Middle",100.0
"Berlin School District",="0070011","Catherine M. McGee Middle School",="0075111","Middle",96.1
"Berlin School District",="0070011","Emma Hart Willard School",="0070411","Middle",100.0
"Berlin School District",="0070011","Mary E. Griswold School",="0070511","Low",100.0
"Berlin School District",="0070011","Richard D. Hubbard School",="0070111","Middle",88.9
"Bethany School District",="0080011","Bethany Community School",="0080111","Low",100.0
"Bethel School District",="0090011","Anna H. Rockwell School",="0090411","Middle",100.0
"Bethel School District",="0090011","Bethel High School",="0096111","Middle",100.0
"Bethel School District",="0090011","Bethel Middle School",="0095111","Middle",97.8
"Bethel School District",="0090011","Frank A. Berry School",="0090111","Low",100.0
"Bethel School District",="0090011","Ralph M. T. Johnson School",="0090511","Middle",100.0
"Bloomfield School District",="0110011","Bloomfield High School",="0116111","Middle",100.0
"Bloomfield School District",="0110011","Carmen Arace Intermediate School",="0110711","Middle",100.0
"Bloomfield School District",="0110011","Carmen Arace Middle School",="0115211","Middle",95.6
"Bloomfield School District",="0110011","Global Experience Magnet School",="0116311","Middle",100.0
"Bloomfield School District",="0110011","Laurel School",="0110611","Middle",100.0
"Bloomfield School District",="0110011","Metacomet School",="0110511","Middle",100.0
"Bloomfield School District",="0110011","Wintonbury Early Childhood Magnet School",="0110811","Middle",100.0
"Bolton School District",="0120011","Bolton Center School",="0120111","Middle",100.0
"Bolton School District",="0120011","Bolton High School",="0126111","Middle",100.0
"Booker T. Washington Academy District",="2950013","Booker T. Washington Academy",="2950113","High",66.7
"Bozrah School District",="0130011","Fields Memorial School",="0130111","Middle",100.0
"Branford School District",="0140011","Branford High School",="0146111","Middle",100.0
"Branford School District",="0140011","Branford High School Horizons Program",="0140211","Middle",100.0
"Branford School District",="0140011","Francis Walsh Intermediate School",="0145111","Middle",100.0
"Branford School District",="0140011","Indian Neck School",="0148011","Low",100.0
"Branford School District",="0140011","John B. Sliney School",="0141611","Middle",100.0
"Branford School District",="0140011","Mary R. Tisko School",="0141511","Middle",100.0
"Branford School District",="0140011","Mary T. Murphy School",="0141411","Middle",100.0
"Brass City Charter School District",="2900013","Brass City Charter School",="2900113","High",100.0
"Bridgeport Achievement First District",="2850013","Achievement First Bridgeport Academy",="2850113","High",59.5
"Bridgeport School District",="0150011","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",="0150811","High",100.0
"Bridgeport School District",="0150011","Barnum School",="0150111","High",100.0
"Bridgeport School District",="0150011","Bassick High School",="0156111","High",93.8
"Bridgeport School District",="0150011","Beardsley School",="0150211","High",100.0
"Bridgeport School District",="0150011","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="0150611","High",95.6
"Bridgeport School District",="0150011","Black Rock School",="0150311","High",100.0
"Bridgeport School District",="0150011","Blackham School",="0154011","High",100.0
"Bridgeport School District",="0150011","Bridgeport Learning Center",="0159011","High",100.0
"Bridgeport School District",="0150011","Bridgeport Military Academy",="0151611","High",100.0
"Bridgeport School District",="0150011","Bryant School",="0150411","High",100.0
"Bridgeport School District",="0150011","Central High School",="0156211","High",100.0
"Bridgeport School District",="0150011","Cesar Batalla School",="0151411","High",98.7
"Bridgeport School District",="0150011","Classical Studies Academy",="0152111","High",100.0
"Bridgeport School District",="0150011","Columbus School",="0150511","High",99.1
"Bridgeport School District",="0150011","Cross School",="0153911","High",100.0
"Bridgeport School District",="0150011","Curiale School",="0154211","High",100.0
"Bridgeport School District",="0150011","Dunbar School",="0154111","High",91.2
"Bridgeport School District",="0150011","Edison School",="0150711","High",100.0
"Bridgeport School District",="0150011","Geraldine Johnson School",="0153211","High",96.3
"Bridgeport School District",="0150011","Hall School",="0151111","High",100.0
"Bridgeport School District",="0150011","Hallen School",="0151211","High",100.0
"Bridgeport School District",="0150011","Harding High School",="0156311","High",97.0
"Bridgeport School District",="0150011","High Horizons Magnet School",="0154511","High",100.0
"Bridgeport School District",="0150011","Hooker School",="0151311","High",100.0
"Bridgeport School District",="0150011","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="0151511","High",100.0
"Bridgeport School District",="0150011","Interdistrict Discovery Magnet School",="0153711","High",100.0
"Bridgeport School District",="0150011","Jettie S. Tisdale School",="0152211","High",100.0
"Bridgeport School District",="0150011","Luis Munoz Marin School",="0151011","High",95.9
"Bridgeport School District",="0150011","Madison School",="0152011","High",100.0
"Bridgeport School District",="0150011","Multicultural Magnet School",="0154611","High",100.0
"Bridgeport School District",="0150011","Park City Magnet School",="0151711","High",100.0
"Bridgeport School District",="0150011","Read School",="0152511","High",100.0
"Bridgeport School District",="0150011","Roosevelt School",="0152611","High",98.7
"Bridgeport School District",="0150011","Skane Center",="0154411","High",100.0
"Bridgeport School District",="0150011","Waltersville School",="0153011","High",100.0
"Bridgeport School District",="0150011","Winthrop School",="0153611","High",100.0
"Bristol School District",="0170011","Alternative Special Education Program (ASEP)",="0179011","High",100.0
"Bristol School District",="0170011","Bristol Central High School",="0176111","Middle",100.0
"Bristol School District",="0170011","Bristol Early Childhood Center-BECC",="0170411","Middle",100.0
